正式名称,編集・運営機関,URL
全国文化財総覧,独立行政法人国立文化財機構 奈良文化財研究所,https://sitereports.nabunken.go.jp/
全国文化財総覧「遺跡（抄録）検索」,独立行政法人国立文化財機構 奈良文化財研究所,https://sitereports.nabunken.go.jp/
文化財総覧WebGIS,独立行政法人国立文化財機構 奈良文化財研究所,https://heritagemap.nabunken.go.jp/
縄文・弥生集落遺跡データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/jomo.html
城館城下発掘データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/joukan.html
陶磁器出土遺跡データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/toujiki.html
土偶データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/doguu.html
弥生石器遺跡データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/yayoi.html
近世窯業遺跡データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/yougyou.html
東国板碑データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/ita.html
祭祀遺物出土遺跡データベース,國學院大學博物館。データ作成には祭祀考古学会が協力,https://d-museum.kokugakuin.ac.jp/search_by_word/id=18084
木簡庫,独立行政法人国立文化財機構 奈良文化財研究所,https://mokkanko.nabunken.go.jp/
全国木簡出土遺跡・報告書データベース,独立行政法人国立文化財機構 奈良文化財研究所,https://researchdb.nabunken.go.jp/mokkan/
遺跡発掘調査報告書放射性炭素年代測定データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/t-db-index.html
日本の遺跡出土大型植物遺体データベース,大学共同利用機関法人人間文化研究機構 国立歴史民俗博物館,https://www.rekihaku.ac.jp/doc/gaiyou/issi.html
ColBase：国立文化財機構所蔵品統合検索システム,独立行政法人国立文化財機構,https://colbase.nich.go.jp/
