正式名称,主体,URL
考古資料データベース,山口大学学術資産継承事業委員会・山口大学埋蔵文化財資料館,https://knowledge.lib.yamaguchi-u.ac.jp/arche/
島根県遺跡データベース,島根大学地域貢献推進協議会遺跡データベース分科会,https://iseki.shimane-u.ac.jp/
渡来系遺跡・遺物データベース―東日本編―,専修大学社会知性開発研究センター・古代東ユーラシア研究センター,https://www.senshu-u.ac.jp/eurasia/database-k-top.html
全国墨書・刻書土器、文字瓦 横断検索データベース,明治大学日本古代学研究所,https://bokusho-db.kodaishiryo-db.jp/
杉原荘介・岡正雄・井上光貞資料データベース,明治大学日本古代学研究所,https://kodaishiryo-db.jp/
後北式・北大式土器を中心とする遺跡・遺構・遺物データベース,法政大学国際日本学研究所,https://www.hosei.ac.jp/hijas/library/zokujomon
縄紋土器データベース,東京大学総合研究博物館 人類先史部門,https://umdb.um.u-tokyo.ac.jp/DPastExh/Publish_db/1997DM/DM_CD/DM_CONT/UM_BOOK/volume3.html/jomon/top.html
考古学データベース,東京大学総合研究博物館,https://umdb.um.u-tokyo.ac.jp/dkoukoga/
全国古墳データベース,奈良女子大学を基盤とする歴史GIS研究プロジェクト,https://zenkoku-kofun.nara-hgis.jp/
古墳マップ,個人・利用者投稿型サイト,https://kofun.info/
兵庫県考古資料集成,兵庫県立考古博物館,https://www.hyogo-koukohaku.jp/modules/info/index.php?action=PageView&page_id=48
パレオアジア遺跡データベース,パレオアジア文化史学研究プロジェクト・東京大学総合研究博物館,https://umdb.um.u-tokyo.ac.jp/dkoukoga/
