No.,都道府県,区市町村,公開状況,公開形式,ダウンロード・二次利用,公式ページ・地図
1,北海道,千歳市,○ 独自公開,Web地図,— 一括データ公開を確認できず,千歳市埋蔵文化財包蔵地地図
2,北海道,江別市,○ 独自公開,HTML・地図画像,△ 地図画像を閲覧可能。二次利用条件は要確認,江別市内の遺跡
3,岩手県,盛岡市,○ 独自公開,市WebGIS、PDF,△／— PDF保存可。GISデータの一括取得は未確認,盛岡市遺跡地図・埋蔵文化財包蔵地
4,秋田県,秋田市,○ 独自公開,Web地図,— 閲覧のみ,秋田市遺跡地図
5,山形県,南陽市,○ 独自公開,地区別PDF、遺跡一覧,△ PDF保存可。二次利用条件は要確認,南陽市遺跡地図
6,福島県,福島市,○ 独自公開,市WebGIS「ふくしまeマップ」,— 一括データ公開を確認できず,埋蔵文化財包蔵地マップ
7,茨城県,小美玉市,○ 独自公開,市公式ページ、遺跡地図,△ 保存・二次利用条件は要確認,小美玉市遺跡地図
8,茨城県,土浦市,○ 独自公開,総括図・地区別PDF,△ PDF保存可。二次利用条件は要確認,土浦市遺跡地図
9,栃木県,野木町,○ 独自公開,PDF遺跡分布図,× 包蔵地確認以外の利用・転載等に制限,野木町遺跡分布地図
10,栃木県,矢板市,○ 独自公開,デジタルミュージアム、地区別PDF,△ PDF保存可。二次利用条件は要確認,矢板市遺跡地図
11,栃木県,佐野市,○ 独自公開,市公式ページ、PDF地図,△ PDF保存可。二次利用条件は要確認,佐野市遺跡地図
12,栃木県,日光市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,日光市遺跡地図
13,埼玉県,行田市,○ 独自公開,ArcGIS WebGIS,— 一括ダウンロードを確認できず,行田市埋蔵文化財包蔵地マップ
14,埼玉県,所沢市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,所沢市地理情報システム
15,千葉県,市川市,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,市川市埋蔵文化財包蔵地地図
16,東京都,千代田区,○ 独自公開,PDF地図、遺跡一覧,△ PDF保存可。二次利用条件は要確認,千代田区埋蔵文化財包蔵地
17,東京都,港区,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,港区埋蔵文化財包蔵地地図
18,東京都,新宿区,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,新宿区遺跡地図
19,東京都,文京区,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,文京区遺跡地図
20,東京都,台東区,○ 独自公開,PDF地図、遺跡一覧,△ PDF保存可。二次利用条件は要確認,台東区遺跡地図
21,東京都,墨田区,○ 独自公開,オープンデータ、SHP,◎ 空間データ、CC BY,墨田区地理空間データ
22,東京都,目黒区,○ 独自公開,PDF地図、包蔵地一覧,△ PDF保存可。二次利用条件は要確認,目黒区埋蔵文化財包蔵地
23,東京都,杉並区,○ 独自公開,市WebGIS「すぎナビ」、PDF,△／— PDF保存可。GIS一括取得は未確認,杉並区埋蔵文化財包蔵地
24,東京都,北区,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,北区遺跡地図
25,東京都,板橋区,○ 独自公開,区WebGIS,— 一括データ公開を確認できず,板橋区埋蔵文化財包蔵地
26,東京都,江戸川区,○ 独自公開,PDF地図、HTML遺跡一覧,△ PDF保存可。二次利用条件は要確認,江戸川区埋蔵文化財包蔵地
27,東京都,調布市,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,調布市遺跡地図
28,東京都,小平市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,小平市埋蔵文化財包蔵地情報
29,東京都,東村山市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,東村山市埋蔵文化財包蔵地
30,東京都,国分寺市,○ 独自公開,市WebGIS「わがまちマップ国分寺」,— 一括データ公開を確認できず,国分寺市遺跡地図案内／地図
31,東京都,多摩市,○ 独自公開,市WebGIS,— 一括データ公開を確認できず,多摩市埋蔵文化財包蔵地
32,神奈川県,横須賀市,○ 独自公開,市WebGIS、オープンデータ,◎ GISデータ、CC BY 4.0,横須賀市埋蔵文化財包蔵地データ
33,神奈川県,平塚市,○ 独自公開,PDF遺跡地図,△ PDF保存可。二次利用条件は要確認,平塚市埋蔵文化財包蔵地地図
34,神奈川県,座間市,○ 独自公開,地区別PDF、遺跡一覧,△ PDF保存可。二次利用条件は要確認,座間市埋蔵文化財包蔵地地図
