JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11341002100,11341,39,21,清水南遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.377907184649,36.0902678865073
11341002200,11341,39,22,棘山古墳群,古墳群,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.380464339188,36.0909155791703
11341002300,11341,39,23,西ノ谷遺跡,集落跡 散布地,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.376035476448,36.0909988089289
11341002000,11341,39,20,菖蒲沼遺跡,集落跡,,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.381958394193,36.0918215109967
11341036800,11341,39,368,柳谷遺跡,集落跡,,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.376275801328,36.0941614829172
11341001800,11341,39,18,菖蒲沼古墳群,古墳群,,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.379795462415,36.0942073739385
11341025200,11341,39,252,清水II遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.379110923706,36.0929599091024
11341001900,11341,39,19,造山古墳群,古墳 古墳群,,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.382267383885,36.0953170520925
11341035200,11341,39,352,ゴエモン塚古墳,古墳群,,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.368235743879,36.0874910224527
11341002900,11341,39,29,大沼遺跡,集落跡,,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.372402120817,36.089794688984
11341031900,11341,39,319,長坂遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.368397232456,36.0945329215212
11341001600,11341,39,16,山の上古墳群,古墳,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.371060553572,36.095368548086
11341003100,11341,39,31,弁財天遺跡,集落跡,,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.36865403462,36.0895284008161
11341001700,11341,39,17,山の上遺跡,集落跡,,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.373257617569,36.094532920992
11341001400,11341,39,14,広地池脇遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.370682696915,36.0970574086518
11341001500,11341,39,15,広地池脇遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.372468176339,36.0975878580485
11341001300,11341,39,13,中耕地遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.367730121755,36.0973625605067
11341002400,11341,39,24,根肥古墳群,集落跡,,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.378507399229,36.0868649478555
11341002500,11341,39,25,根肥遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.379915020686,36.0875030755081
11341002800,11341,39,28,本納地遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.375108503441,36.0876140534944
11341003900,11341,39,39,小川谷II遺跡,集落跡,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.363230836572,36.0867224045295
11341003800,11341,39,38,小川谷遺跡,散布地,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.361412125827,36.0871024323047
11341003700,11341,39,37,小川谷III遺跡,散布地,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.363150638441,36.087874211392
11341003600,11341,39,36,耕作II遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.363802949578,36.0889284917522
11341003500,11341,39,35,耕作遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.361997189987,36.0886800754457
11341003400,11341,39,34,亀ヶ入遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.362616105269,36.0917358823611
11341003300,11341,39,33,亀ヶ入II遺跡,集落跡,,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.365078649371,36.0926614807533
11341001100,11341,39,11,薬王子遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.362511615634,36.0989437853618
11341001200,11341,39,12,油免遺跡,散布地,,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.363575916957,36.0986663798311
11341035100,11341,39,351,寺谷廃寺,寺院跡,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,139.357950767607,36.0557029475164
