"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11207022800,11207,"秩父市","228","広見寺石経蔵","その他",36.0167815834598,139.093956442376,0,0,0,0,0,0,0,1,NA,0
11207023000,11207,"秩父市","230","太田の高札場","その他",36.037685,139.055664,0,0,0,0,0,0,0,1,NA,0
11207023300,11207,"秩父市","233","影森用水","その他",35.9690382291818,139.067405759692,0,0,0,0,0,0,0,1,NA,0
11207025400,11207,"秩父市","254","","集落跡 窯跡",36.035313,139.074341,0,1,0,0,0,0,0,1,NA,0
11207301400,11207,"秩父市","14","藤芝神社経塚","経塚",36.037281,139.025421,0,0,0,0,0,0,0,1,NA,0
11207302000,11207,"秩父市","20","医王院跡","寺院跡",36.060764,139.0439,0,0,0,0,0,0,0,1,NA,0
11207302200,11207,"秩父市","22","梅香山泉渓院跡","集落跡 寺院跡",36.060764,139.0439,0,1,0,0,0,0,1,1,NA,0
11209000700,11209,"飯能市","7","張摩久保遺跡","集落跡",35.8661212764051,139.354041626923,0,1,0,1,1,1,0,1,NA,0
11209000700,11209,"飯能市","7","張摩久保遺跡","集落跡",35.8661212764051,139.354041626923,0,1,0,1,1,1,1,1,NA,0
11209001300,11209,"飯能市","13","熊坂遺跡","集落跡",35.8384710582861,139.325353809904,0,1,0,0,0,0,0,1,NA,0
11209001300,11209,"飯能市","13","熊坂遺跡","集落跡",35.8384710582861,139.325353809904,0,1,0,0,0,0,1,1,NA,0
11209001600,11209,"飯能市","16","山際遺跡","散布地",35.8091253235303,139.503028104145,0,1,0,1,1,1,0,1,NA,0
11209001600,11209,"飯能市","16","山際遺跡","散布地",35.8091253235303,139.503028104145,0,1,0,1,1,1,0,1,NA,0
11209001700,11209,"飯能市","17","所沢市No.17遺跡","その他",35.8038961098173,139.502257853032,0,0,0,0,0,0,0,1,NA,0
11209001700,11209,"飯能市","17","所沢市No.17遺跡","その他",35.8038961098173,139.502257853032,0,0,0,0,0,0,0,1,NA,0
11209003300,11209,"飯能市","33","椿峰塚群塚","その他",35.7906652925997,139.404816527932,0,0,0,0,0,0,1,1,NA,0
11209003300,11209,"飯能市","33","椿峰塚群塚","その他",35.7906652925997,139.404816527932,0,0,0,0,0,0,0,1,NA,0
11209003400,11209,"飯能市","34","椿峰塚群塚","その他",35.797005466464,139.409738283122,0,0,0,0,0,0,1,1,NA,0
11209003400,11209,"飯能市","34","椿峰塚群塚","その他",35.797005466464,139.409738283122,0,0,0,0,0,0,0,1,NA,0
11209004100,11209,"飯能市","41","中山陣屋","その他",35.8635961382916,139.323031695873,0,0,0,0,0,0,0,1,NA,0
11209004100,11209,"飯能市","41","中山陣屋","その他",35.8635961382916,139.323031695873,0,0,0,0,0,0,0,1,NA,0
