"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11207000900,11207,"秩父市","9","小前田遺跡","集落跡",36.037685,139.055664,0,0,0,1,1,1,0,0,NA,0
11207001200,11207,"秩父市","12","金山遺跡","集落跡",36.045405587299,139.111167406589,0,1,0,0,0,1,0,0,NA,0
11207002300,11207,"秩父市","23","","集落跡",36.02343494506,139.080544722156,0,0,0,1,1,1,0,0,NA,0
11207003600,11207,"秩父市","36","柳田遺跡Ⅱ","集落跡",36.0094897953876,139.083135393067,0,1,1,0,0,1,0,0,NA,0
11207005900,11207,"秩父市","59","上野町遺跡Ⅱ","集落跡",35.9957024615784,139.087795579315,0,0,0,1,0,1,0,0,NA,0
11207006500,11207,"秩父市","65","","その他",35.9927981208917,139.085750823658,0,0,0,0,0,1,0,0,NA,0
11207007400,11207,"秩父市","74","","集落跡",35.9759844973617,139.058891355002,0,1,0,0,1,1,0,0,NA,0
11207024500,11207,"秩父市","245","中道遺跡","集落跡",36.037685,139.055664,0,0,0,0,1,1,0,0,NA,0
11207024600,11207,"秩父市","246","西原遺跡","集落跡",36.037685,139.055664,0,1,0,0,1,1,0,0,NA,0
11207024700,11207,"秩父市","247","聖原遺跡","集落跡",36.037685,139.055664,0,0,0,0,1,1,0,0,NA,0
11207024900,11207,"秩父市","249","下蒔田遺跡","集落跡",36.060669,139.08783,0,1,0,1,1,1,0,0,NA,0
11207025200,11207,"秩父市","252","","散布地",35.97324,139.076157,0,0,0,0,1,1,0,0,NA,0
11207026500,11207,"秩父市","265","","集落跡",35.97324,139.076157,0,1,0,0,1,1,0,0,NA,0
11207028300,11207,"秩父市","283","下ノ台","集落跡",35.97324,139.076157,0,0,0,0,0,1,0,0,NA,0
11207301200,11207,"秩父市","12","彦久保岩陰遺跡","集落跡 その他",36.037281,139.025421,0,1,1,1,0,1,0,0,NA,0
11207301500,11207,"秩父市","15","白砂遺跡","集落跡",36.060764,139.0439,0,1,0,1,0,1,0,0,NA,0
