"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202002800,11202,"熊谷市",28,"瀬戸山遺跡","集落跡 古墳群 窯跡 墓 遺物包含地",36.10816882,"139.3764805",1,NA,1,1,1,NA,1,NA,NA,NA
11202006600,11202,"熊谷市",66,"万吉西浦遺跡","集落跡",36.12238147,"139.3642472",1,NA,1,NA,1,NA,1,NA,NA,NA
11202008900,11202,"熊谷市",89,"下原遺跡","集落跡 墓",36.11149783,"139.3645113",1,NA,1,1,1,1,1,NA,NA,NA
11202401100,11202,"熊谷市",11,"根岸友山墓","墓",36.07636592,"139.4088051",NA,NA,NA,NA,NA,NA,1,NA,NA,NA
11202404000,11202,"熊谷市",40,"箕輪遺跡","城館跡",36.08640965,"139.4135225",NA,NA,NA,NA,NA,1,1,NA,NA,NA
11202500500,11202,"熊谷市",5,"新屋敷遺跡","墓 寺院跡",36.12953422,"139.3283366",NA,NA,NA,NA,NA,1,1,NA,NA,NA
11202500600,11202,"熊谷市",6,"堀ノ内遺跡","寺院跡 城館跡",36.13306202,"139.3264802",NA,NA,NA,NA,NA,1,1,NA,NA,NA
11202500700,11202,"熊谷市",7,"中屋敷遺跡","集落跡 城館跡",36.1296334,"139.3283366",NA,NA,1,1,1,1,1,NA,NA,NA
11202500900,11202,"熊谷市",9,"権現坂遺跡","集落跡",36.12407922,"139.3237933",1,NA,NA,1,1,NA,1,NA,NA,NA
11202501000,11202,"熊谷市",10,"平山館","城館跡",NA,"",NA,NA,NA,NA,NA,1,1,NA,NA,NA
11202501100,11202,"熊谷市",11,"宮前遺跡","集落跡 墓 寺院跡",NA,"",NA,NA,NA,1,1,NA,1,NA,NA,NA
11202501200,11202,"熊谷市",12,"宿遺跡","集落跡 墓 寺院跡",NA,"",NA,NA,NA,1,1,1,1,NA,NA,NA
11202501500,11202,"熊谷市",15,"南方遺跡","集落跡 城館跡",36.12046119,"139.3247174",1,NA,NA,NA,NA,1,1,NA,NA,NA
11202502000,11202,"熊谷市",20,"久保遺跡","寺院跡 城館跡",36.11651164,"139.3246747",NA,NA,NA,NA,NA,NA,1,NA,NA,NA
11202502100,11202,"熊谷市",21,"萩山遺跡","集落跡",36.11907252,"139.3315938",1,NA,NA,NA,NA,1,1,NA,NA,NA
11202502400,11202,"熊谷市",24,"代遺跡","寺院跡 城館跡",36.11935992,"139.3446942",1,NA,NA,NA,NA,1,1,NA,NA,NA
11202502500,11202,"熊谷市",25,"静簡院遺跡","集落跡 古墳（円） 城館跡",36.11817119,"139.3508274",1,NA,NA,1,1,1,1,NA,NA,NA
11202502600,11202,"熊谷市",26,"合羽山遺跡","集落跡",36.11629323,"139.3488725",1,NA,NA,NA,NA,1,1,NA,NA,NA
11202503200,11202,"熊谷市",32,"鹿島遺跡","集落跡 城館跡",36.10749778,"139.3613048",1,1,NA,1,1,1,1,NA,NA,NA
