"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202002800,11202,"熊谷市",28,"瀬戸山遺跡","集落跡 古墳群 窯跡 墓 遺物包含地",36.10816882,139.3764805,NA,1,NA,1,1,1,0,1,NA,NA
11202008900,11202,"熊谷市",89,"下原遺跡","集落跡 墓",36.11149783,139.3645113,NA,1,NA,1,1,1,1,1,NA,NA
11202010100,11202,"熊谷市",101,"北西原遺跡","集落跡",36.12309599,139.3774743,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202400800,11202,"熊谷市",8,"船木遺跡","集落跡 墓",36.07979555,139.4219143,NA,NA,1,1,1,1,0,NA,NA,NA
11202401200,11202,"熊谷市",12,"円山遺跡","集落跡",36.07989523,139.4187325,NA,NA,1,NA,1,1,0,NA,NA,NA
11202401800,11202,"熊谷市",18,"北廓遺跡","集落跡 包含層",36.08858217,139.413048,NA,1,1,NA,1,1,0,NA,NA,NA
11202401900,11202,"熊谷市",19,"塚本遺跡","集落跡",36.12089454,139.3806271,NA,NA,NA,1,1,1,0,NA,NA,NA
11202402000,11202,"熊谷市",20,"西浦遺跡","集落跡",36.11944679,139.378624,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202402100,11202,"熊谷市",21,"腰廻遺跡","集落跡",36.11855259,139.3826829,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202402200,11202,"熊谷市",22,"三分一遺跡","集落跡",36.11476956,139.3811719,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202402300,11202,"熊谷市",23,"西内手遺跡","集落跡",36.11161831,139.3845456,NA,1,1,NA,1,1,0,NA,NA,NA
11202402400,11202,"熊谷市",24,"高田遺跡","集落跡",36.11344945,139.3877611,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202402500,11202,"熊谷市",25,"原北遺跡","集落跡 包含層",36.11102211,139.3769549,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202402600,11202,"熊谷市",26,"原南遺跡","集落跡 古墳（円） 円墳",36.10948901,139.3791161,NA,1,NA,1,1,1,0,NA,NA,NA
11202402700,11202,"熊谷市",27,"北方遺跡","集落跡",36.11309364,139.3998929,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202402800,11202,"熊谷市",28,"西浦町遺跡","集落跡",36.10870731,139.395834,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202402900,11202,"熊谷市",29,"宮前遺跡","集落跡",36.1104531,139.3995704,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403000,11202,"熊谷市",30,"宮前町遺跡","集落跡",36.10832377,139.4008355,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403100,11202,"熊谷市",31,"宮町遺跡","集落跡",36.10329833,139.4001502,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403200,11202,"熊谷市",32,"中街遺跡","集落跡",36.09896536,139.4051289,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403300,11202,"熊谷市",33,"旭町遺跡","集落跡",36.10619123,139.4137778,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403400,11202,"熊谷市",34,"北町遺跡","集落跡",36.10291186,139.4130925,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403500,11202,"熊谷市",35,"高城町遺跡","集落跡",36.09520269,139.4108786,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403700,11202,"熊谷市",37,"上吉原遺跡","集落跡",36.09300722,139.4150203,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403800,11202,"熊谷市",38,"下中遺跡","集落跡",36.09062684,139.4153147,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202403900,11202,"熊谷市",39,"成願遺跡","集落跡 包含層",36.09104781,139.4198171,NA,NA,NA,1,1,1,0,NA,NA,NA
11202404100,11202,"熊谷市",41,"中廓遺跡","集落跡",36.08560027,139.4152093,NA,NA,1,1,1,1,0,NA,NA,NA
11202404200,11202,"熊谷市",42,"賢木岡遺跡","集落跡",36.08417134,139.411638,NA,NA,NA,1,1,1,0,NA,NA,NA
11202404400,11202,"熊谷市",44,"番場南遺跡","集落跡",36.08176072,139.4110073,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202404600,11202,"熊谷市",46,"桜谷遺跡","集落跡",36.07568035,139.4159994,NA,1,NA,NA,1,1,0,NA,NA,NA
11202404700,11202,"熊谷市",47,"大林東遺跡","集落跡",36.07504555,139.4172874,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202404800,11202,"熊谷市",48,"桜谷東遺跡","集落跡 古墳群",36.07923508,139.4143971,NA,1,NA,NA,1,1,0,NA,NA,NA
11202404900,11202,"熊谷市",49,"大林遺跡","集落跡",36.07767636,139.4202865,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202405000,11202,"熊谷市",50,"大境南遺跡","集落跡 古墳群",36.0738461,139.420399,NA,NA,NA,1,1,1,0,NA,NA,NA
11202405100,11202,"熊谷市",51,"大境遺跡","集落跡 古墳",36.07518801,139.4210091,NA,1,1,1,1,1,0,NA,NA,NA
11202405300,11202,"熊谷市",53,"南谷遺跡","集落跡",36.0722324,139.4239995,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202405400,11202,"熊谷市",54,"南谷北遺跡","集落跡",36.07301957,139.426607,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202406100,11202,"熊谷市",61,"仲町遺跡","集落跡",36.10355387,139.4046308,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202406200,11202,"熊谷市",62,"楓山北遺跡","墓",36.07953977,139.4165963,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202406500,11202,"熊谷市",65,"小八林大境遺跡","城館跡",36.07969302,139.436986,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202406600,11202,"熊谷市",66,"前野遺跡","集落跡",36.07791569,139.434944,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202406700,11202,"熊谷市",67,"高畑遺跡","集落跡",36.0897323,139.4238015,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202406900,11202,"熊谷市",69,"下恩田中町遺跡","集落跡",36.10846693,139.3874448,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202500100,11202,"熊谷市",1,"姥ヶ沢遺跡","集落跡 古墳（円）",36.1266084,139.3137242,NA,1,1,1,1,1,0,NA,NA,NA
11202500200,11202,"熊谷市",2,"新田裏遺跡","集落跡 古墳",36.13181308,139.3141092,NA,NA,NA,1,1,1,0,NA,NA,NA
11202500400,11202,"熊谷市",4,"大林遺跡","集落跡",36.12913751,139.32189,NA,NA,NA,1,1,1,0,NA,NA,NA
11202500700,11202,"熊谷市",7,"中屋敷遺跡","集落跡 城館跡",36.1296334,139.3283366,NA,NA,NA,1,1,1,1,1,NA,NA
11202500900,11202,"熊谷市",9,"権現坂遺跡","集落跡",36.12407922,139.3237933,NA,1,NA,NA,1,1,1,1,NA,NA
11202501300,11202,"熊谷市",13,"宮下遺跡","集落跡 古墳",36.12497188,139.3272929,NA,1,NA,1,1,1,0,NA,NA,NA
11202501400,11202,"熊谷市",14,"天神谷遺跡","集落跡",36.12006443,139.3193145,NA,1,NA,NA,1,1,0,NA,NA,NA
11202501700,11202,"熊谷市",17,"寺内（廃寺）","集落跡 寺院跡",36.11545194,139.3145255,NA,1,NA,NA,1,1,0,NA,NA,NA
11202501800,11202,"熊谷市",18,"西遺跡","集落跡",36.11636354,139.321069,NA,1,NA,NA,1,1,0,NA,NA,NA
11202502500,11202,"熊谷市",25,"静簡院遺跡","集落跡 古墳（円） 城館跡",36.11817119,139.3508274,NA,1,NA,NA,1,1,1,NA,NA,NA
11202502700,11202,"熊谷市",27,"成沢上原遺跡","集落跡",36.11680541,139.3543673,NA,1,NA,1,1,1,0,NA,NA,NA
11202502900,11202,"熊谷市",29,"中原遺跡","集落跡 古墳",36.11657822,139.3614993,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503200,11202,"熊谷市",32,"鹿島遺跡","集落跡 城館跡",36.10749778,139.3613048,NA,1,1,NA,1,1,1,1,NA,NA
11202503300,11202,"熊谷市",33,"八軒遺跡","集落跡 寺院跡",36.10988816,139.3568138,NA,1,NA,NA,1,1,1,NA,NA,NA
11202503400,11202,"熊谷市",34,"下新田遺跡","集落跡",36.10688582,139.3680378,NA,NA,NA,NA,1,1,0,NA,NA,NA
11202503500,11202,"熊谷市",35,"荒神脇遺跡","集落跡 古墳群",36.10373426,139.3672998,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503600,11202,"熊谷市",36,"丸山浦遺跡","集落跡",36.1027121,139.3715169,NA,1,NA,1,1,1,1,NA,NA,NA
11202503700,11202,"熊谷市",37,"丸山遺跡","集落跡",36.10113625,139.3718859,NA,NA,NA,1,1,1,0,NA,NA,NA
11202503800,11202,"熊谷市",38,"熊野遺跡","集落跡 古墳群 墓",36.10139179,139.3664037,NA,NA,NA,1,1,1,1,NA,NA,NA
11202503900,11202,"熊谷市",39,"元境内遺跡","集落跡 古墳群 経塚 寺院跡 城館跡",36.10319473,139.361824,NA,1,NA,1,1,1,1,1,NA,NA
11202504000,11202,"熊谷市",40,"諏訪脇遺跡","集落跡 古墳群 寺院跡",36.10362063,139.3578179,NA,1,NA,1,1,1,1,1,NA,NA
11202504100,11202,"熊谷市",41,"野原宮脇遺跡","集落跡 古墳群 寺院跡",36.1046441,139.3546042,NA,1,NA,1,1,1,1,1,NA,NA
11202504400,11202,"熊谷市",44,"須賀広宮脇遺跡","集落跡",36.10556026,139.3409507,NA,NA,NA,1,1,1,0,NA,NA,NA
11202504500,11202,"熊谷市",45,"本田・東台遺跡","集落跡 御嶽塚",36.1057732,139.345484,NA,1,NA,1,1,1,1,1,NA,NA
11202504600,11202,"熊谷市",46,"小江川下原遺跡","集落跡",36.10749751,139.3325702,NA,1,NA,1,1,1,0,NA,NA,NA
11202504800,11202,"熊谷市",48,"田中遺跡","集落跡 古墳群",36.10632635,139.3283382,NA,NA,NA,1,1,1,0,NA,NA,NA
11202504900,11202,"熊谷市",49,"山ノ神遺跡","集落跡",36.10955034,139.3216802,NA,1,NA,NA,1,1,0,NA,NA,NA
11202505100,11202,"熊谷市",51,"板井中島遺跡","集落跡 城館跡 参道",36.11404317,139.3181356,NA,1,NA,NA,1,1,1,NA,NA,NA
11202505200,11202,"熊谷市",52,"天神（伊勢）遺跡","集落跡",36.11266078,139.3100686,1,1,NA,NA,1,1,1,NA,NA,NA
11202505300,11202,"熊谷市",53,"桜山遺跡","集落跡 古墳",36.11009344,139.3075018,1,1,NA,1,1,1,1,NA,NA,NA
