"JASID","自治体コード","遺跡番号","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11341019700,11341,"197","集落跡",36.0612478880572,139.35573784526,1,0,1,1,0,0,0,0,0,0
11341017700,11341,"177","その他",36.0662690631065,139.340498961133,1,1,0,0,0,0,0,0,0,0
11341029800,11341,"298","散布地",36.0411383175089,139.353376414281,1,1,0,0,0,0,0,0,0,0
11341036500,11341,"365","集落跡",36.0451388750698,139.344768003667,1,1,0,0,0,0,0,0,0,0
11341018300,11341,"183","集落跡",36.0616343364999,139.340533292884,1,1,0,0,1,1,0,0,0,0
11342003800,11342,"38","散布地",36.0484250189477,139.327030144891,1,1,0,0,0,0,0,0,0,0
11209000100,11209,"1","旧石器 集落跡",35.7960409954282,139.445724185106,1,1,0,0,0,1,0,0,0,0
11209000100,11209,"1","旧石器 集落跡",35.7960409954282,139.445724185106,1,1,0,0,0,1,0,0,0,0
11209000400,11209,"4","集落跡",35.8091762122117,139.534066981946,1,1,1,0,0,0,0,0,0,0
11209000400,11209,"4","集落跡",35.8091762122117,139.534066981946,1,1,1,0,0,0,0,0,0,0
11209000700,11209,"7","集落跡",35.7929778995018,139.485091454599,1,1,0,0,0,0,0,0,0,0
11209000700,11209,"7","集落跡",35.7929778995018,139.485091454599,1,1,0,0,0,0,1,0,0,0
11209001000,11209,"10","集落跡",35.7842161481285,139.444463924121,1,1,0,0,0,0,0,0,0,0
11209001000,11209,"10","集落跡",35.7842161481285,139.444463924121,1,1,0,0,0,0,0,0,0,0
11209001300,11209,"13","旧石器 集落跡 散布地",35.7873456132053,139.409162693583,1,1,0,0,0,0,0,0,0,0
11209001300,11209,"13","旧石器 集落跡 散布地",35.7873456132053,139.409162693583,1,1,0,0,0,0,1,0,0,0
11209001500,11209,"15","散布地",35.7807062251439,139.478615947796,1,1,0,0,0,0,0,0,0,0
11209001500,11209,"15","散布地",35.7807062251439,139.478615947796,1,1,0,0,0,0,0,0,0,0
11209001800,11209,"18","集落跡",35.8041745523983,139.50702622607,1,1,0,0,0,0,0,0,0,0
11209001800,11209,"18","集落跡",35.8041745523983,139.50702622607,1,1,0,0,0,0,0,0,0,0
11209002100,11209,"21","集落跡",35.7989663022195,139.401207647937,1,1,0,0,0,0,0,0,0,0
11209002100,11209,"21","集落跡",35.7989663022195,139.401207647937,1,1,0,0,0,0,0,0,0,0
11209002400,11209,"24","集落跡 古墳",35.7929001900735,139.396377385671,1,1,0,1,0,0,0,0,0,0
11209002400,11209,"24","集落跡 古墳",35.7929001900735,139.396377385671,1,1,0,1,0,0,0,0,0,0
11209002500,11209,"25","旧石器 集落跡",35.7896372326553,139.396509341757,1,1,0,0,0,0,0,0,0,0
11209002500,11209,"25","旧石器 集落跡",35.7896372326553,139.396509341757,1,1,0,0,0,0,0,0,0,0
11209002600,11209,"26","旧石器 集落跡",35.7919932874381,139.393890691024,1,1,0,1,0,0,0,0,0,0
11209002600,11209,"26","旧石器 集落跡",35.7919932874381,139.393890691024,1,1,0,1,0,0,0,0,0,0
11209002800,11209,"28","集落跡",35.7864109262929,139.386567957932,1,1,1,1,0,0,0,0,0,0
11209002800,11209,"28","集落跡",35.7864109262929,139.386567957932,1,1,1,1,0,0,0,0,0,0
11209003100,11209,"31","集落跡",35.7893660413059,139.407175652403,1,1,0,1,0,0,0,0,0,0
11209003100,11209,"31","集落跡",35.7893660413059,139.407175652403,1,1,0,1,0,0,0,0,0,0
11209003200,11209,"32","集落跡",35.7920577272987,139.40573205604,1,1,1,1,0,0,0,0,0,0
11209003200,11209,"32","集落跡",35.7920577272987,139.40573205604,1,1,1,1,0,0,0,0,0,0
11209004100,11209,"41","集落跡",35.7870967019539,139.414793076462,1,1,1,1,1,1,0,0,0,0
11209004100,11209,"41","集落跡",35.7870967019539,139.414793076462,1,1,1,1,1,1,0,0,0,0
11209004300,11209,"43","旧石器 散布地",35.795442850119,139.428596841797,1,1,0,1,1,1,0,0,0,0
11209004300,11209,"43","旧石器 散布地",35.795442850119,139.428596841797,1,1,0,1,1,1,0,0,0,0
11209004400,11209,"44","集落跡",35.7973394436492,139.424268572806,1,1,0,0,0,0,0,0,0,0
11209004400,11209,"44","集落跡",35.7973394436492,139.424268572806,1,1,0,0,0,0,1,0,0,0
11209004600,11209,"46","旧石器",35.8005574204302,139.425250621599,1,0,0,0,0,0,0,0,0,0
11209004600,11209,"46","旧石器",35.8005574204302,139.425250621599,1,0,0,0,0,0,1,0,0,0
11209005000,11209,"50","集落跡",35.7720638144478,139.430419126735,1,1,0,0,0,0,0,0,0,0
11209005300,11209,"53","旧石器 散布地",35.7866617101536,139.425620580018,1,1,0,0,0,0,0,0,0,0
11209005300,11209,"53","旧石器 散布地",35.7866617101536,139.425620580018,1,1,0,0,0,0,0,0,0,0
11209007100,11209,"71","旧石器 古墳",35.8037030090129,139.515714145304,1,1,0,1,0,0,0,0,0,0
11209007100,11209,"71","旧石器 古墳",35.8037030090129,139.515714145304,1,1,0,1,0,0,0,0,0,0
11209007200,11209,"72","散布地",35.8051433643455,139.516966815931,1,1,0,0,0,0,0,0,0,0
11209007200,11209,"72","散布地",35.8051433643455,139.516966815931,1,1,0,0,0,0,0,0,0,0
11209007300,11209,"73","散布地",35.7846530063243,139.506360037242,1,1,0,1,0,0,0,0,0,0
11209007300,11209,"73","散布地",35.7846530063243,139.506360037242,1,1,0,1,0,0,0,0,0,0
11209007600,11209,"76","散布地",35.7922871243436,139.482529032734,1,1,0,0,0,0,0,0,0,0
11209007600,11209,"76","散布地",35.7922871243436,139.482529032734,1,1,0,0,0,0,0,0,0,0
11209009100,11209,"91","散布地",35.7983367503645,139.482556802697,1,1,0,0,0,0,0,0,0,0
11209009100,11209,"91","散布地",35.7983367503645,139.482556802697,1,1,0,0,0,0,0,0,0,0
11209009100,11209,"91","散布地",35.7983367503645,139.482556802697,1,1,0,0,0,0,1,0,0,0
11209009800,11209,"98","旧石器 散布地",35.7801963471982,139.435524132779,1,0,0,0,0,0,0,0,0,0
11209009800,11209,"98","旧石器 散布地",35.7801963471982,139.435524132779,1,0,0,0,0,0,0,0,0,0
11209009800,11209,"98","旧石器 散布地",35.7801963471982,139.435524132779,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"99","旧石器 散布地",35.7975559099121,139.412483359803,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"99","旧石器 散布地",35.7975559099121,139.412483359803,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"99","旧石器 散布地",35.7975559099121,139.412483359803,1,0,0,0,0,0,0,0,0,0
11209010000,11209,"100","旧石器",35.8030012649832,139.428772121129,1,0,0,0,0,0,0,0,0,0
11209010100,11209,"101","集落跡",35.7798546656406,139.407041027985,1,1,0,0,1,1,0,0,0,0
11209010100,11209,"101","集落跡",35.7798546656406,139.407041027985,1,1,0,0,1,1,0,0,0,0
11209011200,11209,"112","旧石器",35.7887921783267,139.394590360012,1,1,0,0,0,0,0,0,0,0
11209011200,11209,"112","旧石器",35.7887921783267,139.394590360012,1,1,0,0,0,0,0,0,0,0
11209011600,11209,"116","集落跡 古墳",35.786203871147,139.40488711743,1,1,0,1,0,0,0,0,0,0
11209011600,11209,"116","集落跡 古墳",35.786203871147,139.40488711743,1,1,0,1,0,0,0,0,0,0
11209012100,11209,"121","散布地",35.7949669572289,139.421644490499,1,1,0,1,0,0,0,0,0,0
11209012100,11209,"121","散布地",35.7949669572289,139.421644490499,1,1,0,1,0,0,0,0,0,0
11209012200,11209,"122","散布地",35.7780768238573,139.435328616445,1,1,0,0,0,0,0,0,0,0
11209012200,11209,"122","散布地",35.7780768238573,139.435328616445,1,1,0,0,0,0,0,0,0,0
11209012800,11209,"128","集落跡",35.7906694668835,139.423561406179,1,1,0,1,0,0,0,0,0,0
11209012800,11209,"128","集落跡",35.7906694668835,139.423561406179,1,1,0,1,0,0,0,0,0,0
11209014300,11209,"143","散布地",35.7849577393171,139.496522293971,1,1,1,0,0,0,0,0,0,0
11209014300,11209,"143","散布地",35.7849577393171,139.496522293971,1,1,1,0,0,0,0,0,0,0
11209015300,11209,"153","散布地",35.7897586971059,139.509615140616,1,0,0,0,0,0,0,0,0,0
11209015300,11209,"153","散布地",35.7897586971059,139.509615140616,1,0,0,0,0,0,0,0,0,0
11209015700,11209,"157","旧石器",35.8079014468688,139.52610416224,1,1,0,0,0,0,0,0,0,0
11209015700,11209,"157","旧石器",35.8079014468688,139.52610416224,1,1,0,0,0,0,0,0,0,0
11209016000,11209,"160","散布地",35.7973811617585,139.525380318629,1,1,0,0,0,1,0,0,0,0
11209016000,11209,"160","散布地",35.7973811617585,139.525380318629,1,1,0,0,0,1,0,0,0,0
11209016100,11209,"161","集落跡",35.8014385237869,139.53205317066,1,1,0,0,0,0,0,0,0,0
11209016100,11209,"161","集落跡",35.8014385237869,139.53205317066,1,1,0,0,0,0,0,0,0,0
11209001900,11209,"19","集落跡",35.8634569829794,139.271793500432,1,1,0,0,0,0,0,0,0,0
11209001900,11209,"19","集落跡",35.8634569829794,139.271793500432,1,1,0,0,0,0,0,0,0,0
11209002700,11209,"27","旧石器 集落跡",35.843112081588,139.321009858921,1,1,0,0,0,0,0,0,0,0
11209002700,11209,"27","旧石器 集落跡",35.843112081588,139.321009858921,1,1,0,0,0,0,0,0,0,0
11209003000,11209,"30","旧石器 集落跡",35.8352913130057,139.308409914245,1,1,0,0,0,0,0,0,0,0
11209003000,11209,"30","旧石器 集落跡",35.8352913130057,139.308409914245,1,1,0,0,0,0,0,0,0,0
11209003100,11209,"31","集落跡",35.8338257379212,139.311812459345,1,1,0,0,0,0,0,0,0,0
11209003100,11209,"31","集落跡",35.8338257379212,139.311812459345,1,1,0,0,0,0,0,0,0,0
11209003300,11209,"33","集落跡",35.8348079009924,139.319575657988,1,1,0,1,0,1,1,0,0,0
11209003300,11209,"33","集落跡",35.8348079009924,139.319575657988,1,1,0,1,0,1,0,0,0,0
11209003400,11209,"34","散布地",35.8402202938065,139.314838865353,1,1,0,0,0,0,1,0,0,0
11209003400,11209,"34","散布地",35.8402202938065,139.314838865353,1,1,0,0,0,0,0,0,0,0
11209007400,11209,"74","旧石器 散布地",35.8657164177088,139.372070707571,1,0,0,0,0,0,0,0,0,0
11209007400,11209,"74","旧石器 散布地",35.8657164177088,139.372070707571,1,0,0,0,0,0,0,0,0,0
11209008400,11209,"84","集落跡",35.8613756286818,139.336223042181,1,1,0,0,1,1,0,0,0,0
11209009000,11209,"90","旧石器 散布地",35.875264047113,139.360213772476,1,0,0,0,0,0,0,0,0,0
11209009000,11209,"90","旧石器 散布地",35.875264047113,139.360213772476,1,0,0,0,0,0,0,0,0,0
11209009000,11209,"90","旧石器 散布地",35.875264047113,139.360213772476,1,0,0,0,0,0,0,0,0,0
11215007000,11215,"70","集落跡",35.8658041048356,139.377831817523,1,0,0,0,0,0,0,0,0,0
11215007800,11215,"78","集落跡",35.8799371293336,139.396776480461,1,0,0,0,0,0,0,0,0,0
11225000200,11225,"2","旧石器",35.7948106977392,139.336053189826,1,0,0,0,0,0,0,0,0,0
11225000400,11225,"4","旧石器",35.8090469517624,139.334322159275,1,0,0,0,0,0,0,0,0,0
11225001300,11225,"13","集落跡",35.8302601005822,139.376070206936,1,1,0,0,1,1,1,0,0,0
11225003800,11225,"38","集落跡",35.7867116280082,139.374891603938,1,1,0,0,0,0,0,0,0,0
11225006200,11225,"62","旧石器",35.8070643556944,139.339931609258,1,0,0,0,0,0,0,0,0,0
11225006300,11225,"63","旧石器",35.8015795613963,139.331406753325,1,0,0,0,0,0,0,0,0,0
11225007200,11225,"72","その他",35.816905396618,139.366757362855,1,0,0,0,0,0,0,0,0,0
11227000100,11227,"1","集落跡",35.8301078165818,139.586556157974,1,1,1,1,0,0,0,0,0,0
11227000300,11227,"3","集落跡",35.8278899817668,139.588466402948,1,1,0,1,0,0,0,0,0,0
11227001100,11227,"11","集落跡 その他",35.8265423758391,139.591240599417,1,1,1,1,1,1,1,1,0,0
11227001300,11227,"13","集落跡 古墳",35.8216671050128,139.596592703531,1,1,1,1,1,1,1,1,0,0
11227001400,11227,"14","集落跡",35.8189665480014,139.595963260296,1,1,1,1,1,1,1,1,0,0
11227002000,11227,"20","集落跡",35.8072682724075,139.581026743405,1,1,1,1,1,1,1,1,0,0
11227002800,11227,"28","旧石器 集落跡",35.788644335885,139.584753379194,1,1,0,0,0,0,0,0,0,0
11227003000,11227,"30","旧石器",35.7914292517052,139.585249289256,1,0,0,0,0,0,0,0,0,0
11227005400,11227,"54","集落跡",35.8069032722896,139.605048873461,1,1,1,1,1,1,1,1,0,0
11227005500,11227,"55","集落跡 古墳",35.8096534392788,139.605494168065,1,1,1,1,1,1,1,1,0,0
11228000200,11228,"2","旧石器 集落跡 墓",35.8334709608062,139.573111521771,1,1,1,1,0,1,1,1,0,0
11228000300,11228,"3","旧石器 貝塚 集落跡 城跡",35.8323266688993,139.569602000577,1,1,1,1,1,1,1,1,0,0
11228000500,11228,"5","旧石器 集落跡 墓",35.8294813309497,139.568915353105,1,1,1,1,1,1,1,1,0,0
11228000700,11228,"7","旧石器 集落跡 墓",35.8244398814343,139.565711007184,1,1,1,1,1,1,1,1,0,0
13230000901,13230,"9","旧石器",35.78320582,139.5805707,1,1,0,0,0,0,0,0,0,0
13230000902,13230,"9","旧石器",35.78087321,139.5792404,1,1,0,0,0,0,0,0,0,0
13230000903,13230,"9","旧石器",35.77857536,139.5784679,1,1,0,0,0,0,0,0,0,0
13230001100,13230,"11","旧石器",35.7814273500939,139.565789519641,1,0,0,0,0,0,0,0,0,0
13230001200,13230,"12","旧石器",35.7739621059677,139.574362251399,1,0,0,0,0,0,0,0,0,0
13230002200,13230,"22","旧石器 集落跡",35.7644552385493,139.550917049259,1,1,0,0,0,0,0,0,0,0
13230003300,13230,"33","旧石器 その他",35.7573972510211,139.545969379546,1,1,0,0,0,0,0,0,0,0
13230006200,13230,"62","散布地",35.7876881558484,139.576134090299,1,1,1,0,0,1,0,0,0,0
13230006800,13230,"68","",35.7806044314437,139.574504375272,1,1,0,0,0,0,0,0,0,0
13230009400,13230,"94","散布地",35.7667606241433,139.558877534643,1,1,0,1,0,1,0,0,0,0
13230009800,13230,"98","散布地",35.7618146180223,139.547141360196,1,1,0,0,0,0,0,0,0,0
11239002700,11239,"27","集落跡  窯跡",35.9504527613357,139.444890649181,1,1,0,0,0,0,0,0,0,0
11239007400,11239,"74","集落跡",35.9692019413022,139.404163946394,1,0,0,1,1,1,0,0,0,0
11239012100,11239,"121","集落跡",35.9683356510303,139.359426979966,1,0,0,1,0,0,0,0,0,0
11241001300,11241,"13","集落跡",35.9219504915985,139.384696050316,1,1,0,0,0,0,0,0,0,0
11241001400,11241,"14","旧石器 集落跡",35.925315046109,139.393143637178,1,1,0,0,1,0,0,0,0,0
11241001500,11241,"15","旧石器",35.9222290833706,139.400613774053,1,1,0,0,0,0,1,0,0,0
11241001700,11241,"17","集落跡",35.9243726649896,139.418540198475,1,1,1,1,1,0,0,0,0,0
11241001800,11241,"18","散布地",35.9369870557963,139.365017688679,1,1,0,1,1,0,0,0,0,0
11241007600,11241,"76","散布地",35.9162283286449,139.386896545082,1,1,0,0,0,1,0,0,0,0
11241009200,11241,"92","集落跡",35.9287021625328,139.396839589176,1,1,1,0,0,0,1,1,0,0
11241009300,11241,"93","旧石器 集落跡",35.9324641049797,139.397996830012,1,1,0,0,0,0,0,0,0,0
11241009900,11241,"99","散布地",35.9297475851422,139.40375521559,1,1,0,0,1,1,0,0,0,0
11241010300,11241,"103","集落跡",35.948677637916,139.411638502185,1,0,0,0,0,1,0,0,0,0
11324000200,11324,"2","旧石器 集落跡",35.8210567806358,139.547345276595,1,1,1,1,1,1,1,0,0,0
11324000700,11324,"7","旧石器 窯跡",35.8319178359747,139.544410473719,1,1,0,0,0,1,0,0,0,0
11324000800,11324,"8","旧石器 集落跡",35.8333714015968,139.54162574617,1,1,0,0,0,0,0,0,0,0
11324000900,11324,"9","旧石器 集落跡 窯跡",35.836197414288,139.536018141626,1,1,0,0,1,1,0,0,0,0
11324001000,11324,"10","旧石器",35.8358381855036,139.532155024814,1,0,0,0,0,0,0,0,0,0
11324001100,11324,"11","旧石器 集落跡",35.8380823521442,139.533442209298,1,1,0,0,0,0,0,0,0,0
11324001200,11324,"12","旧石器 集落跡",35.8379720270371,139.529408443438,1,1,0,0,0,0,0,0,0,0
11324001300,11324,"13","旧石器 集落跡",35.8492490051615,139.529653716721,1,1,0,0,1,1,0,0,0,0
11324001700,11324,"17","旧石器 窯跡",35.8286638413578,139.539974199205,1,0,0,0,0,1,0,0,0,0
11324001800,11324,"18","旧石器 集落跡",35.8295826137038,139.529105579364,1,1,0,0,0,0,0,0,0,0
11324002000,11324,"20","旧石器",35.8356684964874,139.506784600733,1,0,0,0,0,0,0,0,0,0
11324002100,11324,"21","旧石器",35.8173660826,139.509512108696,1,0,0,0,0,0,0,0,0,0
