"JASID","LGC","Admin_no","Site_no","SiteName","SiteType","Note","P","J","Y","K","N","H","Ka","Na","Mu","Se","E","D","U","Lon","Lat"
11341002100,11341,39,21,"清水南遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3779072,36.09026789
11341002200,11341,39,22,"棘山古墳群","古墳群","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3804643,36.09091558
11341002300,11341,39,23,"西ノ谷遺跡","集落跡 散布地","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3760355,36.09099881
11341002000,11341,39,20,"菖蒲沼遺跡","集落跡","",NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3819584,36.09182151
11341036800,11341,39,368,"柳谷遺跡","集落跡","",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3762758,36.09416148
11341001800,11341,39,18,"菖蒲沼古墳群","古墳群","",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3797955,36.09420737
11341025200,11341,39,252,"清水II遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3791109,36.09295991
11341001900,11341,39,19,"造山古墳群","古墳 古墳群","",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3822674,36.09531705
11341035200,11341,39,352,"ゴエモン塚古墳","古墳群","",NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3682357,36.08749102
11341002900,11341,39,29,"大沼遺跡","集落跡","",NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3724021,36.08979469
11341031900,11341,39,319,"長坂遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3683972,36.09453292
11341001600,11341,39,16,"山の上古墳群","古墳","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3710606,36.09536855
11341003100,11341,39,31,"弁財天遺跡","集落跡","",NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.368654,36.0895284
11341001700,11341,39,17,"山の上遺跡","集落跡","",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3732576,36.09453292
11341001400,11341,39,14,"広地池脇遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3706827,36.09705741
11341001500,11341,39,15,"広地池脇遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3724682,36.09758786
11341001300,11341,39,13,"中耕地遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3677301,36.09736256
11341002400,11341,39,24,"根肥古墳群","集落跡","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3785074,36.08686495
11341002500,11341,39,25,"根肥遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.379915,36.08750308
11341002800,11341,39,28,"本納地遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3751085,36.08761405
11341003900,11341,39,39,"小川谷II遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3632308,36.0867224
11341003800,11341,39,38,"小川谷遺跡","散布地","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3614121,36.08710243
11341003700,11341,39,37,"小川谷III遺跡","散布地","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3631506,36.08787421
11341003600,11341,39,36,"耕作II遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3638029,36.08892849
11341003500,11341,39,35,"耕作遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3619972,36.08868008
11341003400,11341,39,34,"亀ヶ入遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3626161,36.09173588
11341003300,11341,39,33,"亀ヶ入II遺跡","集落跡","",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3650786,36.09266148
11341001100,11341,39,11,"薬王子遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3625116,36.09894379
11341001200,11341,39,12,"油免遺跡","散布地","",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3635759,36.09866638
11341035100,11341,39,351,"寺谷廃寺","寺院跡","",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,139.3579508,36.05570295
11341036000,11341,39,360,"寺沼東遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3603091,36.0560115
11341032200,11341,39,322,"寺谷東遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3608085,36.05656373
11341032000,11341,39,320,"狸塚遺跡","集落跡","",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3592636,36.05817353
11341019800,11341,39,198,"大谷遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3565491,36.05977281
11341024200,11341,39,242,"平谷遺跡","集落跡","",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3571678,36.05785813
11341019900,11341,39,199,"大谷II遺跡","集落跡 古墳群","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3593478,36.06009147
