"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11218711400,11218,"深谷市",114,"万願寺跡","寺院跡",36.12064296,139.3073133,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11225002500,11225,"入間市",25,"宮寺遺跡","その他",35.78729648,139.3760932,NA,NA,NA,1,NA,NA,0,NA,NA,"1"
11228000600,11228,"志木市",6,"塚の山古墳","古墳",35.82645031,139.5649862,NA,NA,NA,1,NA,NA,0,NA,NA,"1"
11228001000,11228,"志木市",10,"田子山遺跡","集落跡 墓",35.83191384,139.5827627,NA,1,1,1,1,1,1,1,NA,"1"
11228001100,11228,"志木市",11,"富士前遺跡","集落跡",35.82990354,139.5806265,NA,1,1,1,NA,1,0,1,NA,"1"
11228001500,11228,"志木市",15,"市場裏遺跡","集落跡",35.83295699,139.5774697,NA,NA,1,1,NA,NA,0,NA,NA,"1"
11228001600,11228,"志木市",16,"大原遺","集落跡",35.82769926,139.5814369,NA,NA,NA,NA,NA,NA,0,1,NA,"1"
11230003600,11230,"新座市",36,"","散布地",35.82019204,139.5721164,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11230008200,11230,"新座市",82,"","散布地",35.76880444,139.5741737,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11241002800,11241,"鶴ヶ島市",28,"三ツ木館","城跡",35.92482022,139.3883759,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11241003100,11241,"鶴ヶ島市",31,"塚のこし","経塚",35.92679239,139.3876013,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11241003700,11241,"鶴ヶ島市",37,"権現塚","経塚",35.94232989,139.4127131,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11241003800,11241,"鶴ヶ島市",38,"十三塚","経塚",35.93917743,139.4120459,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11242016700,11242,"日高市",167,"西原遺跡","集落跡",35.88032661,139.3726294,NA,NA,NA,NA,NA,1,0,NA,NA,"1"
11341030500,11341,"滑川町",305,"大堀西II遺跡","その他",36.04268503,139.3480015,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11341030800,11341,"滑川町",308,"新堤下A","集落跡 その他",36.04169318,139.340914,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11341030900,11341,"滑川町",309,"南谷原遺跡","その他",36.04219287,139.3381331,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11341035400,11341,"滑川町",354,"向II遺跡","その他",36.0879996,139.3379009,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11341035700,11341,"滑川町",357,"東平III遺跡","散布地",36.05114837,139.3568279,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11348019500,11348,"鳩山町",195,"皿沼下遺跡","城跡",35.98606986,139.3394361,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11362000900,11362,"皆野町",9,"小塚沢経塚","経塚",36.10242465,139.0852969,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11362006100,11362,"皆野町",61,"玉川入経塚","その他",36.0585687,139.1433798,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11362008700,11362,"皆野町",87,"寿福院跡","寺院跡",36.08199226,139.107865,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
11369001900,11369,"東秩父村",19,"大久保遺跡","その他",36.05340631,139.224941,NA,NA,NA,NA,NA,NA,0,NA,NA,"1"
