"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202400800,11202,"熊谷市",8,"船木遺跡","集落跡 墓",36.07979555,139.4219143,NA,NA,1,1,1,1,0,NA,NA,NA
11202401200,11202,"熊谷市",12,"円山遺跡","集落跡",36.07989523,139.4187325,NA,NA,1,NA,1,1,0,NA,NA,NA
11202401800,11202,"熊谷市",18,"北廓遺跡","集落跡 包含層",36.08858217,139.413048,NA,1,1,NA,1,1,0,NA,NA,NA
11202402300,11202,"熊谷市",23,"西内手遺跡","集落跡",36.11161831,139.3845456,NA,1,1,NA,1,1,0,NA,NA,NA
11202404100,11202,"熊谷市",41,"中廓遺跡","集落跡",36.08560027,139.4152093,NA,NA,1,1,1,1,0,NA,NA,NA
11202405100,11202,"熊谷市",51,"大境遺跡","集落跡 古墳",36.07518801,139.4210091,NA,1,1,1,1,1,0,NA,NA,NA
11202406000,11202,"熊谷市",60,"阿諏訪野東遺跡","集落跡 古墳群 古墳（円） 円墳",36.08073975,139.4157458,NA,NA,1,1,NA,NA,0,NA,NA,NA
11202500100,11202,"熊谷市",1,"姥ヶ沢遺跡","集落跡 古墳（円）",36.1266084,139.3137242,NA,1,1,1,1,1,0,NA,NA,NA
11202503200,11202,"熊谷市",32,"鹿島遺跡","集落跡 城館跡",36.10749778,139.3613048,NA,1,1,NA,1,1,1,1,NA,NA
11207003200,11207,"秩父市",32,"柳田下ツ原遺跡","集落跡",36.01372688,139.0844807,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11207003500,11207,"秩父市",35,"柳田遺跡Ⅰ","集落跡",36.01082284,139.0846117,1,NA,1,NA,NA,NA,0,NA,NA,NA
11207003600,11207,"秩父市",36,"柳田遺跡Ⅱ","集落跡",36.0094898,139.0831354,NA,1,1,NA,NA,1,0,NA,NA,NA
11207005400,11207,"秩父市",54,"","集落跡",35.99871872,139.0847852,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11207006700,11207,"秩父市",67,"","集落跡",36.0064678,139.0838582,NA,1,1,NA,NA,NA,0,NA,NA,NA
11207007500,11207,"秩父市",75,"大沼遺跡","集落跡",35.97716531,139.0715942,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11207008000,11207,"秩父市",80,"橋立岩陰遺跡","その他",35.95734,139.057861,1,1,1,1,NA,NA,0,NA,NA,NA
11207025900,11207,"秩父市",259,"","集落跡",35.97324,139.076157,NA,1,1,NA,NA,NA,0,NA,NA,NA
11207026800,11207,"秩父市",268,"野土遺跡","集落跡",35.97324,139.076157,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11207301200,11207,"秩父市",12,"彦久保岩陰遺跡","集落跡 その他",36.037281,139.025421,NA,1,1,1,NA,1,0,NA,NA,NA
11207302500,11207,"秩父市",25,"井上遺跡","集落跡",36.037281,139.025421,NA,1,1,1,1,1,0,NA,NA,NA
11207304900,11207,"秩父市",49,"わらび沢岩陰遺跡","その他",36.064865,138.965881,NA,1,1,1,NA,NA,0,NA,NA,NA
11207310100,11207,"秩父市",101,"井上遺跡II","墓",36.037281,139.025421,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11207502400,11207,"秩父市",24,"中野遺跡","集落跡",35.95757351,138.9842241,NA,1,1,NA,NA,NA,0,NA,NA,NA
11208000400,11208,"所沢市",4,"所沢市No.4遺跡","集落跡",35.80917621,139.534067,1,1,1,NA,NA,NA,0,NA,NA,NA
11208002300,11208,"所沢市",23,"東の上遺跡","集落跡",35.79562186,139.406035,NA,1,1,1,1,1,0,NA,NA,NA
11208002800,11208,"所沢市",28,"吉野遺跡","集落跡",35.78641093,139.386568,1,1,1,1,NA,NA,0,NA,NA,NA
11208003000,11208,"所沢市",30,"西内手遺跡","集落跡",35.83227123,139.4839966,NA,1,1,1,NA,NA,0,NA,NA,NA
11208003200,11208,"所沢市",32,"宮前遺跡","集落跡",35.79205773,139.4057321,1,1,1,1,NA,NA,0,NA,NA,NA
11208004100,11208,"所沢市",41,"日向遺跡","集落跡",35.7870967,139.4147931,1,1,1,1,1,1,0,NA,NA,NA
11208005400,11208,"所沢市",54,"","集落跡",35.79397234,139.427108,NA,1,1,1,NA,NA,0,NA,NA,NA
11208009300,11208,"所沢市",93,"所沢市No.93遺跡","集落跡",35.78097903,139.438039,NA,NA,1,1,NA,NA,0,NA,NA,NA
11208014300,11208,"所沢市",143,"所沢市No.143遺跡","散布地",35.78495774,139.4965223,1,1,1,NA,NA,NA,0,NA,NA,NA
11208014600,11208,"所沢市",146,"所沢市No.146遺跡","散布地",35.79219146,139.519619,NA,1,1,1,1,1,0,NA,NA,NA
11208014700,11208,"所沢市",147,"寺山遺跡","散布地",35.79007888,139.495032,NA,1,1,1,NA,NA,0,NA,NA,NA
11208014900,11208,"所沢市",149,"所沢市No.149遺跡","集落跡",35.78148013,139.4797193,NA,1,1,1,NA,NA,0,NA,NA,NA
11212000100,11212,"東松山市",1,"高坂一番町遺跡","集落跡",36.00636925,139.4011859,NA,1,1,1,1,1,0,NA,NA,NA
11212000300,11212,"東松山市",3,"高坂二番町遺跡","集落跡",36.00497549,139.4025895,NA,1,1,1,1,1,0,NA,NA,NA
11212001100,11212,"東松山市",11,"高坂三番町遺跡","集落跡",36.0025894,139.4037067,NA,NA,1,1,1,1,0,NA,NA,NA
11212001700,11212,"東松山市",17,"上後原遺跡","集落跡",36.00780968,139.3963859,NA,NA,1,NA,1,1,0,NA,NA,NA
11212001800,11212,"東松山市",18,"大門遺跡","集落跡",36.00892739,139.3938647,NA,NA,1,1,1,1,0,NA,NA,NA
11212005100,11212,"東松山市",51,"代正寺遺跡","集落跡",35.99964655,139.4074975,NA,NA,1,1,1,1,0,NA,NA,NA
11212005400,11212,"東松山市",54,"大西遺跡","集落跡",35.99705414,139.4010982,NA,1,1,1,1,1,0,NA,NA,NA
11212005800,11212,"東松山市",58,"下寺前遺跡","集落跡",35.99984502,139.3988676,NA,NA,1,1,1,1,1,1,NA,NA
11212009300,11212,"東松山市",93,"杉の木遺跡","集落跡",35.99407867,139.3957099,NA,1,1,1,1,1,0,NA,NA,NA
11212011000,11212,"東松山市",110,"宮本遺跡","集落跡",35.99141399,139.3917218,NA,1,1,1,1,1,0,NA,NA,NA
11212014800,11212,"東松山市",148,"鷲神社裏遺跡","集落跡",36.01964289,139.4356976,NA,1,1,1,1,1,0,NA,NA,NA
11212016100,11212,"東松山市",161,"五領遺跡","集落跡",36.02884855,139.4130914,NA,1,1,1,NA,NA,0,NA,NA,NA
11212017400,11212,"東松山市",174,"岩の上遺跡","集落跡",36.02956927,139.3716491,NA,1,1,NA,1,1,0,NA,NA,NA
11212018800,11212,"東松山市",188,"下松1号墳","古墳群　古墳",36.03854561,139.4148691,NA,NA,1,1,NA,NA,0,NA,NA,NA
11212019000,11212,"東松山市",190,"上松本遺跡","集落跡　古墳",36.03941137,139.4130605,NA,NA,1,1,NA,NA,0,NA,NA,NA
