"JASID","自治体コード","遺跡番号","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11341005100,11341,"51","城跡",36.0711235975894,139.373887129946,0,0,0,0,0,0,1,0,0,0
11341003200,11341,"32","その他",36.0832580450269,139.368825695997,0,0,0,1,0,0,1,0,0,0
11341008000,11341,"80","集落跡 城跡",36.0693966213087,139.36578908653,0,1,0,1,1,1,1,0,0,0
11341032500,11341,"325","城跡",36.0579017950691,139.36500590489,0,0,0,0,0,0,1,0,0,0
11341036400,11341,"364","その他",36.0563557844732,139.339598809321,0,0,0,0,0,0,1,0,0,0
11342000100,11342,"1","集落跡",36.0358462381805,139.322300429748,0,0,0,0,0,0,1,0,0,0
11342000200,11342,"2","集落跡",36.0284961198866,139.329172985863,0,0,0,0,0,1,1,0,0,0
11342000400,11342,"4","集落跡",36.0622386929755,139.312325470621,0,0,0,0,0,0,1,0,0,0
11342000500,11342,"5","経塚 寺院跡",36.0437721575368,139.306873090438,0,0,0,0,0,1,1,0,0,0
11342000700,11342,"7","城跡",36.0731887567877,139.303525694242,0,0,0,0,0,0,1,0,0,0
11342002000,11342,"20","集落跡",36.0384990777816,139.300330616294,0,1,0,0,1,1,1,0,0,0
11342003200,11342,"32","古墳群 墓 その他",36.0361352382224,139.318055417953,0,0,0,1,0,0,1,0,0,0
11342006500,11342,"65","寺院跡",36.0231519086824,139.305763205504,0,0,0,0,0,0,1,1,0,0
11342006700,11342,"67","寺院跡",36.0466650416006,139.305567847927,0,0,0,0,0,1,1,0,0,0
11342008200,11342,"82","集落跡 古墳群",36.0295130259359,139.326947655942,0,1,0,1,0,0,1,0,0,0
11342009000,11342,"90","寺院跡",36.0709226270924,139.308430301912,0,0,0,0,0,1,1,0,0,0
11342009700,11342,"97","集落跡",36.0529867029914,139.317573033599,0,1,0,0,0,1,1,0,0,0
11342010000,11342,"100","寺院跡",36.0282463185176,139.326762554853,0,0,0,0,0,0,1,0,0,0
11346002100,11346,"21","集落跡",35.9869535300366,139.499495927562,0,0,0,1,1,1,1,1,0,0
11346001700,11346,"17","城跡",35.9798690608185,139.504321991517,0,0,0,0,0,0,1,0,0,0
11348004600,11348,"46","集落跡 窯跡",35.9880144542367,139.339333077206,0,0,0,0,1,1,1,1,0,0
