"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11202002600,11202,"熊谷市",26,"万吉下原古墳群","古墳群",NA,36.11427224,NA,NA,1,NA,NA,NA,0,NA,NA,"139.3675758"
11202002700,11202,"熊谷市",27,"瀬戸山古墳群","古墳群",NA,36.1079133,NA,NA,1,NA,NA,NA,0,NA,NA,"139.3779564"
11202002800,11202,"熊谷市",28,"瀬戸山遺跡","集落跡 古墳群 窯跡 墓 遺物包含地",NA,36.10816882,1,NA,1,1,1,NA,1,NA,NA,"139.3764805"
11202002900,11202,"熊谷市",29,"楊井前原遺跡","集落跡",NA,36.10501193,NA,NA,1,NA,NA,NA,0,NA,NA,"139.3739944"
11202006500,11202,"熊谷市",65,"村岡古墳群","古墳群",NA,36.12433363,NA,NA,1,NA,NA,NA,0,NA,NA,"139.3747797"
11202006600,11202,"熊谷市",66,"万吉西浦遺跡","集落跡",NA,36.12238147,1,NA,1,NA,1,NA,1,NA,NA,"139.3642472"
11202008900,11202,"熊谷市",89,"下原遺跡","集落跡 墓",NA,36.11149783,1,NA,1,1,1,1,1,NA,NA,"139.3645113"
11202010900,11202,"熊谷市",109,"安通寺遺跡","集落跡",NA,36.10097504,NA,NA,1,NA,NA,NA,0,NA,NA,"139.381423"
11202400100,11202,"熊谷市",1,"甲山古墳","集落跡 古墳（円） 円墳",NA,36.07867649,1,NA,1,NA,NA,NA,0,NA,NA,"139.4067317"
11202400200,11202,"熊谷市",2,"賢木岡西古墳群1号墳","古墳（円） 円墳",NA,36.08131707,NA,NA,1,NA,NA,NA,0,NA,NA,"139.408114"
11202400300,11202,"熊谷市",3,"賢木岡西古墳群2号墳","古墳（円） 円墳",NA,36.08131707,NA,NA,1,NA,NA,NA,0,NA,NA,"139.4083967"
11202400400,11202,"熊谷市",4,"楓山古墳","古墳（円） 円墳",NA,36.07974954,NA,NA,1,NA,NA,NA,0,NA,NA,"139.4133896"
