JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11362000100,11362,47,1,笹の沢遺跡,その他,,,1,,,,,,,,,,,,139.05122909939600,36.120832095301000
11362000200,11362,47,2,舟附戸遺跡,散布地,,,1,,,,,,,,,,,,139.07634317223900,36.11928957177940
11362000300,11362,47,3,出牛平遺跡,その他,,,1,,,,,,,,,,,,139.079776178077,36.11503702433510
11362000400,11362,47,4,若林館,城跡,,,,,,,,,,,1,1,,,139.07033805011000,36.1149633245126
11362000500,11362,47,5,浦山城跡,城跡,,,,,,,,,,,,,,,139.05346855469500,36.114530482648000
11362000600,11362,47,6,金沢城跡,城跡,,,,,,,,,,1,,,,,139.04439365279800,36.11113275345020
11362000700,11362,47,7,妙部谷戸遺跡,散布地,,,1,,,,,,,,,,,,139.07698849117300,36.10483793274430
11362000800,11362,47,8,新平Ⅰ遺跡,その他,,,,,,,,,,,,,,,139.0801813925230,36.10350647736610
11362000900,11362,47,9,小塚沢経塚,経塚,,,,,,,,,,,,,,1,139.08529690208000,36.10242465371850
11362001000,11362,47,10,設楽氏館,その他,,,,,,,,,,,1,,,,139.08558306342900,36.10183283172630
11362001100,11362,47,11,岩殿洞窟,その他,,,1,,1,1,,,,,,,,,139.07420757608100,36.09915135127740
11362001200,11362,47,12,小松祭祀遺跡,祭祀,,,,,,1,,,,,,,,,139.0397741256410,36.099058793562900
11362001300,11362,47,13,谷草洞窟,その他,,,,,1,,,,,,,,,,139.14063305554200,36.085871425896400
11362001400,11362,47,14,,,抹消,,,,,,,,,,,,,,139.08172029235500,36.08939778813250
11362001500,11362,47,15,松畝遺跡,散布地,,,1,,,,,,,,,,,,139.1351344010480,36.08437575471000
11362001600,11362,47,16,勝負沢岩蔭,その他,,,1,,,,,,,,,,,,139.07448922982700,36.089411080349600
11362001700,11362,47,17,根古屋Ⅰ遺跡,集落跡　その他,,,,,1,,,,,,,,,,139.07742129856200,36.08813500604760
11362001800,11362,47,18,一ト星遺跡,散布地,抹消,,,,1,,,,,,,,,,139.08233081400900,36.08688650175150
11362001900,11362,47,19,高松城,城跡,,,,,,,,,,1,1,,,,139.07321506836200,36.08668810518980
11362002000,11362,47,20,入沢遺跡,散布地,,,1,,1,,,,,,,,,,139.08451658847400,36.085459123091200
11362002100,11362,47,21,根岸山砦跡,城跡,,,,,,,,,,,1,,,,139.1074320577120,36.08518887294440
11362002200,11362,47,22,門平高札場,その他,,,,,,,,,,,,1,,,139.03228364282500,36.08564056734150
11362002300,11362,47,23,朝日山遺跡,散布地,,,1,,,,,,,,,,,,139.08537256040500,36.08741896239060
11362002400,11362,47,24,田端遺跡,集落跡　その他,,,1,,,,,,,,,,,,139.1157629471100,36.08260941727410
11362002500,11362,47,25,東門平遺跡,散布地,,,,,1,,,,,,,,,,139.03166566213000,36.08579316452310
11362002600,11362,47,26,阿左美館,その他,,,,,,,,,,,,1,,,139.06552253256900,36.08434335212080
11362002700,11362,47,27,三角穴半洞穴,その他,,,1,,,,,,,,,,,,139.0701291942960,36.08374897241030
11362002800,11362,47,28,千の宮岩蔭,その他,,,1,,,,,,,,,,,,139.07252842219900,36.08360836754160
11362002900,11362,47,29,宮平遺跡,集落跡　散布地,,,1,,,,,,,,,,,,139.08016788092100,36.08333509243490
11362003000,11362,47,30,上の平古墳群,古墳群,,,,,1,,,,,,,,,,139.09157365499900,36.08133778023790
11362003100,11362,47,31,上川端遺跡,散布地,,,,,1,,,,,,,,,,139.1119445813900,36.08097286733410
11362003200,11362,47,32,皆野館,城跡,,,,,,,,,,1,,,,,139.1174126889230,36.08069735672940
11362003300,11362,47,33,宮寺院推定地,寺院跡,,,,,,,,,,1,,,,,139.05116539712100,36.083488737658
11362003400,11362,47,34,富平遺跡,集落跡　その他,,,1,,,,,,,,,,,,139.07509499463900,36.0833777514664
11362003500,11362,47,35,中平№1遺跡,その他,,,1,,,,,,,,,,,,139.07646874351500,36.08279497448280
11362003600,11362,47,36,中平№3遺跡,集落跡　その他,,,1,,,,,,,,,,,,139.07756691873000,36.082739592973200
11362003700,11362,47,37,中平№2遺跡,集落跡　その他,,,1,,,,,,,,,,,,139.07636445660800,36.081906585256800
11362003800,11362,47,38,神平遺跡,集落跡　その他,,,1,,,,,,,,,,,,139.08334695563300,36.08142590676350
11362003900,11362,47,39,妙見平遺跡,集落跡　その他,,,1,,,,,,,,,,,,139.09267228741900,36.08074122372140
11362004000,11362,47,40,上ノ久保遺跡,集落跡　その他,,,1,,,,,,,,,,,,139.09361230780900,36.081808888482000
11362004100,11362,47,41,吉丸遺跡,集落跡　その他,,,1,,1,,,,,,,,,,139.11009673148700,36.08014431345470
11362004200,11362,47,42,柳井戸遺跡,集落跡　散布地,,,,,,,,,,,1,,,,139.11382604615000,36.079689675686800
11362004300,11362,47,43,田野城跡,城跡,,,,,,,,,,,,1,,,139.11915435791200,36.07883633085590
11362004400,11362,47,44,熊の山岩蔭,その他,,,1,,,,,,,,,,,,139.03487806223100,36.08249855587940
11362004500,11362,47,45,駒形遺跡,集落跡,,,1,,,,,,,,,,,,139.09749286961800,36.077627901603200
11362004600,11362,47,46,大背戸遺跡,集落跡,,,1,,,,,,,,,,,,139.09960218724600,36.0792266538093
11362004700,11362,47,47,新井遺跡,集落跡　散布地,,,1,,,,,,,,,,,,139.09987684518700,36.07789476396520
11362004800,11362,47,48,半縄遺跡,集落跡　散布地,,,1,,,,,,,,,,,,139.1094787507920,36.07906216819690
11362004900,11362,47,49,下小坂遺跡,その他,,,1,,,,,,,,,,,,139.10011717137700,36.07542515749450
11362005000,11362,47,50,上富沢遺跡,集落跡　散布地,,,1,,,,,,,,,,,,139.10602232235100,36.074925679749300
11362005100,11362,47,51,龍が谷城跡,城跡,,,,,,,,,,1,1,,,,139.1243803509140,36.073264896841500
11362005200,11362,47,52,大渕古墳,古墳,,,,,1,,,,,,,,,,139.08741198985000,36.0718423944339
11362005300,11362,47,53,渕の尾遺跡,散布地,,,1,,,,,,,,,,,,139.12693696435400,36.067514326170600
11362005400,11362,47,54,大渕氏館,城跡,,,,,,,,,,,,,,,139.0844479236610,36.07028099753950
11362005500,11362,47,55,屋敷前遺跡,散布地,,,1,,,,,,,,,,,,139.08544355886200,36.07011449406760
11362005600,11362,47,56,内手古墳群,古墳群,,,,,1,,,,,,,,,,139.0922394398100,36.063480203924500
