JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,不明,経度,緯度
11365412100,11365,45,121,春日野道下古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.0379337591290,36.015736611694400
11365405500,11365,45,55,,散布地,,,1,,,1,1,,,,,,,139.03839058258600,36.016589134823000
11365405800,11365,45,58,,散布地,,,,,,1,1,,,,,,,139.03624126740900,36.01697654727470
11365405700,11365,45,57,,散布地,,,,,,1,1,,,1,,,,139.03721278121400,36.0186385070794
11365412300,11365,45,123,,古墳,,,,,1,,,,,,,,,139.03688662433600,36.01820808927950
11365413000,11365,45,130,小鹿原古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.03891009474500,36.01291762372790
11365412800,11365,45,128,小鹿原古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.03905600665400,36.01304259263810
11365413200,11365,45,132,小鹿原古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.03875559924400,36.01304953523180
11365412700,11365,45,127,小鹿原古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.0389203356210,36.01324788940340
11365412600,11365,45,126,小鹿原古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.03925351153200,36.013266812469600
11365406000,11365,45,60,,散布地,,,1,,,1,1,,,,,,,139.0387332719170,36.01392303979150
11365405600,11365,45,56,,散布地,,,,,,1,1,,,,,,,139.0392281782490,36.015227053943000
11365412000,11365,45,120,春日野道下古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.03881622624500,36.01590153329990
11365411900,11365,45,119,春日野道下古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.03913732443700,36.01610759932370
11365411600,11365,45,116,春日野道下古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.03958366025,36.01611810351030
11365412200,11365,45,122,姥塚古墳,古墳,,,,,1,,,,,,,,,139.0398420471540,36.01495528003810
11365404600,11365,45,46,,散布地,,,,,,,,,,,,1,,139.04427077700400,36.021647536446800
11365404800,11365,45,48,,散布地,,,,,,,,,,1,,1,,139.04196329979,36.021708207502900
