JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,LGCCheck,TownCheck,OverallCheck,AddressCandidates,DictionaryCandidates,PointBoundaryLGC,PointBoundaryTown,MatchedAddressCandidate,MatchedBoundaryTown,NormalizedLGC,SourceRowNumber
13101002100,13101,21,がいむしょうこうないいせき,外務省構内遺跡,千代田区 霞ヶ関二丁目,[縄文時代][近世],大名屋敷,[近世]井戸　石組溝　上水桝　石垣　溝状遺構,縄文土器　陶磁器　瓦　金属製品　木製品　動物遺体,139.7498313,35.67437944,Match,Mismatch,TownMismatch,霞ヶ関二丁目,,13101,霞が関二丁目,,,13101,21
13101003800,13101,38,,千代田区No.38遺跡,千代田区 北の丸公園,[近世],上水道,[近世]上水木樋,,139.7515764,35.68912043,Match,Mismatch,TownMismatch,北の丸公園,北の丸公園,13101,千代田,,,13101,36
13101003900,13101,39,,千代田区No.39遺跡,千代田区 霞ヶ関三丁目,[近世],上水道,[近世]上水木樋,,139.7453681,35.67122785,Match,Mismatch,TownMismatch,霞ヶ関三丁目,,13101,霞が関三丁目,,,13101,37
13101004400,13101,44,,千代田区No.44遺跡,千代田区 永田町二丁目,[近世],上水路跡,[近世]石樋,,139.7383986,35.67886955,Match,Mismatch,TownMismatch,永田町二丁目,永田町二丁目,13101,紀尾井町,,,13101,42
13101005000,13101,50,よつやみつけあと,四谷見附跡,千代田区 麹町六丁目,[近世],城館,[近世]石垣,,139.7315483,35.68610111,Match,Mismatch,TownMismatch,麹町六丁目,麹町六丁目,13101,六番町,,,13101,48
13101006000,13101,60,いいだまちいせき,飯田町遺跡,千代田区 飯田町二丁目　 飯田町三丁目,[縄文時代][古墳時代][奈良時代][平安時代][近世],包蔵地・屋敷,[近世]屋敷境　地下室　土坑　上水道　石組溝　井戸　庭園,縄文土器　土師器　須恵器　陶磁器　瓦　砥石　硯　漆器　下駄　曲物,139.7498656,35.70120476,Match,Mismatch,TownMismatch,飯田町二丁目｜飯田町三丁目,,13101,飯田橋三丁目,,,13101,57
13101006900,13101,69,せいがんいんあと,栖岸院跡,千代田区 麹町五丁目,[近世],その他の墓,[近世]石室墓　甕棺墓,陶磁器　土器　土人形　木製品,139.7341232,35.68504146,Match,Mismatch,TownMismatch,麹町五丁目,麹町五丁目,13101,二番町,,,13101,66
13101007500,13101,75,もんぶかがくしょうこうないいせき,文部科学省構内遺跡,千代田区 霞ヶ関三丁目,[平安時代][近世],包蔵地・城館・屋敷,[近世]石垣（外堀）　溝　ピット,陶磁器　瓦　須恵器,139.7490073,35.67131152,Match,Mismatch,TownMismatch,霞ヶ関三丁目,,13101,霞が関三丁目,,,13101,72
13101007900,13101,79,ひろしまはんあさのけかみやしきあと,広島藩浅野家上屋敷跡,千代田区 霞ヶ関二丁目,[近世],屋敷,[近世]擁壁石積　溝　石組溝　井戸,陶磁器片,139.7511016,35.67613647,Match,Mismatch,TownMismatch,霞ヶ関二丁目,,13101,霞が関二丁目,,,13101,76
13101008100,13101,81,かんだあわじちょうにちょうめいせき,神田淡路町二丁目遺跡,千代田区 淡路町二丁目,[近世],屋敷,上水道跡　建物址　下水道跡　土坑　杭跡,陶磁器　瓦　金属製品　木製品　土器,139.7671004,35.69758024,Match,Mismatch,TownMismatch,淡路町二丁目,,13101,神田淡路町二丁目,,,13101,78
13101008700,13101,87,かんだねりべいちょういせき,神田練塀町遺跡,千代田区 練塀町,[近世],屋敷,池跡　建物基礎　溝状遺構　土壙,陶磁器　瓦　木製品　漆器,139.7747222,35.70003378,Match,Mismatch,TownMismatch,練塀町,,13101,神田練塀町,,,13101,84
13101009200,13101,92,,千代田区No.92遺跡,千代田区 東神田一丁目,[近世],その他(石組溝),[近世]石組溝,(近世)墓石,139.7800983,35.69294093,Mismatch,Mismatch,LGCAndTownMismatch,東神田一丁目,東神田一丁目,13102,日本橋小伝馬町,,,13101,89
13101009300,13101,93,,千代田区No.93遺跡,千代田区 神保町一丁目,[近世],屋敷,[近世]上水　土坑　杭,(近世)陶磁器,139.7595134,35.69684344,Match,Mismatch,TownMismatch,神保町一丁目,,13101,神田神保町一丁目,,,13101,90
13101009900,13101,99,しまとばはんいながきけかみやしきあと,志摩鳥羽藩稲垣家上屋敷跡,千代田区 _町五丁目,縄文(中期・後期)　近世,集落・屋敷・その他,(縄文)住居跡　(近世)大型土坑　建物基礎　池跡　井戸　溝状遺構　土坑　礎石　小穴等,縄文土器　磁器　陶器　土器　瓦　金属製品　ガラス製品　煉瓦等,139.7342003,35.6835939,Match,Mismatch,TownMismatch,_町五丁目,,13101,麹町五丁目,,,13101,96
