LGC,Name,Count
13100,区部,0
13101,千代田区,97
13102,中央区,178
13103,港区,261
13104,新宿区,152
13105,文京区,138
13106,台東区,165
13107,墨田区,146
13108,江東区,6
13109,品川区,32
13110,目黒区,60
13111,大田区,235
13112,世田谷区,289
13113,渋谷区,78
13114,中野区,94
13115,杉並区,165
13116,豊島区,16
13117,北区,55
13118,荒川区,7
13119,板橋区,175
13120,練馬区,106
13121,足立区,27
13122,葛飾区,27
13123,江戸川区,13
13200,多摩地区,0
13201,八王子市,997
13202,立川市,21
13203,武蔵野市,5
13204,三鷹市,55
13205,青梅市,181
13206,府中市,72
13207,昭島市,46
13208,調布市,91
13209,町田市,912
13210,小金井市,24
13211,小平市,4
13212,日野市,52
13213,東村山市,148
13214,国分寺市,46
13215,国立市,55
13218,福生市,19
13219,狛江市,72
13220,東大和市,76
13221,清瀬市,77
13222,東久留米市,138
13223,武蔵村山市,40
13224,多摩市,311
13225,稲城市,146
13227,羽村市,10
13228,あきる野市,183
13229,西東京市,14
13303,瑞穂町,22
13305,日の出町,25
13307,檜原村,42
13308,奥多摩町,50
13360,島嶼部,0
13361,大島町,0
13362,利島村,0
13363,新島村,0
13364,神津島村,0
13381,三宅村,0
13382,御蔵島村,0
13401,八丈町,0
13402,青ヶ島村,0
13421,小笠原村,0
13000,東京都計,0
