watersystem_name,river_name,n_records,n_unique_JASID,watersystem_code,river_code,unit_basin_code
unknown,unknown,553,553,unknown,unknown,0
利根川,毛長川,21,21,830303,8303030438,478;517
利根川,新中川,10,10,830303,8303030338,389;390;393
利根川,中川,9,9,830303,8303030339,427
利根川,江戸川,9,9,830303,8303030304,345;347
利根川,小松川,5,5,830303,8303030000,426
利根川,綾瀬川,4,4,830303,8303030436,432
利根川,一之江境川,1,1,830303,8303030000,425
利根川,左近川,1,1,830303,8303030000,514
利根川,旧江戸川,1,1,830303,8303030334,388
利根川,長島川,1,1,830303,8303030000,470
名称不明,名称不明,280,280,120000;130000,1200000000;1300000000,1;2;3;4;5;6;8;9;10;16;18;19
境川,境川,265,265,140013,1400130001,17;19
境川,大門川,1,1,140013,1400130000,16
多摩川,多摩川,523,523,830305,8303050001,1;2;13;19;20;25;29;33;39;42;45;46;68;70;92;98
多摩川,大栗川,461,461,830305,8303050015,21;23;30
多摩川,乞田川,244,244,830305,8303050017,22
多摩川,太田川,226,226,830305,8303050018,28
多摩川,野川,193,193,830305,8303050005,10;18
多摩川,三沢川,122,122,830305,8303050011,17
多摩川,平井川,100,100,830305,8303050039,50;52;56;60;66
多摩川,丸子川,98,98,830305,8303050003,3;8
多摩川,兵衛川,91,91,830305,8303050022,36
多摩川,秋川,87,87,830305,8303050036,43;62;78;79
多摩川,谷地川,76,76,830305,8303050035,35
多摩川,浅川,75,75,830305,8303050020,27;31;37;47;49;75;88
多摩川,湯殿川,72,72,830305,8303050021,32;40
多摩川,名称不明,70,70,830305,8303050000,12;82;84
多摩川,残堀川,58,58,830305,8303050034,26;34
多摩川,仙川,55,55,830305,8303050006,9;14
多摩川,南浅川,29,29,830305,8303050025,48;74
多摩川,川口川,28,28,830305,8303050024,41;44
多摩川,谷沢川,21,21,830305,8303050004,5
多摩川,南秋川,19,19,830305,8303050000,89;90
多摩川,北秋川,18,18,830305,8303050038,81;91
多摩川,入間川,15,15,830305,8303050007,16
多摩川,大沢川,12,12,830305,8303050028,72
多摩川,城山川,9,9,830305,8303050027,71;73
多摩川,氷沢川,9,9,830305,8303050040,51
多摩川,程久保川,8,8,830305,8303050019,24
多摩川,山田川,6,6,830305,8303050023,38
多摩川,大丹波川,5,5,830305,8303050000,69
多摩川,鯉川,5,5,830305,8303050041,55
多摩川,日原川,4,4,830305,8303050047,87
多摩川,小津川,3,3,830305,8303050031,76
多摩川,養沢川,3,3,830305,8303050037,67
多摩川,大荷田川,2,2,830305,8303050045,57
多摩川,小坂志川,2,2,830305,8303050000,80
多摩川,神戸川,2,2,830305,8303050000,83
多摩川,醍醐川,2,2,830305,8303050032,77
多摩川,三内川,1,1,830305,8303050000,64
多摩川,北大久野川,1,1,830305,8303050044,63
多摩川,山入川,1,1,830305,8303050030,58
多摩川,峰谷川,1,1,830305,8303050000,101
多摩川,川,1,1,830305,8303050018,28
多摩川,案内川,1,1,830305,8303050026,54
多摩川,鷹単川,1,1,830305,8303050046,59
荒川,隅田川,393,393,830304,8303040011,15;16;18;25;32;35;37;50
荒川,神田川,312,312,830304,8303040044,36;51;52;53;69;70
荒川,日本橋川,128,128,830304,8303040045,38
荒川,前川,112,112,830304,8303040000,86
荒川,石神井川,112,112,830304,8303040032,26;47
荒川,空堀川,107,107,830304,8303040023,68;88
荒川,妙正寺川,94,94,830304,8303040047,39;54
荒川,柳瀬川,81,81,830304,8303040020,79;82;83;98
荒川,新河岸川,76,76,830304,8303040012,27;42;56
荒川,黒目川,75,75,830304,8303040017,67;77
荒川,落合川,68,68,830304,8303040019,80
荒川,善福寺川,65,65,830304,8303040049,57
荒川,霞川,61,61,830304,8303040152,120
荒川,白子川,45,45,830304,8303040013,61;63
荒川,名称不明,38,38,830304,8303040000,55
荒川,大横川,35,35,830304,8303040035,33
荒川,北十間川,33,33,830304,8303040034,14;23;24
荒川,江古田川,26,26,830304,8303040048,40
荒川,亀島川,23,23,830304,8303040046,34
荒川,奈良橋川,18,18,830304,8303040024,87
荒川,成木川,13,13,830304,8303040154,158;161;194
荒川,黒沢川,11,11,830304,8303040155,139
荒川,北小曽木川,6,6,830304,8303040158,167
荒川,荒川,6,6,830304,8303040000;8303040001,11;44
荒川,不老川,1,1,830304,8303040030,105
荒川,仙台堀川,1,1,830304,8303040036,22
鶴見川,鶴見川,383,383,830306,8303060001,17;20
鶴見川,恩田川,157,157,830306,8303060010,16
鶴見川,真光寺川,83,83,830306,8303060018,21
鶴見川,麻生川,32,32,830306,8303060016,19
