"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13101000100,13101,"江戸城跡",35.68619003,139.757489,"0","0","0","0","0","0","0","1","0"
13101000200,13101,"旧本丸西貝塚",35.6866013,139.7550845,"0","1","0","0","0","0","0","0","0"
13101000300,13101,"千代田区№3遺跡",35.6844541,139.7568012,"0","0","1","0","0","0","0","0","0"
13101000400,13101,"紅葉山遺跡",35.68495605,139.751926,"0","0","0","0","0","0","0","0","0"
13101000500,13101,"千代田区№5遺跡",35.68565319,139.7534709,"0","0","0","0","1","1","0","0","0"
13101000600,13101,"千代田区№6遺跡",35.68158178,139.7535053,"0","0","0","0","0","0","0","0","0"
13101000800,13101,"牛ヶ淵貝塚",35.69479204,139.7510672,"0","1","1","1","1","1","0","0","0"
13101000900,13101,"九段坂上貝塚",35.69628581,139.7491794,"0","1","1","0","0","1","0","0","0"
13101001000,13101,"永田町二丁目遺跡",35.67281761,139.7438231,"0","1","1","0","0","0","0","1","0"
13101001100,13101,"千代田区№11遺跡",35.6742121,139.7395316,"0","1","0","0","0","0","0","0","0"
13101001200,13101,"千代田区№12遺跡",35.69663226,139.7591696,"0","1","0","0","0","0","0","1","0"
13101001300,13101,"明治大学大学院西側遺跡",35.6988349,139.7612639,"0","1","0","0","0","0","0","0","0"
13101001400,13101,"千代田区№14遺跡",35.68525565,139.7683707,"0","0","0","0","0","0","1","0","0"
13101001500,13101,"千代田区№15遺跡",35.68414911,139.73814,"0","0","0","0","0","0","0","1","0"
13101001600,13101,"千代田区№16遺跡",35.69900219,139.7650405,"0","0","0","0","0","0","0","1","0"
13101001700,13101,"千代田区№17遺跡",35.6704748,139.7551184,"0","0","0","0","0","0","0","1","0"
13101001800,13101,"千代田区№18遺跡",35.6933313,139.7730602,"0","0","0","0","0","0","0","1","0"
13101001900,13101,"日枝神社境内遺跡",35.67535557,139.7393599,"0","0","0","0","0","0","0","1","0"
13101002000,13101,"都立一橋高校内遺跡",35.69466967,139.7811283,"0","0","0","0","0","0","0","1","0"
13101002100,13101,"外務省構内遺跡",35.67437944,139.7498313,"0","1","0","0","0","0","0","1","0"
13101002200,13101,"東京国立近代美術館遺跡",35.69037522,139.754735,"1","1","1","1","0","0","1","1","0"
13101002400,13101,"国会図書館遺跡",35.67859066,139.7445784,"0","0","0","0","0","0","0","1","0"
13101002500,13101,"千代田区№25遺跡",35.696224,139.769836,"0","0","0","0","0","0","0","1","0"
