"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","X","Y"
13101000100,13101,"1","えどじょうあと","江戸城跡","千代田区 千代田　 皇居外苑　 北の丸公園","[近世]","城館","[近世]建物礎石　敷石遺構　囲状遺構　土留遺構　石組溝　暗渠　城門　城橋　天守台　櫓堀　石塁　石垣　地下室　井戸　上下水道","縄文土器　弥生土器　土師器　陶磁器　瓦　金属製品　木製品　鉄釘　火箸　簪　笄　チャコ　銭貨",139.757489,35.68619003,-6864.70840327855,-34812.996673653
13101000200,13101,"2","きゅうほんまるにしかいづか","旧本丸西貝塚","千代田区 千代田","[縄文時代（前期～晩期）]","貝塚","","縄文土器　打斧　石鏃　有溝土錘　骨角器",139.7550845,35.6866013,-7082.30458916786,-34767.1987828753
13101000300,13101,"3","","千代田区No.3遺跡","千代田区 千代田","[弥生時代]","包蔵地","","弥生土器",139.7568012,35.6844541,-6927.11159651576,-35005.5361292867
13101000400,13101,"4","もみじやまいせき","紅葉山遺跡","千代田区 千代田","[縄文前期]","包蔵地","","縄文土器",139.751926,35.68495605,-7368.33187664499,-34949.493968588
13101000500,13101,"5","","千代田区No.5遺跡","千代田区 千代田","[奈良時代][平安時代]","包蔵地","","土師器",139.7534709,35.68565319,-7228.43713717673,-34872.2665751041
13101000600,13101,"6","","千代田区No.6遺跡","千代田区 千代田","","貝塚","","土師器",139.7535053,35.68158178,-7225.69064480131,-35323.9598245737
13101000800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,-7445.14944021963,-33858.2027982219
13101000900,13101,"9","くだんざかうえかいづか","九段坂上貝塚","千代田区 九段北一丁目","[縄文時代（中期）][弥生時代][平安時代]","貝塚","[弥生時代]V字溝　住居","縄文土器　弥生土器　土師器　須恵器",139.7491794,35.69628581,-7615.85483393594,-33692.3357338999
13101001000,13101,"10","ながたちょうにちょうめいせき","永田町二丁目遺跡","千代田区 永田町二丁目","[縄文時代（後期）][弥生時代（中期）][近世]","包蔵地・集落・貝塚・屋敷","[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址","石器　弥生土器　陶磁器類　金属　木製品　瓦",139.7438231,35.67281761,-8102.96791941422,-36295.5187644838
13101001100,13101,"11","","千代田区No.11遺跡","千代田区 永田町二丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.7395316,35.6742121,-8491.31095381754,-36140.4489635074
13101001200,13101,"12","","千代田区No.12遺跡","千代田区 神田神保町一丁目","[縄文時代][近世]","貝塚　その他（上水道）","竹樋","縄文土器　陶磁器",139.7591696,35.69663226,-6711.72156875208,-33654.6286004643
13101001300,13101,"13","めいじだいがくだいがくいんにしがわいせき","明治大学大学院西側遺跡","千代田区 神田駿河台一丁目","[縄文時代（前期）]","包蔵地","","縄文土器",139.7612639,35.6988349,-6522.0107489207,-33410.4036913875
13101001400,13101,"14","","千代田区No.14遺跡","千代田区 大手町二丁目","[中世]","単独出土地","","銅鐘",139.7683707,35.68525565,-5879.86872825077,-34917.3647468511
13101001500,13101,"15","","千代田区No.15遺跡","千代田区 麹町三丁目","[近世]","上水道","[近世]上水木樋　石桝","",139.73814,35.68414911,-8616.21594460265,-35037.8958490962
13101001600,13101,"16","","千代田区No.16遺跡","千代田区 神田駿河台四丁目","[近世]","包蔵地","","陶磁器　銅製高麗犬",139.7650405,35.69900219,-6180.22979086397,-33392.0884245344
13101001700,13101,"17","","千代田区No.17遺跡","千代田区 内幸町二丁目","[近世]","包蔵地・上水路跡","[近世]木樋","陶磁器　煙管　箸　下駄　人形",139.7551184,35.6704748,-7080.66075244519,-36556.3072420754
13101001800,13101,"18","","千代田区No.18遺跡","千代田区 神田富山町","[近世]","包蔵地","","銭貨",139.7730602,35.6933313,-5454.86491825897,-34021.7051608476
13101001900,13101,"19","ひえじんじゃけいだいいせき","日枝神社境内遺跡","千代田区 永田町二丁目","[近世]","包蔵地","","陶磁器　ホウロク　手焙り土器　瓦　石製品　土製人形　銭貨",139.7393599,35.67535557,-8506.73259297781,-36013.5753343921
13101002000,13101,"20","とりつひとつばしこうこうないいせき","都立一橋高校内遺跡","千代田区 東神田一丁目","[近世]","社寺・集落","[近世]建物基礎　井戸　下水道　墓壙","陶磁器　土製品　石製品　金属製品　木製品　人骨　獣骨　貝殻",139.7811283,35.69466967,-4724.6032723577,-33873.6415369414
13101002100,13101,"21","がいむしょうこうないいせき","外務省構内遺跡","千代田区 霞ヶ関二丁目","[縄文時代][近世]","大名屋敷","[近世]井戸　石組溝　上水桝　石垣　溝状遺構","縄文土器　陶磁器　瓦　金属製品　木製品　動物遺体",139.7498313,35.67437944,-7558.92459370389,-36122.7252483896
