"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","遺構","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明","色"
13101000200,13101,"2","きゅうほんまるにしかいづか","旧本丸西貝塚","千代田区 千代田","[縄文時代（前期～晩期）]","貝塚","","縄文土器　打斧　石鏃　有溝土錘　骨角器",139.7550845,35.6866013,"0","縄文","0","0","0","0","0","0","0","purple"
13101000600,13101,"6","","千代田区No.6遺跡","千代田区 千代田","","貝塚","","土師器",139.7535053,35.68158178,"0","0","0","0","0","0","0","0","0","purple"
13101000800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,"0","縄文","弥生","古墳","奈良","平安","0","0","0","purple"
13101000900,13101,"9","くだんざかうえかいづか","九段坂上貝塚","千代田区 九段北一丁目","[縄文時代（中期）][弥生時代][平安時代]","貝塚","[弥生時代]V字溝　住居","縄文土器　弥生土器　土師器　須恵器",139.7491794,35.69628581,"0","縄文","弥生","0","0","平安","0","0","0","purple"
13101001000,13101,"10","ながたちょうにちょうめいせき","永田町二丁目遺跡","千代田区 永田町二丁目","[縄文時代（後期）][弥生時代（中期）][近世]","包蔵地・集落・貝塚・屋敷","[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址","石器　弥生土器　陶磁器類　金属　木製品　瓦",139.7438231,35.67281761,"0","縄文","弥生","0","0","0","0","近世","0","purple"
13101001200,13101,"12","","千代田区No.12遺跡","千代田区 神田神保町一丁目","[縄文時代][近世]","貝塚　その他（上水道）","竹樋","縄文土器　陶磁器",139.7591696,35.69663226,"0","縄文","0","0","0","0","0","近世","0","purple"
13101005600,13101,"56","さんばんちょういせき","三番町遺跡","千代田区 三番町","[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]","集落・貝塚・屋敷","[縄文時代]貝塚　ピット　住居址　[弥生時代]ピット　住居址　[近世]土坑　溝　地下室　井戸　建物跡","縄文土器　石器（縄文）　耳飾り　弥生土器　石器（弥生）　陶磁器　瓦（近世）　石製品　金属製品（近世）",139.7464141,35.69089728,"0","縄文","弥生","0","0","0","0","近世","0","purple"
13102000200,13102,"2","","中央区No.2遺跡","中央区 日本橋本石町一丁目","[中世]","貝塚","","中世土器　内耳土器　土錘　石器　管状土錘",139.7711986,35.68524433,"0","0","0","0","0","0","中世","0","0","purple"
13103000100,13103,"1","あおやまぼちないかいづか","青山墓地内貝塚","港区 南青山二丁目","[縄文時代（早期・中期～後期）]","包蔵地・貝塚","","縄文土器　打斧　磨石",139.7195241,35.66801712,"0","縄文","0","0","0","0","0","0","0","purple"
13103000200,13103,"2","","港区No.2遺跡","港区 南青山二丁目","[縄文時代][弥生時代]","包蔵地・貝塚","","縄文土器　石鏃　弥生土器",139.7220303,35.66494895,"0","縄文","弥生","0","0","0","0","0","0","purple"
