JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13110000100,13110,1,とうきょうだいがくこまばこうないいせき,東京大学駒場構内遺跡,目黒区 駒場三丁目,[旧石器時代][縄文時代（草創期〜早期・中期・晩期）][平安時代][近世],集落,[旧石器時代]礫群　[縄文時代]住居　集石　　炉穴　土坑　小穴[平安時代]火葬墓　[近世]土坑　小穴,縄文土器　打製石斧　剥片　平安時代土器,139.6851627,35.66038101,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
13110000200,13110,2,こまばいせき,駒場遺跡,目黒区 駒場二丁目　駒場四丁目,[旧石器時代][縄文時代（早期〜後期）],包蔵地,[縄文時代]土坑,縄文土器　打斧　石鏃　石皿,139.6804591,35.65884679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110000300,13110,3,ひかわいせき,氷川遺跡,目黒区 大橋二丁目,［旧石器時代］[縄文時代（早期〜後期）][弥生時代（前期〜後期）][古墳時代][奈良時代][平安時代][中世][近世]［近代］,集落 その他（軍施設）,[縄文時代]土坑　小穴　炉穴　陥穴　[弥生時代〜古墳時代]竪穴住居跡　堀立柱建物跡　土坑　小穴　[平安時代]火葬墓　溝　[近世]溝　土坑　小穴　［近代］煉瓦構造物,縄文土器　剥片　打製石斧　石鏃　スタンプ形石器　磨石　石皿　弥生土器　弥生時代末〜古墳時代初期土器　金属製品　土製品　奈良時代須恵器　平安時代土器　瓦　板状鉄製品　中近世陶磁器　釘　鎹　銭貨　近代陶磁器　ガラス製品　金属製品　銭貨　?　煉瓦,139.6875316,35.65337917,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
13110000400,13110,4,こまばこうこういせき,駒場高校遺跡,目黒区 大橋二丁目,[縄文時代（中期）],包蔵地,,縄文土器　石棒,139.6854716,35.65477401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110000500,13110,5,ひなたいせき,日向遺跡,目黒区 青葉台一丁目　 上目黒一丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧　石鏃,139.6994455,35.64762793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110000600,13110,6,おおさかしたいせき,大坂下遺跡,目黒区 青葉台三丁目,[縄文時代（中期）],包蔵地,,縄文土器　剥片,139.6915147,35.65273328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110000700,13110,7,きゅうれんぺいじょういせき,旧練兵場遺跡,目黒区 東山一丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧　石鏃　土錘　土偶,139.6910341,35.64628877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110000800,13110,8,ひがしやまかいづかいせき,東山貝塚遺跡,目黒区 東山二丁目　東山三丁目,[旧石器時代][縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][平安時代][中世][近世][近代],集落　貝塚　その他（軍施設）,[旧石器時代]礫群　石器ブロック　[縄文時代]竪穴住居跡　土坑　土壙　土器埋設遺構　落し穴　木杭列　植物遺存体集中　小穴　柱穴群　[弥生時代]竪穴住居跡　溝　土坑　[古墳時代]土坑　[中世]溝　[近世]溝　土坑　［近代］地下式遺構　煉瓦構造物　溝,縄文土器　土偶　土製円盤　土器片錘　打製石斧　磨製石斧　弥生土器　古墳時代土器　陶磁器　細石刃　尖頭器　剥片　角錐状石器　削器　石鏃　敲石　石皿　垂飾　掻器　凹石　磨石　砥石　スタンプ形石器　石剣　石錐　石棒　土版　土製勾玉　耳栓　土錘　土玉　弭形角製品　ヤス状刺突具　骨針　浮子 （平安時代）　瓦　（近代）陶磁器　ガラス製品　鉄製品,139.6866739,35.64782322,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
13110000900,13110,9,からすもりいせき,烏森遺跡,目黒区 上目黒三丁目,[縄文時代（中期〜後期）][弥生時代（後期）],集落,[縄文時代]竪穴住居跡　[弥生時代]環濠,縄文土器　打製石斧　磨製石斧　石槍　石錐　石錘　石槌　石皿　凹石　石鏃　敲石　弥生土器　土製品　軽石　被熱粘土塊,139.6915834,35.64333137,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001000,13110,10,じんじゃうらいせき,神社裏遺跡,目黒区 上目黒三丁目,[旧石器時代],包蔵地,,尖頭器,139.6939866,35.64352667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001100,13110,11,しょうがくじまえいせき,正覚寺前遺跡,目黒区 中目黒一丁目　中目黒三丁目　上目黒一丁目　上目黒二丁目,[弥生時代（後期）],包蔵地,,弥生土器,139.7008531,35.64288496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001200,13110,12,しんふじいせき,新富士遺跡,目黒区 中目黒一丁目　中目黒二丁目,[縄文時代（早期〜前期）][弥生時代（中期）]［近世］,集落,[弥生時代]住居　[近世]富士講胎内遺構　溝　道路状遺構,縄文土器　弥生土器　面子　銭貨　石製大日如来像　磨製石斧　陶磁器,139.7051446,35.64402888,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
