JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13112000100,13112,1,からすやまいせき,烏山遺跡,世田谷区 北烏山六丁目　 北烏山七丁目　 北烏山八丁目　 北烏山九丁目,[旧石器時代][縄文時代（早期〜後期）][古墳時代][奈良時代][平安時代][近世],集落,ピット　陥穴　円形土坑　溝　畝　道路,縄文土器　石器　土師器　石墨　陶磁器　銭貨　煙管,139.59153,35.67412332,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13112000200,13112,2,ほんいせいせき,本伊勢遺跡,世田谷区 上祖師谷一丁目　上祖師谷二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.5984894,35.66311113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112000300,13112,3,そしがやおおみちきたいせき,祖師谷大道北遺跡,世田谷区 上祖師谷六丁目　上祖師谷七丁目　給田一丁目,[旧石器時代][縄文時代（中期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック　[縄文時代]住居　竪穴　[古墳時代]住居　[中世][近世]井戸　地下式土坑　[時期不明]ピット　溝,ナイフ形石器　削器　縄文土器　石器　土師器　鉄鏃　陶器　カワラケ　土師質土器　羽釜　内耳鍋　鉄片　石臼　板碑　漆器　桶,139.596436,35.659981,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13112000400,13112,4,かすやはちまんじんじゃ,粕谷八幡神社,世田谷区 粕谷一丁目　 粕谷二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.611902,35.66315993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112000500,13112,5,めぐりさわきたいせき,廻沢北遺跡,世田谷区 船橋七丁目　 千歳台四丁目,[旧石器時代][縄文時代（早期〜後期）][近世],集落,[旧石器時代]ブロック　[縄文時代]住居　集石土坑　土坑　土壙　[近世]溝,ナイフ形石器　尖頭器　細石刃　細石刃核　掻器　削器　彫器　錐　斧形石器　敲石　石核　縄文土器　土製品　陶磁器　和釘　玩具,139.6152536,35.65838154,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112000600,13112,6,とうがくいんいせき,東覚院遺跡,世田谷区 千歳台四丁目　 千歳台五丁目,[中世][近世],包蔵地,[中世]地下式土壙,朱塗土器　板碑,139.6124427,35.65667294,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13112000700,13112,7,つりがねいけきたいせき,釣鐘池北遺跡,世田谷区 上祖師谷三丁目　 祖師谷六丁目,[縄文時代（早期〜晩期）][平安時代][中世][近世],集落,[縄文時代]住居　集石土坑　土坑　ピット　[平安時代][中世][近世]竪穴　ピット　土坑　溝　炭窯,縄文土器　打斧　磨斧　石鏃　土製円板　大珠　土師器　須恵器　土師質土器　陶磁器　カワラケ　銭貨,139.6035377,35.65423201,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
13112000800,13112,8,きぬたしょうがっこうまえおうけつぼぐん,砧小学校前横穴墓群,世田谷区 成城一丁目,[古墳時代],横穴墓,,人骨,139.5981209,35.63537324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112000900,13112,9,きぬたちゅうがっこういせき,砧中学校遺跡,世田谷区 成城一丁目　 成城三丁目,[旧石器時代][縄文時代（早期〜晩期）][弥生時代][古墳時代][平安時代][近世],集落,[縄文時代]住居址　土坑　集石　ピット　礫群　[弥生時代]住居址　[古墳時代]住居址　古墳周溝　[古（以降）]集石土坑　土坑　ピット　溝　[近世]竪穴　土坑　ピット　溝,（縄文）縄文土器・石器　（弥生）土器、　（古墳）土師器・須恵器・石器・刀子　（近世）陶器,139.6006734,35.63379948,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
13112001002,13112,10,きぬたちゅうがっこうこふんぐん2ごうこふん,砧中学校古墳群2号古墳,世田谷区 成城一丁目,[古墳時代],古墳,,,139.6026937,35.63488369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
