JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13113000100,13113,1,,渋谷区No.1遺跡,渋谷区 本町三丁目,[縄文時代],包蔵地,,縄文土器,139.683779,35.69146488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113000200,13113,2,,渋谷区No.2遺跡,渋谷区 代々木四丁目,[縄文時代][古墳時代][奈良時代][平安時代][近世],包蔵地・古墳,円墳,縄文土器　土師器　陶磁器,139.6924308,35.67891625,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13113000300,13113,3,よよぎはちまんいせき,代々木八幡遺跡,渋谷区 代々木五丁目,[縄文時代（早期〜後期）],集落,[縄文時代]住居,縄文土器　打斧　磨斧　石鏃　石匙　石錐　石錘　凹石　敲石　石棒,139.6886542,35.67131712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113000400,13113,4,,渋谷区No.4遺跡,渋谷区 代々木五丁目,[古墳時代],古墳,円墳?,石棺,139.6886199,35.67215383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113000600,13113,6,,渋谷区No.6遺跡,渋谷区 代々木五丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧　磨斧　石鏃,139.6897872,35.67449659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113000700,13113,7,,渋谷区No.7遺跡,渋谷区 大山町,[縄文時代（中期）],包蔵地,,縄文土器　石斧　石鏃　石皿,139.6753964,35.67072841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113000800,13113,8,,渋谷区No.8遺跡,渋谷区 西原三丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6794476,35.67117466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113000900,13113,9,かねづかこふん,カネ塚古墳,渋谷区 西原三丁目,[古墳時代],古墳,円墳,武装埴輪　玉　ほう製鏡　金環　銭貨,139.6788639,35.67022637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113001000,13113,10,,渋谷区No.10遺跡,渋谷区 上原三丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧　凹石,139.6796536,35.66749299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113001100,13113,11,,渋谷区No.11遺跡,渋谷区 上原三丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧,139.674847,35.66478742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113001200,13113,12,,渋谷区No.12遺跡,渋谷区 富ケ谷一丁目,[古墳時代][奈良時代],横穴墓,,,139.6887859,35.66827397,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13113001300,13113,13,,渋谷区No.13遺跡,渋谷区 富ケ谷一丁目,[古墳時代][奈良時代],横穴墓,,,139.6903996,35.66687937,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13113001400,13113,14,,渋谷区No.14遺跡,渋谷区 富ケ谷二丁目,[古墳時代],古墳,円墳,,139.6867603,35.66612627,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113001500,13113,15,,渋谷区No.15遺跡,渋谷区 富ケ谷二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧,139.6845631,35.66453638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113001600,13113,16,,渋谷区No.16遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器　打斧　凹石,139.697884,35.68085216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
