JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13115000100,13115,1,,杉並区No.1遺跡,杉並区 上井草二丁目,[縄文時代（早期）],包蔵地,,縄文土器,139.6046577,35.72158602,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115000300,13115,3,いぐさせきしーちてん,井草遺跡C地点,杉並区 上井草三丁目,[旧石器時代][縄文時代（早期・中期）][古墳時代][近世],包蔵地,[旧石器時代]ブロック　礫群　[縄文時代]炉穴　遺物集中部　[近世]溝状遺構　土坑,ナイフ形石器　台形石器　縄文土器　敲石　土師器　磁器　陶器,139.6024605,35.72136304,,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115000400,13115,4,いぐさいせき,井草遺跡,杉並区 上井草四丁目,[旧石器時代][縄文時代（草創期〜早期）][古墳時代],包蔵地　集落,[縄文時代]住居　土坑,[縄]縄文土器　斧形石器　敲石　特殊磨石　石皿,139.5971733,35.71977425,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115000600,13115,6,いぐさいせきびーちてん,井草遺跡Ｂ地点,杉並区 上井草四丁目,[旧石器時代][縄文時代（中期）],包蔵地,[旧石器時代]ブロック,[旧]ナイフ形石器　スクレイパー　剥片,139.5987869,35.72261732,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115000700,13115,7,,杉並区No.7遺跡,杉並区 下井草一丁目,[縄文時代（中期）][弥生時代][古墳時代],包蔵地,,縄文土器　弥生土器　土師器,139.6310869,35.71734835,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115000800,13115,8,,杉並区No.8遺跡,杉並区 下井草二丁目,[縄文時代（後期）][弥生時代],包蔵地,,縄文土器　弥生土器,139.627791,35.71726473,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115000900,13115,9,,杉並区No.9遺跡,杉並区 下井草二丁目,[縄文時代（後期）],包蔵地,,縄文土器,139.62707,35.71876994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001000,13115,10,,杉並区No.10遺跡,杉並区 下井草三丁目,[縄文時代（早期・後期）],包蔵地,,縄文土器,139.6234651,35.71824033,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001100,13115,11,,杉並区No.11遺跡,杉並区 下井草四丁目,[縄文時代],包蔵地,,縄文土器,139.6198349,35.72233136,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001200,13115,12,いおぎさんちょうめいせき,井荻三丁目遺跡,杉並区 善福寺一丁目　 善福寺二丁目,[縄文時代（中期）],集落,[縄文時代]住居,縄文土器　打斧　石鏃,139.595182,35.7128055,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001300,13115,13,,杉並区No.13遺跡,杉並区 善福寺一丁目,[縄文時代],包蔵地,,縄文土器,139.5974479,35.71503557,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001400,13115,14,いぐさはちまんいせき,井草八幡遺跡,杉並区 善福寺一丁目,[縄文時代（中期・後期）][古墳時代],集落,[縄文時代]住居,縄文土器　打斧　石鏃　土師器,139.5958,35.7160112,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001500,13115,15,ぜんぷくじいせき,善福寺遺跡,杉並区 善福寺二丁目　 善福寺三丁目　 善福寺四丁目,[旧石器時代][縄文時代（早期〜後期）],集落,[旧石器時代]礫群　土坑　[縄文時代]炉穴　土坑　土坑群,縄文土器　打斧　磨斧　石鏃　石匙　土偶　細石刃　細石刃核　スクレイパー　土器　石鏃　石斧　スタンプ型石器　磨石　石皿　礫器,139.5875779,35.7171043,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001600,13115,16,なかどおりきたいせき,中通北遺跡,杉並区 今川二丁目,[旧石器時代][縄文時代][近世],包蔵地,[旧石器時代]ブロック　[縄文時代]土坑　[近世]土坑　溝,縄文土器　尖頭状石器　剥片　陶器　磁器　金属製品,139.6106675,35.71645749,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115001700,13115,17,おそのいいせき,遅ノ井遺跡,杉並区 今川三丁目　 今川四丁目　 上井草三丁目,[旧石器時代][縄文時代（早期・中期）],包蔵地,[旧石器時代]石器集中部　礫群　炭化物集中部[縄文時代]ピット,[旧石器時代]ナイフ形石器　彫器　掻器　敲石[縄文時代]縄文土器　打斧　石鏃　土師器,139.6013414,35.71743311,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001800,13115,18,,杉並区No.18遺跡,杉並区 清水三丁目,[縄文時代（中期）][古墳時代],包蔵地,,縄文土器　土師器　須恵器,139.6208559,35.71640061,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115001900,13115,19,みょうしょうじいせき,妙正寺遺跡,杉並区 清水三丁目,[縄文時代（早期〜前期・後期）],包蔵地,,縄文土器　打斧　石槍　石鏃　石棒,139.6172853,35.71732047,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115002100,13115,21,,杉並区No.21遺跡,杉並区 清水三丁目,[縄文時代],包蔵地,,縄文土器,139.6195512,35.71796159,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115002200,13115,22,,杉並区No.22遺跡,杉並区 本天沼二丁目,[古墳時代],包蔵地,,土師器,139.6255937,35.71623336,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115002300,13115,23,,杉並区No.23遺跡,杉並区 本天沼三丁目,[縄文時代（前期）][弥生時代],包蔵地,,縄文土器　打斧　石錘　けつ状土製品?,139.6214739,35.71361306,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115002400,13115,24,むかいまちいせき,向井町遺跡,杉並区 本天沼三丁目,[縄文時代（後期）][古墳時代],集落,[縄文時代]住居　[古墳時代]住居,縄文土器　打斧　石皿　土錘　土偶　土師器,139.6233278,35.71634486,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115002500,13115,25,こやまいせき,小山遺跡,杉並区 阿佐谷北五丁目,[縄文時代（後期）][古墳時代][奈良時代],包蔵地,,縄文土器　打斧　磨斧　石鏃　土師器,139.639848,35.70806899,,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13115002600,13115,26,こうみょういんみなみいせき,光明院南遺跡,杉並区 上荻二丁目　南荻窪四丁目,[旧石器時代][縄文時代（草創期〜後期）][近世],集落,[旧石器時代]ブロック　礫群　[縄文時代]住居 屋外埋甕　焼土跡　土坑　遺物集中部　集石　[近世]溝状遺構,[旧]剥片　彫器　ナイフ形石器　スクレイパー　尖頭器　石核　[縄]縄文土器　土器片鐘　石鏃　打製石斧　磨製石斧　石皿　磨石　石棒　軽石製石製品　有舌尖頭器　楔形石器　敲石　スタンプ形石器　スクレイパー　凹石　[近]磁器　陶器,139.614063,35.70405415,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115002700,13115,27,なかたいせき,中田遺跡,杉並区 上荻三丁目,[縄文時代（中期）],集落,[縄文時代]住居,縄文土器　打斧　石鏃,139.6084359,35.70675643,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115002800,13115,28,,杉並区No.28遺跡,杉並区 上荻三丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6082986,35.70845699,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115002900,13115,29,,杉並区No.29遺跡,杉並区 上荻四丁目,[縄文時代（前期〜後期）],包蔵地,,縄文土器　打斧　磨斧　石鏃　石錐　石錘,139.6063539,35.71060354,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115003000,13115,30,,杉並区No.30遺跡,杉並区 西荻北一丁目,[縄文時代],包蔵地,,縄文土器,139.6079896,35.70497219,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115003100,13115,31,まるやまいせき,丸山遺跡,杉並区 西荻北二丁目,[縄文時代][平安時代],集落,[縄文時代]土杭　[平安時代]住居跡,縄文土器　石器　土師器,139.6019471,35.70675643,,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13115003200,13115,32,,杉並区No.32遺跡,杉並区 南荻窪三丁目,[縄文時代],包蔵地,,縄文土器,139.6101148,35.70380323,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115003300,13115,33,,杉並区No.33遺跡,杉並区 南荻窪四丁目,[縄文時代],包蔵地,,縄文土器,139.616638,35.70095949,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115003400,13115,34,,杉並区No.34遺跡,杉並区 荻窪一丁目,[縄文時代（後期）],集落,[縄文時代]住居,縄文土器　打斧　凹石,139.6237994,35.69301261,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
