JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13201000100,13201,1,おんがたちくNo.18いせき,恩方地区No.18遺跡,八王子市 上恩方町,[縄文時代（中期）],包蔵地,,縄文土器,139.183995,35.68013176999999
13201000200,13201,2,ふるやど（おんがたちくNo.17）いせき,振宿（恩方地区No.17）遺跡,八王子市 上恩方町,[縄文時代（中期）],包蔵地,,縄文土器,139.195153,35.67664574
13201000300,13201,3,たかどめ（おんがたちくNo.16）いせき,高留（恩方地区No.16）遺跡,八王子市 上恩方町,[縄文時代（中期）][近世],包蔵地,,縄文土器　打斧　磨斧　陶磁器,139.2118666,35.67152417000001
13201000400,13201,4,みやのした（おんがたちくNo.15）いせき,宮ノ下（恩方地区No.15）遺跡,八王子市 上恩方町,[縄文時代],包蔵地,,打斧,139.2160723,35.67110581000003
13201000500,13201,5,うえのくぼ（おんがたちくNo.14）いせき,上ノ久保（恩方地区No.14)遺跡,八王子市 上恩方町,[縄文時代（中期）][近世],包蔵地,,縄文土器　陶磁器,139.2177889,35.67333704000001
13201000600,13201,6,ちからいしいせき,力石遺跡,八王子市 上恩方町,[縄文時代（早期?後期）],集落,[縄文時代]住居　炉穴　陥し穴　土坑,縄文土器　打斧　石鏃　削器　石匙　ピエス・エスキーユ　磨石　抉入磨石　剥片,139.2217839,35.67653165
13201000700,13201,7,おんがたちくNo.20いせき,恩方地区No.20遺跡,八王子市 上恩方町,[古墳時代],包蔵地,,土師器,139.1927497,35.66590782
13201000800,13201,8,おんがたちくNo.20いせき,恩方地区No.19遺跡,八王子市 上恩方町,[縄文時代（中期）],包蔵地,,縄文土器,139.2041418,35.66901397000001
13201000900,13201,9,どうどころ（おんがたちくNo.22）いせき,堂所（恩方地区No.22）遺跡,八王子市 上恩方町　 裏高尾町,[縄文時代（前期）],包蔵地,,縄文土器,139.191907,35.65450908
13201001000,13201,10,おんがたちくNo.21いせき,恩方地区No.21遺跡,八王子市 上恩方町,[縄文時代],包蔵地,,剥片,139.1851264,35.64600016999999
13201001100,13201,11,きつねづか（おんがたちくNo.12）いせき,弧塚（恩方地区No.12）遺跡,八王子市 上恩方町,[縄文時代（早期?後期）][近世],集落,[縄文時代]住居,縄文土器　打斧　磨斧　ナイフ形石器　石槍　石鏃　削器　石匙　敲石　土製円板　石製垂飾　青磁,139.2269338,35.67290600999999
13201001200,13201,12,くろぬた（おんがたちくNo.11）いせき,黒沼田（恩方地区No.11）遺跡,八王子市 上恩方町,[縄文時代（中期）][近世],包蔵地,,縄文土器　石鏃　磁器,139.2327703,35.67262711000001
13201001300,13201,13,おんがたちくNo.10いせき,恩方地区No.10遺跡,八王子市 小津町,[縄文時代],包蔵地,,土器,139.2343552,35.679135749999986
13201001400,13201,14,みや（おんがたちくNo.9）いせき,ミヤ（恩方地区No.9)遺跡,八王子市 小津町,[縄文時代（中期？）],包蔵地,,磨斧,139.2467685,35.67773593999998
13201001500,13201,15,ひかげいせき,日影遺跡,八王子市 上川町,[縄文時代（前期?中期）][近世],集落,,縄文土器　打斧　陶磁器,139.2599803,35.70302120999999
13201001600,13201,16,,八王子市No.16遺跡,八王子市 上川町,[縄文時代（中期）][古墳時代][近世],包蔵地,,縄文土器　土師器　陶磁器,139.2541438,35.703090909999986
