JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13208000100,13208,1,みどりがおかいせき,緑ヶ丘遺跡,調布市 緑ヶ丘一丁目　 緑ヶ丘二丁目,[縄文時代（中期）][平安時代][中世][近世],包蔵地・集落,[縄文時代]埋甕　[平安時代]火葬墓　[中世][近世]掘立柱建物,縄文土器　石器　土師器　須恵器　陶磁器　銭貨,139.5819554,35.66843074,,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
13208000200,13208,2,やしろだいせき,社田遺跡,調布市 緑ケ丘二丁目,[縄文時代][奈良時代][中世][近世],包蔵地,,縄文土器　土師器　陶磁器,139.5850312,35.67069691,,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
13208000300,13208,3,やながわいせき,柳川遺跡,調布市 緑ケ丘二丁目,[縄文時代（中期）][奈良時代][平安時代],包蔵地,[奈良時代][平安時代]ピット　[近世]溝状遺構,縄文土器　土師器　陶磁器,139.5874488,35.66911635,,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13208000400,13208,4,せんがわきたいせき,仙川北遺跡,調布市 緑ケ丘二丁目,[縄文時代],包蔵地,,縄文土器　土師器,139.5894943,35.66679208,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208000500,13208,5,せんがわいせき,仙川遺跡,調布市 仙川町二丁目　 仙川町三丁目,[旧石器時代][縄文時代（早期〜中期）][弥生時代][古墳時代][近世],包蔵地・集落,[旧石器時代]礫群　[縄文時代]集石　土坑　[古墳時代]住居　[近世]溝,ナイフ形石器　尖頭器　掻器　石核　剥片　縄文土器　打斧　弥生土器　土師器　須恵器　鉄製品　陶磁器,139.584402,35.66485111,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13208000600,13208,6,わかばちょういせき,若葉町遺跡,調布市 若葉町一丁目　 若葉町三丁目,[旧石器時代][縄文時代（早期・中期）],包蔵地・集落,[旧石器時代]炭化物集中箇所　[縄文時代]住居　集石　土坑　ピット　[平安時代]溝状遺構,縄文土器　打斧　局部磨斧　石槍　石鏃　磨石　スタンプ形石器　凹石　敲石　土製円板　土偶,139.5810261,35.65903992,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208000700,13208,7,おおはらいせき,大原遺跡,調布市 入間町一丁目,[縄文時代（早期・中期）][奈良時代][中世][近世],包蔵地,[中世][近世]溝状遺構,縄文土器　土師器　陶器,139.5854034,35.65376101,,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
13208000800,13208,8,いりまちょうしろやまいせき,入間町城山遺跡,調布市 入間町一丁目　 入間町二丁目　 入間町三丁目,[旧石器時代][古墳時代][中世],集落,[旧石器時代]礫群　石器ブロック　[縄文時代]住居　炉穴　土坑　[弥生時代]住居　土坑　[古墳時代][奈良時代]住居　土坑　溝　横穴墓　[中世]住居　地下式坑　溝　[時代不明]掘立柱建物,ナイフ形石器　尖頭器　縄文土器　石器　土師器　須恵器　埴輪　墨書土器　陶磁器　鉄製品　鉄滓　紡錘車　土製品　人骨,139.5872189,35.64995753,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13208000900,13208,9,がんざいせき,蟹沢遺跡,調布市 入間町三丁目,[旧石器時代][縄文時代（中期）][古墳時代][奈良時代][近世],包蔵地,[近世]土壙墓,縄文土器　石器　土師器　陶磁器　石臼　鉄製品　人骨,139.5892481,35.64760604,,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
13208001000,13208,10,みなみだいいせき,南台遺跡,調布市 深大寺東町四丁目　 深大寺東町五丁目　 深大寺東町六丁目,[縄文時代（中期〜晩期）][奈良時代][平安時代][近世],包蔵地,,縄文土器　土師器,139.5578128,35.67407388,,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
