JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13209000100,13209,1,,町田市No.1遺跡,町田市 相原町,[縄文時代（中期）],包蔵地,,縄文土器,139.2834013020131,35.61364041062805
13209000200,13209,2,,町田市No.2遺跡,町田市 相原町,[奈良時代][平安時代][中世][近世],包蔵地,,土師器　瓦　陶器,139.28601055441894,35.61439399891947
13209000300,13209,3,,町田市No.3遺跡,町田市 相原町,[弥生時代][奈良時代][平安時代],包蔵地,,弥生土器　土師器　須恵器,139.28968410749283,35.6145335516854
13209000400,13209,4,,町田市No.4遺跡,町田市 相原町,[時代不明],包蔵地,,土器,139.29019909227853,35.6163756260155
13209000500,13209,5,,町田市No.5遺跡,町田市 相原町,[縄文時代（前期）],包蔵地,,縄文土器,139.29148924757214,35.612551478622535
13209000600,13209,6,,町田市No.6遺跡,町田市 相原町,[奈良時代][平安時代],包蔵地,,土師器,139.29272822724084,35.614854735874005
13209000700,13209,7,,町田市No.7遺跡,町田市 相原町,[縄文時代（早期）],包蔵地,,縄文土器,139.29712275822888,35.6124264914809
13209001000,13209,10,,町田市No.10遺跡,町田市 相原町,[奈良時代][平安時代],包蔵地,,土師器,139.30010664882616,35.61129546437462
13209001100,13209,11,,町田市No.11遺跡,町田市 相原町,[縄文時代（早期・中期〜後期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器,139.30144862571393,35.610695975243715
13209001200,13209,12,,町田市No.12遺跡,町田市 相原町,[時代不明],鍛冶工房,,,139.30093364060076,35.60877003275367
13209001300,13209,13,むさしおかA・A'・B・C・Dちくいせき,武蔵岡A・A'・B・C・D地区遺跡,町田市 相原町,[縄文時代（中期）][古墳時代][奈良時代][平安時代][中世],集落,[縄文時代]住居　炉穴　集石　土坑　埋甕炉　[古墳時代]住居　土坑　[中世〜]竪穴状遺構　土坑　溝,縄文土器　石器　土師器　須恵器　土製品　鉄･銅製品　置窯　石製品　古銭,139.2995564840238,35.608072216215206
13209001400,13209,14,,町田市No.14遺跡,町田市 相原町,[縄文時代（早期〜中期）],包蔵地,[縄文時代]焼土　土坑,縄文土器,139.30230306605503,35.60885377011624
13209001500,13209,15,,町田市No.15遺跡,町田市 相原町,[縄文時代（早期・中期）][古墳時代][奈良時代][平安時代][近世],包蔵地,[縄文時代]集石土坑　焼土　土坑　[近世]土壙墓,縄文土器　石器　土師器　須恵器,139.30261290466774,35.60747147659569
13209001600,13209,16,,町田市No.16遺跡,町田市 相原町,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器,139.30515349226084,35.606773648731206
13209001700,13209,17,,町田市No.17遺跡,町田市 相原町,[縄文時代（早期）][奈良時代][平安時代][中世],包蔵地・その他の墓,[中世]無縫塔,縄文土器　土師器　須恵器,139.30927638325875,35.60622995067105
