JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13214000100,13214,1,くまのごういせき,熊ノ郷遺跡,国分寺市 西恋ヶ窪三丁目 西恋ヶ窪四丁目,[旧石器時代][縄文時代],集落,[旧石器時代]石器集中部 礫群,尖頭器 石刃 礫器 剥片,139.4667757,35.70549161,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13214000200,13214,2,こいがくぼいせき,恋ヶ窪遺跡,国分寺市 西恋ヶ窪一丁目　 東恋ヶ窪一丁目　 東恋ヶ窪三丁目,[旧石器時代][縄文時代（早期・中期〜後期）][奈良時代][平安時代][中世],集落,[縄文時代]住居　敷石住居　集石　土坑　屋外埋甕　[中世]溝,(縄文)縄文土器　打斧　磨斧　石槍　石鏃　掻器　彫器　石匙　石錐　ピエス・エスキーユ　スタンプ形石器　敲石　砥石　土錘　土製円板　耳飾　硬玉製大珠　器台　(中世)陶器,139.4706411,35.702705580000000,,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13214000300,13214,3,こいがくぼみなみいせき,恋ヶ窪南遺跡,国分寺市 西恋ヶ窪一丁目 東恋ヶ窪一丁目 泉町一丁目,[旧石器時代][縄文時代（早期・中期）],集落,[縄文時代]住居 集石土坑 土坑,縄文土器,139.47349,35.70001416,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13214000500,13214,5,はねざわいせき,羽根沢遺跡,国分寺市 東恋ヶ窪一丁目、三丁目,[縄文時代（早期・中期）][奈良時代][平安時代],集落,[縄文時代]住居　敷石住居　集石　土坑　埋甕　[古代]井戸,縄文土器　打斧　磨斧　石鏃　石匙　石皿　磨石　土製円板　耳飾,139.4740727,35.70335275,,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13214000600,13214,6,,国分寺市No.6遺跡,国分寺市 本町一丁目 本町二丁目 本多一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4840451,35.70222916,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13214000700,13214,7,たまらんざかいせき,多摩蘭坂遺跡,国分寺市 内藤一丁目 内藤二丁目,[旧石器時代][縄文時代][奈良時代],集落,[旧石器時代]ユニット礫群,(旧石器時代)ナイフ形石器 尖頭器 角錐状石器 掻器 彫器 打斧 礫器 敲石 (奈良時代)銭貨 須恵器,139.4572618,35.69416757,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13214000800,13214,8,はなざわにしいせき,花沢西遺跡,国分寺市 本町四丁目 南町三丁目 泉町一丁目 東恋ヶ窪一丁目,[旧石器時代][縄文時代][弥生時代],集落,[縄文時代]住居 土坑 埋甕,縄文土器 打斧 磨斧 石鏃 石匙 石錐 スタンプ形石器 石棒 弥生土器,139.4766788,35.69988548,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13214000900,13214,9,ひかげやまいせき,日影山遺跡,国分寺市 泉町二丁目 西恋ヶ窪一丁目,[旧石器時代][縄文時代（中期）][奈良時代][平安時代][中世],包蔵地,[旧石器時代]石器集中部 集石 ユニット 礫群 [縄文時代]竪穴住居 [歴史時代]掘立柱建物 柵列 井戸 火葬墓 土壙墓 井戸 道路跡（鎌倉街道） 溝 土坑 集石 特殊遺構,(旧石器時代)尖頭器 ナイフ形石器 スクレイパー 剥片遺物 石核 (縄文時代)土器 打製石斧 (歴史時代)土師質土器 瓦質土器 土器（在地土器） 陶磁器 銭貨 金属製品（刀子） 砥石 板碑 銭貨 鉄製品（鉄釘） 瓦,139.4678955,35.69943846,,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13214001000,13214,10,むさしこくぶんじあと（そうにじ）,武蔵国分寺跡（僧尼寺）,国分寺市 西元町一丁目 西元町二丁目 西元町三丁目 西元町四丁目 東元町三丁目 東元町四丁目,[奈良時代][平安時代],社寺跡,[奈良時代][平安時代]金堂 尼寺金堂 講堂 中門 塔 僧坊 尼坊 鐘楼 憧竿 回廊 住居 掘立柱建物 道路 溝 井戸 [中世]土坑 地下式横穴,土師器 須恵器 土師質土器 陶磁器(緑釉・灰釉・青磁・白磁・三彩・天目) カワラケ 支脚 砥石 石臼 鍬鋤先 鎌 ヤリガンナ 刀子 鉄鏃 紡錘車 土錘 鞴羽口 鈴 陶硯 <U+9299>帯 鬼瓦 軒丸瓦 丸瓦 平瓦 熨斗瓦 面戸瓦 <U+587C> 文様入銅製蓋 観音菩薩立像 銭貨 板碑,139.4724538,35.69187509,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13214001100,13214,11,たきくぼいせき,多喜窪遺跡,国分寺市 西元町二丁目 西元町四丁目,[旧石器時代][縄文時代（中期）],集落,[縄文時代]住居 土壙,縄文土器 打斧 磨斧 石鏃 掻器 石皿 磨石 スタンプ形石器,139.4680675,35.693150910000000,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
