JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13222000100,13222,1,,東久留米市No.1遺跡,東久留米市 下里一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.5095564,35.7533453
13222000200,13222,2,みやまえきいせき,宮前遺跡,東久留米市 下里二丁目,［旧石器時代］[縄文時代（中期）],集落,[縄文時代]住居　土坑,縄文土器　石器,139.5024206,35.75430546
13222000300,13222,3,しんやまいせき,新山遺跡,東久留米市 下里三丁目,［旧石器時代］[縄文時代（中期）][平安時代],集落,[縄文時代]住居跡　土坑　配石　[平安時代]住居跡　[時代不明]窯状遺構,ナイフ形石器　剥片　縄文土器　打斧　磨斧　石鏃　石錐　石皿　磨石　凹石　土製円板　土師器,139.4993307,35.75227153
13222000400,13222,4,にししもさといせき,西下里遺跡,東久留米市 下里四丁目,[旧石器時代][縄文時代（早期）],包蔵地,,ナイフ形石器　台形石器　縄文土器,139.4959318,35.75645078
13222000500,13222,5,,東久留米市No.5遺跡,東久留米市 下里五丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　縄文土器,139.5022833,35.75628362
13222000600,13222,6,さかしたいせき,坂下遺跡,東久留米市 下里七丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　石刃　縄文土器,139.5034796,35.76008762
13222000700,13222,7,しもざとほんむらいせき,下里本邑遺跡,東久留米市 野火止三丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代][奈良時代][平安時代]［近世］,集落,[旧石器時代]石器礫群　[縄文時代]住居跡　土坑　[弥生時代]土坑　方形周溝墓　[奈良時代]住居　[平安時代]住居,ナイフ形石器　尖頭器　細石刃　細石刃核　局部磨斧　礫器　細石器　縄文土器　弥生土器　土師器,139.5090758,35.76109056
13222000800,13222,8,しんめいやまいせき,神明山遺跡,東久留米市 中央町二丁目,[旧石器時代][縄文時代（中期）],包蔵地,[旧石器時代]礫群,ナイフ形石器　石刃　礫器　縄文土器,139.521661,35.75451382
13222000900,13222,9,,東久留米市No.9遺跡,東久留米市 中央町五丁目,[旧石器時代][縄文時代（前期～中期）],包蔵地,,尖頭器　縄文土器,139.5184121,35.75197301
13222001000,13222,10,だいいちしょうがっこういせき,第一小学校遺跡,東久留米市 中央町六丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群　[縄文時代]住居　土坑,ナイフ形石器　石錘　縄文土器　石器,139.5169575,35.75376155
13222001100,13222,11,こやまだいいせき,小山台遺跡,東久留米市 小山一丁目　 小山二丁目　 小山三丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代],集落,[縄文時代]住居,ナイフ形石器　縄文土器　打斧　弥生土器,139.5272526,35.76481261
13222001200,13222,12,,東久留米市No.12遺跡,東久留米市 氷川台一丁目,[旧石器時代][縄文時代（早期～前期）],包蔵地,,ナイフ形石器　縄文土器,139.5345311,35.76651193
13222001300,13222,13,,東久留米市No.13遺跡,東久留米市 金山町一丁目　 氷川台二丁目,[旧石器時代][縄文時代（中期）],包蔵地,,礫器　縄文土器,139.535355,35.76704122
13222001400,13222,14,じゆうがくえんみなみいせき,自由学園南遺跡,東久留米市 学園町一丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]ブロック　礫群　[縄文時代]住居　集石　炉穴　土坑　ピット　柄鏡形遺構,ナイフ形石器　尖頭器　角錐状石器　台形石器　楔形石器　掻器　削器　彫器　石錐　石斧　礫器　敲石　磨石　石核　剥片　縄文土器　打斧　有茎尖頭器　石鏃　石棒,139.5383028,35.75328621
13222001500,13222,15,じゆうがくえんきたいせき,自由学園北遺跡,東久留米市 学園町一丁目,[旧石器時代][縄文時代（早期～後期）],集落,[旧石器時代]礫群,ナイフ形石器　尖頭器　縄文土器,139.5378431,35.75457837
13222001600,13222,16,,東久留米市No.16遺跡,東久留米市 本町四丁目,[旧石器時代][縄文時代],包蔵地,,尖頭器　縄文土器,139.5298211,35.75698457
13222001700,13222,17,,東久留米市No.17遺跡,東久留米市 浅間町一丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,縄文土器,139.5384954,35.75733662
13222001800,13222,18,さんかくやまいせき,三角山遺跡,東久留米市 浅間町二丁目,[旧石器時代][縄文時代（早期～後期）],集落,[旧石器時代]礫群,ナイフ形石器　尖頭器　縄文土器　有茎尖頭器,139.5435883,35.76018849
13222001900,13222,19,,東久留米市No.19遺跡,東久留米市 浅間町二丁目,[縄文時代（早期～中期）],包蔵地,,縄文土器,139.5445497,35.76088498
13222002000,13222,20,かわにしいせき,川西遺跡,東久留米市 浅間町三丁目,[縄文時代（早期～中期）],集落,[縄文時代]住居,縄文土器　石鏃,139.5454766,35.7583776
13222002100,13222,21,,東久留米市No.21遺跡,東久留米市 柳窪一丁目,[旧石器時代][縄文時代（中期）],包蔵地,,尖頭器　削器　縄文土器,139.4967558,35.75009824
13222002200,13222,22,やなぎくぼいせき,柳窪遺跡,東久留米市 柳窪二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4961378,35.74527777
13222002300,13222,23,,東久留米市No.23遺跡,東久留米市 柳窪五丁目,[旧石器時代][縄文時代（前期）],包蔵地,,ナイフ形石器　縄文土器,139.4942495,35.7508784
13222002400,13222,24,じとうやまいせき,地頭山遺跡,東久留米市 南沢二丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群　[縄文時代]住居,尖頭器　縄文土器,139.5318103,35.751165
13222002500,13222,25,,東久留米市No.25遺跡,東久留米市 南沢二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.5313983,35.74979971
13222002600,13222,26,ひかわだいみょうじんしゃまえいせき,氷川大明神社前遺跡,東久留米市 南沢三丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器,139.5281625,35.75325468
13222002700,13222,27,,東久留米市No.27遺跡,東久留米市 南沢三丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器,139.5260339,35.75328254
13222002800,13222,28,たかやなぎいせき,高柳遺跡,東久留米市 南沢三丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　石刃　縄文土器,139.5259309,35.75158294
13222002900,13222,29,はちまんじんじゃいせき,八幡神社遺跡,東久留米市 南沢三丁目,[縄文時代（前期～後期）],包蔵地,,縄文土器,139.5288492,35.75233523
13222003000,13222,30,かさまつざかいせき,笠松坂遺跡,東久留米市 南沢三丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　石刃　縄文土器,139.5306001,35.75021766
13222003100,13222,31,,東久留米市No.31遺跡,東久留米市 南沢一丁目　 学園町一丁目,[縄文時代（早期・中期）][弥生時代],包蔵地,,縄文土器　弥生土器,139.5367445,35.75661224
13222003200,13222,32,,東久留米市No.32遺跡,東久留米市 下里二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.5042059,35.75514131
13222003300,13222,33,なかまるまえいせき,中丸前遺跡,東久留米市 中央町一丁目,[縄文時代（早期～中期）],包蔵地,[縄文時代]集石　土坑,縄文土器　磨斧　礫器　石鏃　磨石　スタンプ形石器,139.5251519,35.75511788
13222003400,13222,34,,東久留米市No.34遺跡,東久留米市 幸町三丁目　 幸町四丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,尖頭器　縄文土器,139.5182621,35.75841435
13222003500,13222,35,,東久留米市No.35遺跡,東久留米市 幸町二丁目,[旧石器時代][縄文時代（早期・中期～後期）],包蔵地,,縄文土器,139.52067,35.75983897
13222003600,13222,36,,東久留米市No.36遺跡,東久留米市 幸町三丁目,[旧石器時代][縄文時代（早期）],包蔵地,,剥片　縄文土器,139.5230343,35.75897155
13222003700,13222,37,こやまごちょうめいせき,小山五丁目遺跡,東久留米市 小山五丁目,[旧石器時代][縄文時代（中期）],包蔵地,[旧石器時代]礫群,ナイフ形石器　縄文土器,139.5182232,35.76400472
13222003800,13222,38,,東久留米市No.38遺跡,東久留米市 氷川台一丁目,[旧石器時代][縄文時代（前期）],包蔵地,,剥片　縄文土器,139.5330204,35.76665122
13222003900,13222,39,,東久留米市No.39遺跡,東久留米市 金山町二丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,剥片　縄文土器,139.5421185,35.76823907
13222004000,13222,40,,東久留米市No.40遺跡,東久留米市 南沢一丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,剥片　縄文土器,139.5342136,35.75356116
13222004100,13222,41,,東久留米市No.41遺跡,東久留米市 南沢四丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　縄文土器,139.5299821,35.74929817
