JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13224000100,13224,1,うわっぱらいせき,上っ原遺跡,多摩市 和田,[縄文時代（早期～後期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器,139.4243852,35.64166408
13224000201,13224,2-1,なかわだおうけつぼぐん,中和田横穴墓群,多摩市 和田,[古墳時代],横穴墓,17基,土師器　須恵器　鉄鏃　刀子　玉　ガラス玉　大刀　鑷子　人骨,139.428739,35.64541337
13224000202,13224,2-2,こうせいそうびょういんないおうけつぼぐん,厚生荘病院内横穴墓群,多摩市 和田,[古墳時代],横穴墓,2基,人骨,139.4315499,35.64706494
13224000400,13224,4,うすいづかこふん,臼井塚古墳,多摩市 百草,[古墳時代],古墳,[古墳時代]石室,刀子,139.4340158,35.6384356
13224000500,13224,5,いなりづかこふん,稲荷塚古墳,多摩市 百草,[古墳時代],古墳,※遺跡範囲のすべてが都指定史跡稲荷塚古墳となっています。,土師器,139.4345651,35.63854721
13224000600,13224,6,こうしんづかこふん,庚申塚古墳,多摩市 和田,[古墳時代],古墳,,,139.4342278,35.64156861
13224000700,13224,7,たまにゅーたうんNo.255いせき,多摩ニュータウンNo.255遺跡,多摩市 愛宕一丁目,[縄文時代],包蔵地,,縄文土器,139.4361202,35.63531813
13224000800,13224,8,たまにゅーたうんNo.36いせき,多摩ニュータウンNo.36遺跡,多摩市 愛宕一丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器,139.4349529,35.63529023
13224000900,13224,9,たまにゅーたうんNo.37いせき,多摩ニュータウンNo.37遺跡,多摩市 愛宕一丁目　 和田三丁目,[縄文時代（前期）][平安時代],集落,[縄文時代]住居　土坑　[平安時代]鍛冶,縄文土器　石皿　磨石　土師器　須恵器　陶器　鉄製品　鞴口,139.4333591,35.63535242
13224001000,13224,10,わだ・もぐさいせき,和田・百草遺跡,多摩市 和田三丁目　 百草　 和田,[旧石器時代][縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][中世][近世],集落・屋敷,[旧石器時代]ユニット　[縄文時代]住居　集石　炉穴　陥し穴　土坑　土壙　[古墳時代]住居　溝　方形周溝墓　[奈良時代][平安時代]住居　土坑　溝　[中世]地下式土坑　[中世][近世]建物　井戸　柵,石器　縄文土器　石器　土師器　須恵器　カワラケ　鉄器　石臼,139.4334725,35.64036886
13224001200,13224,12,もぐさひがしいせき,百草東遺跡,多摩市 落川　 貝取,[縄文時代（前期）][平安時代],包蔵地,,,139.4358697,35.63772409
13224001300,13224,13,おちかわみなみ,落川南遺跡,多摩市 落川,[縄文時代（前期～中期）],包蔵地,[縄文時代]土坑,縄文土器　石器　鉄鏃,139.4377409,35.63811473
13224001600,13224,16,たまにゅーたうんNo.35いせき,多摩ニュータウンNo.35遺跡,多摩市 愛宕二丁目,[縄文時代（前期～中期）][奈良時代][平安時代],包蔵地,[縄文時代]土坑,縄文土器　石斧　礫器　土師器,139.4397251,35.63632264
13224001700,13224,17,たましNo.17いせき・さえきやしきあと,多摩市No.17遺跡・佐伯屋敷跡,多摩市 桜ヶ丘一丁目　 関戸五丁目,[平安時代],包蔵地・城館,,土師器,139.4512538,35.64705639
13224001800,13224,18,,多摩市No.18遺跡,多摩市 関戸五丁目,[縄文時代（早期～後期）],包蔵地,,縄文土器　土師器,139.4504298,35.64613571
13224001900,13224,19,たまにゅーたうんNo.21いせき,多摩ニュータウンNo.21遺跡,多摩市 関戸六丁目,[縄文時代（早期・中期）][奈良時代][平安時代],包蔵地,,縄文土器　須恵器,139.4501208,35.63846298
13224002000,13224,20,たまにゅーたうんNo.15いせき,多摩ニュータウンNo.15遺跡,多摩市 聖ヶ丘五丁目,[縄文時代（早期～中期）][平安時代],包蔵地,[縄文時代]土坑,縄文土器　平安土器　石器　土師器,139.4651332,35.62869501
13224002100,13224,21,たまにゅーたうんNo.377いせき,多摩ニュータウンNo.377遺跡,多摩市 聖ヶ丘五丁目,[縄中][奈][平],包蔵地,,縄文土器　土師器?,139.463262,35.62500931
13224002200,13224,22,たまにゅーたうんNo.378いせき,多摩ニュータウンNo.378遺跡,多摩市 聖ヶ丘四丁目　 諏訪四丁目,[縄文時代（前期～中期）][奈良時代][平安時代],包蔵地,,縄文土器　石核　土師器,139.4597773,35.62640672
13224002300,13224,23,たまにゅーたうんNo.47いせき,多摩ニュータウンNo.47遺跡,多摩市 諏訪六丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器　打斧　土師器　須恵器,139.4587644,35.62115808
13224002400,13224,24,たまにゅーたうんNo.20いせき,多摩ニュータウンNo.20遺跡,多摩市 諏訪四丁目,[縄文時代（中期）],集落,[縄文時代]住居,,139.4567045,35.62428374
13224002500,13224,25,たまにゅーたうんNo.43いせき,多摩ニュータウンNo.43遺跡,多摩市 諏訪二丁目,[縄文時代（早期）],包蔵地,,縄文土器,139.4528502,35.62393682
13224002600,13224,26,たまにゅーたうんNo.48いせき,多摩ニュータウンNo.48遺跡,多摩市 諏訪五丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4527815,35.62301587
13224002700,13224,27,むかいのおかいせき,向ノ岡遺跡,多摩市 連光寺一丁目,[縄文時代（早期～後期）][奈良時代][平安時代][中世][近世],集落・城館,[縄文時代]住居　敷石住居　集石　炉穴　石囲炉　陥し穴　土坑　[奈良時代]住居　溝　[平安時代]屋外炉,縄文土器　石器　土錘　土製円板　耳栓　土偶　土師器　須恵器　鉄製品　陶磁器,139.4595044,35.64554104
13224002900,13224,29,さくらがおかごるふじょうないいせき,桜ヶ丘ゴルフ場内遺跡,多摩市 連光寺,[縄文時代（早期～後期）][平安時代],集落,[縄文時代]住居　敷石住居　配石,縄文土器　石器　土師器,139.4617703,35.64827516
13224003000,13224,30,おおまつやまいせき,大松山遺跡,多摩市 連光寺五丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.460603,35.6384263
13224003100,13224,31,ほんむらNo.1いせき,本村No.1遺跡,多摩市 連光寺二丁目,[縄文時代（草創期～中期）][平安時代],包蔵地・屋敷,[縄文時代]土坑　[近世]掘立柱建物　井戸　炭窯　段切状遺構,縄文土器　有舌尖頭器　石器　土師器　須恵器　陶磁器,139.455202,35.63916053
13224003200,13224,32,ほんむらNo.2いせき,本村No.2遺跡,多摩市 連光寺二丁目,[縄文時代（前期）][奈良時代],集落,[縄文時代]陥し穴　土坑　[奈良時代]住居　屋外竈　[近世]炭窯,縄文土器　石器　土師器　須恵器,139.454584,35.63977437
13224003300,13224,33,ほんむらNo.3いせき,本村No.3遺跡,多摩市 連光寺二丁目,[縄文時代（早期～前期）][奈良時代],集落,[縄文時代]集石　陥し穴　[奈良時代]住居,縄文土器　石器　土師器　須恵器,139.4534167,35.64055561
13224003400,13224,34,たまにゅーたうんNo.22いせき,多摩ニュータウンNo.22遺跡,多摩市 連光寺二丁目,[縄文時代（早期～中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]土坑　[中世]掘立柱建物　建物　住居　方形竪穴　遺構　蔵　井戸　溝,縄文土器　土師器　須恵器　陶磁器　燈明皿　鉄釘　刀子　紡錘車　鏡　飾り金具　銭貨,139.4506702,35.63667722
13224003500,13224,35,たまにゅーたうんNo.500いせき,多摩ニュータウンNo.500遺跡,多摩市 馬引沢一丁目,[旧石器時代][奈良時代][平安時代],集落,[旧石器時代]礫群,剥片　土師器,139.4505672,35.63547739
13224003600,13224,36,ふながだいいせきぐんNo.1,船ヶ台遺跡群No.1,多摩市 連光寺六丁目,[縄文時代（前期）],包蔵地,,縄文土器,139.4634182,35.63404554
13224003700,13224,37,ふながだい（たまにゅーたうんNo.367）いせき,船ヶ台遺跡群No.2,多摩市 連光寺六丁目,[縄文時代（前期～中期）][奈良時代][平安時代][中世?],包蔵地,,縄文土器　土師器　須恵器,139.4645512,35.63401763
13224003800,13224,38,ふながだい（たまにゅーたうんNo.370）いせき,船ヶ台遺跡群No.3,多摩市 連光寺六丁目,[縄文時代（前期～中期）][近世],包蔵地,,縄文土器　陶器,139.4655468,35.63410134
13224003900,13224,39,ふながだい（たまにゅーたうんNo.371）いせき,船ヶ台遺跡群No.4,多摩市 連光寺六丁目,[縄文時代（前期～中期）][中世？],包蔵地,,縄文土器　陶器,139.4672978,35.63337584
13224004000,13224,40,ふながだいいせき,船ヶ台遺跡,多摩市 連光寺六丁目,[中世],地下式横穴,[中世]地下式土坑　4×2ｍ　8m2,人骨,139.4666111,35.63365488
13224004100,13224,41,ふながだい（たまにゅーたうんNo.372）いせき,船ヶ台遺跡群No.5,多摩市 連光寺六丁目,[縄文時代（前期）][平安時代],包蔵地,[縄文時代]陥し穴,縄文土器　土師器,139.4661648,35.63276195
13224004200,13224,42,ふながだい（たまにゅーたうんNo.373）いせき,船ヶ台遺跡群No.6,多摩市 連光寺六丁目,[縄文時代（前期）][平安時代],包蔵地,,縄文土器　土師器,139.4666111,35.63223177
13224004300,13224,43,ふながだい（たまにゅーたうんNo.374）いせき,船ヶ台遺跡群No.7,多摩市 連光寺六丁目,[縄文時代（前期）],包蔵地,,縄文土器,139.4663708,35.63192482
13224004400,13224,44,ふながだい（たまにゅーたうんNo.375）いせき,船ヶ台遺跡群No.8,多摩市 連光寺六丁目,[縄文時代（前期）][平安時代],包蔵地,,縄文土器　土師器,139.4675038,35.63164578
13224004500,13224,45,ふながだい（たまにゅーたうんNo.376）いせき,船ヶ台遺跡群No.9,多摩市 連光寺六丁目,[平安時代],包蔵地,※稲城市No.107遺跡と一連の多摩ニュータウン遺跡,土師器,139.4665081,35.63103188
