JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13225000100,13225,1,けいおうていとさがみはらせんNo.1いせき,京王帝都相模原線No.1遺跡,稲城市 坂浜,[旧石器時代][縄文時代（早期・中期）][奈良時代][平安時代],包蔵地,,,139.4766499,35.61807499000001
13225000200,13225,2,けいおうていとさがみはらせんNo.2いせき,京王帝都相模原線No.2遺跡,稲城市 坂浜,[旧石器時代][縄文時代（中期）][中世],集落,[縄文時代]住居　炉　土坑　[中世]建物　ピット群　地下式土坑,ナイフ形石器　縄文土器　石器　陶器　鉄鏃　刀子,139.4788815,35.619358809999994
13225000300,13225,3,,稲城市No.3遺跡,稲城市 坂浜,[縄文時代（前期～中期）],包蔵地,,縄文土器,139.4832074,35.621396129999994
13225000500,13225,5,,稲城市No.5遺跡,稲城市 坂浜,[旧石器時代][縄文時代（中期）]［奈良時代］［平安時代］[中世],包蔵地,,,139.4855763,35.624242710000004
13225000700,13225,7,,稲城市No.7遺跡,稲城市 坂浜,[縄文時代（前期）],包蔵地,,縄文土器,139.4807711,35.61954104000003
13225000900,13225,9,たまにゅーたうんNo.11いせき,多摩ニュータウンNo.11遺跡,稲城市 坂浜,[縄文時代（早期～後期）][古墳時代][中世][近世],包蔵地,[縄文時代]土坑　[古墳時代]土坑　[中世]竪穴状遺構　[近世]土坑　室　溝　道,縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　掻器　磨器　凹石　敲石　須恵器　陶磁器　舶載陶磁器　板碑　砥石　鎌　釘　刀子　銭貨,139.4748488,35.62269467
13225001000,13225,10,たまにゅーたうんNo.473いせき,多摩ニュータウンNo.473遺跡,稲城市 坂浜,[縄文時代（早期～後期）][奈良時代][中世][近世],集落,[縄文時代]住居　建物　竪穴状遺構　集石　炉穴　焼土　土坑　墓壙　埋甕　[中世][近世]室　炭窯　溝　道路,縄文土器　石器　土製円板　?状耳飾　垂飾　石棒　石製模造品　土偶　炭化材　土師器　須恵器,139.4741777,35.623717110000015
13225001100,13225,11,たまにゅーたうんNo.474いせき,多摩ニュータウンNo.474遺跡,稲城市 坂浜,[近世],塚,2基,土師器　銭貨,139.4748472,35.62350780000001
13225001300,13225,13,たまにゅーたうんNo.470いせき,多摩ニュータウンNo.470遺跡,稲城市 坂浜,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　土坑　[古墳時代]土坑　[平安時代][中世]土坑　溝　[近世]土坑　炭窯　溝,縄文土器　打斧　礫器　石皿　磨石　土師器　炭化物　陶磁器　砥石　鉄蹄　構築材,139.4713238,35.62401752999999
13225001400,13225,14,たまにゅーたうんNo.471いせき,多摩ニュータウンNo.471遺跡,稲城市 坂浜,[旧石器時代][縄文時代（早期～中期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]遺物集中地点　[縄文時代]住居　建物　竪穴状遺構　集石　炉穴　焼土　土坑　墓壙　埋甕　[古墳時代]ピット　土坑　[奈良時代][平安時代]焼土　土坑　炭窯　[平安時代][中世]竪穴状遺構　土坑　溝状遺構　[中世]土坑　炭窯　溝　道路状遺構,ナイフ形石器　尖頭器　はく片　礫　縄文土器　石器　土製円板　?状耳飾　垂飾　石棒　土偶　炭化材　弥生土器　有孔磨製石鏃　炭化物　土師器　須恵器　陶磁器　舶載陶磁器　砥石　煙管,139.4732807,35.62301286
13225001700,13225,17,たまにゅーたうんNo.14いせき,多摩ニュータウンNo.14遺跡,稲城市 坂浜,[縄文時代（早期～後期）][奈良時代][平安時代][中世],包蔵地,[縄文時代]集石　土坑　[近世]土坑　炭窯　溝,縄文土器　石器　土師器　須恵器　陶磁器,139.4662499,35.624994279999996
13225001800,13225,18,たまにゅーたうんNo.383いせき,多摩ニュータウンNo.383遺跡,稲城市 坂浜,[縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]集石　焼土　土坑　埋甕　[古墳時代]土坑　[古墳時代]～[平安時代]竪穴状遺構　焼土　[平安時代]～[中世]土坑　[近世]ピット　土坑　井戸　段切状遺構　溝,縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　石匙　磨石　土師器　須恵器　陶器　陶磁器　鋤　鎌　銭貨　炭化材,139.4672112,35.627505860000014
13225001900,13225,19,たまにゅーたうんNo.382いせき,多摩ニュータウンNo.382遺跡,稲城市 坂浜,[縄文時代（早期～中期）][弥生時代（中期）][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]集石　焼土　土坑　石鏃製作址　[奈良時代]～[近世]焼土　ピット　土坑　段切状遺構　溝,縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　削器　石皿　磨石　凹石　敲石　土製円板　土棒　土偶　弥生土器　土師器　須恵器　陶器　陶磁器,139.4663186,35.627505860000014
13225002000,13225,20,たまにゅーたうんNo.13いせき,多摩ニュータウンNo.13遺跡,稲城市 坂浜,[縄文時代（前期～中期）][近世],包蔵地,,縄文土器　陶磁器,139.4700133,35.62366750000001
13225002100,13225,21,たまにゅーたうんNo.469いせき,多摩ニュータウンNo.469遺跡,稲城市 坂浜,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,,縄文土器,139.4707238,35.62430247
13225002200,13225,22,たまにゅーたうんNo.480いせき,多摩ニュータウンNo.480遺跡,稲城市 坂浜,[旧石器時代][縄文時代（前期～中期）][奈良時代][中世][近世],集落,[縄文時代]住居　集石　土坑　[近世]溝,ナイフ形石器　縄文土器　石器　土製円板　土製品　瓦器　陶磁器,139.4715134,35.62623324000002
13225002300,13225,23,たまにゅーたうんNo.380いせき,多摩ニュータウンNo.380遺跡,稲城市 坂浜,[旧石器時代][縄文時代（早期～中期）][古墳時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　焼土　土坑　[古墳時代]土坑　[近世]炭窯,尖頭器　縄文土器　打斧　礫器　有舌尖頭器　石鏃　掻器　石錐　石皿　磨石　炭化材　土師器　須恵器　陶器（灰釉）　陶磁器　石板,139.4666202,35.629040669999995
13225002400,13225,24,たまにゅーたうんNo.381いせき,多摩ニュータウンNo.381遺跡,稲城市 坂浜,[縄文時代（前期～中期）][平安時代][中世][近世],集落,[縄文時代]住居　[平安時代]住居　土坑　[中世][近世]建物　炉　焼土　土坑,縄文土器　打斧　礫器　石鏃　石皿　磨石　石製垂飾　土師器　須恵器　陶磁器　瓦器,139.4669366,35.628370939999996
13225002500,13225,25,たまにゅーたうんNo.384いせき,多摩ニュータウンNo.384遺跡,稲城市 坂浜,[旧石器時代][縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]集石　焼土　土坑　埋甕　[平安時代]焼土　土坑　溝　[近世]土坑　畝　段切状遺構　溝　道路,ナイフ形石器　縄文土器　打斧　磨斧　礫器　石鏃　石皿　磨石　スタンプ形石器　凹石　敲石　土師器　須恵器　陶器（灰釉）　舶載陶磁器　陶磁器　土師質土器　瓦質土器　砥石　煙管,139.4684129,35.62680820000003
13225002600,13225,26,たまにゅーたうんNo.385いせき,多摩ニュータウンNo.385遺跡,稲城市 坂浜,[旧石器時代][奈良時代][平安時代][中世][近世],包蔵地,,細石核?　須恵器?　瓦器?,139.4690652,35.62680820000003
13225002700,13225,27,たまにゅーたうんNo.386いせき,多摩ニュータウンNo.386遺跡,稲城市 坂浜,[縄文時代][古墳時代][奈良時代][平安時代][近世],包蔵地,[縄文時代]竪穴状遺構　集石　土坑　[古墳時代]土坑　[近世]炭窯,縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　石錐　石皿　磨石　敲石　須恵器　陶磁器　土師質土器　砥石　銭貨,139.4691682,35.6282035
13225002900,13225,29,たまにゅーたうんNo.481いせき,多摩ニュータウンNo.481遺跡,稲城市 坂浜,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]集石　焼土　土坑　[古墳時代]土坑　[奈良時代][平安時代][中世]焼土　ピット　土坑　[近世]段切状遺構　溝状遺構,縄文土器　打斧　磨斧　礫器　石鏃　陶磁器　砥石,139.4709534,35.62719888999999
13225003000,13225,30,たまにゅーたうんNo.482いせき,多摩ニュータウンNo.482遺跡,稲城市 坂浜,[縄文時代（早期～後期）][奈良時代][平安時代][近世],包蔵地,[縄文時代]集石　土坑　[近世]炭窯,縄文土器　石斧　礫器　掻器　削器　磨石　敲石　土製?状耳飾　陶器　カワラケ,139.4725643,35.626698499999975
13225003100,13225,31,たまにゅーたうんNo.483いせき,多摩ニュータウンNo.483遺跡,稲城市 坂浜,[古墳時代],横穴墓,,,139.473354,35.62647525
13225003200,13225,32,たまにゅーたうんNo.475いせき,多摩ニュータウンNo.475遺跡,稲城市 坂浜,[縄文時代（早期～中期）][奈良時代][平安時代][中世][近世],包蔵地,[奈良時代][平安時代]竪穴状遺構　焼土　土坑　[近世]室　炭窯,縄文土器　打斧　磨斧　礫器　石槍　石匙　石皿　磨石　砥石　石核　石板　土師器　土師質土器　陶磁器　銭貨,139.4745556,35.624270609999996
13225003300,13225,33,たまにゅーたうんNo.476いせき,多摩ニュータウンNo.476遺跡,稲城市 坂浜,[縄文時代（早期～中期）][平安時代][中世][近世],集落,[縄文時代]住居　土坑　[近世]土坑　山砂採掘坑,縄文土器　打斧　磨斧　礫器　石鏃　石匙　石皿　磨石　土師器　土師質土器　陶磁器,139.474281,35.62496829000001
13225003400,13225,34,たまにゅーたうんNo.9いせき,多摩ニュータウンNo.9遺跡,稲城市 若葉台一丁目,[縄文時代][中世][近世],包蔵地,[縄文時代]陥し穴土坑　住居跡　竪穴状遺構　埋甕　土坑　集石　焼土跡　[古墳時代]住居跡　土坑　[中世]竪穴状遺構　土坑　溝　[中世][近世]陥し穴土坑　[近世]土坑　道路遺構　溝　杭列　ピット,角錐状石器　ナイフ形石器　彫器　掻器　尖頭器　細石刀　細石刀石核　土製品　石製品　石器　縄文土器　打斧　石皿　鉄釘　磁器　土師質須恵器　須恵器（甕）　土師器,139.4763706,35.62605472999999
13225003500,13225,35,たまにゅーたうんNo.10いせき,多摩ニュータウンNo.10遺跡,稲城市 坂浜,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]炉穴　焼土　土坑　[古墳時代]土坑　[奈良時代][平安時代]焼土　土坑　[近世]土坑　室　畝　山砂採掘坑　段切状遺構　溝,縄文土器　打斧　磨斧　礫器　石槍　石鏃　掻器　石皿　磨石　凹石　土師器　須恵器　陶磁器　舶載陶磁器　銭貨,139.4760273,35.62446403999999
13225003600,13225,36,たまにゅーたうんNo.472いせき,多摩ニュータウンNo.472遺跡,稲城市 坂浜,,集落,,,139.4729374,35.624212880000016
13225003700,13225,37,たまにゅーたうんNo.12いせき,多摩ニュータウンNo.12遺跡,稲城市 坂浜,[縄文時代（中期）],包蔵地,[縄文時代]土坑,縄文土器,139.4761646,35.622761690000004
13225003800,13225,38,たまにゅーたうんNo.6いせき,多摩ニュータウンNo.6遺跡,稲城市 坂浜,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器,139.4807995,35.62527334000001
13225003900,13225,39,たまにゅーたうんNo.7いせき,多摩ニュータウンNo.7遺跡,稲城市 坂浜,[縄文時代（早期～中期）][奈良時代][平安時代][近世],包蔵地,[縄文時代]土坑　小土坑群　ピット群　[近世]溝　道路,縄文土器　打斧　磨斧　尖頭器　石鏃　掻器　磨石　敲石　剥片　土師器,139.4794995,35.62577758000002
13225004000,13225,40,たまにゅーたうんNo.8いせき,多摩ニュータウンNo.8遺跡,稲城市 坂浜,[奈良時代][平安時代],包蔵地,,管状土錘,139.4791218,35.62535898
13225004100,13225,41,たまにゅーたうんNo.479いせき,多摩ニュータウンNo.479遺跡,稲城市 坂浜,,包蔵地,,,139.4828297,35.62812170000001
13225004200,13225,42,たまにゅーたうんNo.5いせき,多摩ニュータウンNo.5遺跡,稲城市 長峰二丁目　 長峰三丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　土坑　[古墳時代]土坑　[平安時代]住居　焼土　ピット　柱穴群　土坑　溝　工房　[近世]建物　貯蔵穴　土坑　井戸　段切状遺構　墓,尖頭器　剥片　縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　掻器　石匙　石皿　抉入磨石　加工礫　?状耳飾　盤状　弥生土器　土師器　須恵器　陶器　斧　釘　刀子　鉄鏃　紡錘車　土錘　羽口　蔵骨器　鉄滓　人骨　自然遺物　陶磁器　舶載磁器　板碑　砥石　釘　弾丸　銅煙管　毛抜き　ガラス玉　銭貨　人骨,139.4808336,35.63176739000002
13225004300,13225,43,たまにゅーたうんNo.4いせき,多摩ニュータウンNo.4遺跡,稲城市 長峰三丁目,[縄文時代（早期～中期）][奈良時代][平安時代][近世],包蔵地,[縄文時代]集石　土坑　[近世]溝,縄文土器　石皿?　はく片　土師器　陶磁器,139.4844385,35.63263241999999
13225004400,13225,44,たまにゅーたうんNo.366いせき,多摩ニュータウンNo.366遺跡,稲城市 長峰三丁目,[旧石器時代][縄文時代（早期～後期）][平安時代][中世][近世],集落,[縄文時代]集石　集石土坑　陥し穴　[平安時代]住居　竪穴状遺構　土坑　溝　[中世]～[近世]土坑　井戸　炭窯　溝,尖頭器　細石刃核　縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　掻器　石匙　石皿　凹石　石核　?状耳飾　土偶　土師器　須恵器　陶器（灰釉・緑釉）　舶載陶磁器　砥石　鉄製品　炭化材　板碑　鉛玉　銭貨,139.4811769,35.63263241999999
13225004500,13225,45,こまざわがくえんこうちない（A-1)いせき,駒沢学園校地内（A-1）遺跡,稲城市 坂浜,[縄文時代（前期～中期）]［古墳時代］,包蔵地,,縄文土器　焼礫,139.4930742,35.62895347
13225004600,13225,46,,稲城市No.46遺跡,稲城市 坂浜,[縄文時代（中期）],包蔵地,,縄文土器　土師器,139.4951847,35.62518962
13225004700,13225,47,たまにゅーたうんNo.360いせき,多摩ニュータウンNo.360遺跡,稲城市 大丸,[縄文時代（前期）][奈良時代][平安時代][中世],集落,[縄文時代]土坑　[奈良時代]住居　土坑　[中世]柱穴群,縄文土器　石器　土師器　須恵器　陶器（灰釉）,139.4897256,35.64651755000001
13225004800,13225,48,たまにゅーたうんNo.362いせき,多摩ニュータウンNo.362遺跡,稲城市 向陽台四丁目,[縄文時代（前期～中期）][奈良時代][平安時代],集落,[縄文時代]焼土　土坑　[奈良時代][平安時代]住居　竪穴状遺構　土坑,縄文土器　石器　土師器　須恵器　鎌　刀子,139.4879404,35.64245410000004
13225004900,13225,49,たまにゅーたうんNo.363いせき,多摩ニュータウンNo.363遺跡,稲城市 向陽台四丁目,[縄文時代（早期～中期）][古墳時代][奈良時代][近世],集落,[縄文時代]集石　集石土坑　焼土　土坑　[古墳時代][奈良時代]住居　竪穴状遺構　土坑　[近世]炭窯,縄文土器　打斧　礫器　掻器　石皿　磨石　炭化物　土師器　須恵器　鋤　鎌　鉄鏃　銭貨,139.4886957,35.64270521
13225005000,13225,50,たまにゅーたうんNo.1いせき,多摩ニュータウンNo.1遺跡,稲城市 向陽台六丁目,,包蔵地,[時代不明]溝,,139.4904123,35.64136597000001
13225005100,13225,51,たまにゅーたうんNo.365いせき,多摩ニュータウンNo.365遺跡,稲城市 向陽台一丁目,[奈良時代][平安時代],包蔵地,,,139.4966608,35.641644979999995
13225005200,13225,52,たまにゅーたうんNo.3いせき（たてだいいせき）,多摩ニュータウンNo.3遺跡（稲城市竪台遺跡）,稲城市 百村,[縄文時代（前期～中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居跡　竪穴状遺構　集石　陥し穴　土坑　ピット群　[古墳時代]住居　溝　[奈良時代][平安時代]住居跡　掘立柱建物址　土坑　溝　製鉄遺構　[中世]土坑　地下式土坑　[近世]土壙　井戸　溝,尖頭器　縄文土器　打斧　磨斧　石鏃　石匙　石錘　石皿　磨石　凹石　敲石　台石　石核　土錘　土製円板　?状耳飾　土偶　炭化材　石器　土師器　須恵器　土製支脚　刀子　鉄鏃　鉄製品　石製紡錘車　羽口　か帯巡方　陶磁器　舶載陶磁器　板碑,139.48887206843372,35.63472926926413
13225005300,13225,53,たまにゅーたうんNo.2いせき（ろくまんだいいせき）,多摩ニュータウンNo.2遺跡（六間台遺跡）,稲城市 坂浜　 百村,[縄文時代（草創期～早期）][古墳時代][奈良時代][平安時代],集落,[縄文時代]陥し穴　土坑　[古墳時代]住居　[奈良時代]住居跡　[平安時代]住居跡,縄文土器　石器,139.49463989043738,35.63735215271174
13225005400,13225,54,,稲城市No.54遺跡,稲城市 百村,[縄文時代（中期）],包蔵地,,縄文土器,139.49625350764268,35.63313875273505
13225005500,13225,55,たまにゅーたうんNo.364いせき,多摩ニュータウンNo.364遺跡,稲城市 向陽台一丁目　 百村,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器,139.4973817,35.64125436000002
13225005600,13225,56,,稲城市No.56遺跡,稲城市 百村,[時代不明],包蔵地,,,139.4984958340517,35.63251091193668
13225005700,13225,57,,稲城市No.57遺跡,稲城市 百村,[時代不明],包蔵地,,,139.49798084992085,35.63193887255336
13225005800,13225,58,,稲城市No.58遺跡,稲城市 百村,[時代不明],包蔵地,,,139.4993198085301,35.63051573261626
13225005900,13225,59,,稲城市No.59遺跡,稲城市 百村,[時代不明],包蔵地,,,139.4989764857762,35.62944138467883
13225006000,13225,60,,稲城市No.60遺跡,稲城市 百村,[縄文時代（中期）],包蔵地,,縄文土器,139.50069309954574,35.63079478163877
13225006100,13225,61,,稲城市No.61遺跡,稲城市 百村,[時代不明],包蔵地,,,139.5012080836766,35.629804153146694
13225006200,13225,62,,稲城市No.62遺跡,稲城市 東長沼,[縄文時代],包蔵地,,縄文土器　石器　焼礫,139.5049005,35.62827924999999
13225006300,13225,63,いなぎしNo.63いせき（みょうがくいんづか）,稲城市No.63遺跡（明楽院塚）,稲城市 矢野口,[縄文時代（早期～中期）][近世],包蔵地・その他の墓,[縄文時代]陥し穴土坑　集石跡　[近世]塚群2,鉄板　刀身　錫杖頭部　銭貨　人骨　銅製錫杖　銅銭　縄文土器　石器　焼礫,139.512808,35.627274639999996
