JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13228000100,13228,1,たけのしろいせき,竹の後遺跡,あきる野市 乙津,[縄文時代(中期)],包蔵地,,縄文土器 石鏃 石皿,139.1797183,35.72689206,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228000200,13228,2,てらおかいせき,寺岡遺跡,あきる野市 養沢,[縄文時代（中期）],集落,[縄文時代]住居,縄文土器,139.1821902,35.73051524,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228000300,13228,3,ぐんどういせき,軍道遺跡,あきる野市 乙津,[縄文時代（早期〜前期）][平安時代],包蔵地,,縄文土器　須恵器,139.1847995,35.73475137,,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13228000400,13228,4,うさだけはらいせき,宇佐岳原遺跡,あきる野市 乙津,[縄文時代（早期〜中期）],集落,[縄文時代]住居,縄文土器　礫器　石鏃　掻器　石皿　敲石　剥片石器　剥片,139.1892283,35.73154642,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228000500,13228,5,かもっぱらいせき,加茂原遺跡,あきる野市 乙津,[縄文時代（中期）],集落,[縄文時代]住居　土坑　配石遺構,縄文土器　打斧　礫器　石鏃　掻器　石匙　石錐　石皿　磨石　凹石　敲石　円形石器　砥石　石核　土製円板　土偶,139.1912539,35.73034802,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228000600,13228,6,とくらじょうあと,戸倉城跡,あきる野市 戸倉,[中世],城館,[中世]井戸　空堀　東西曲輪　土塁　枡形,,139.1972621,35.72591656,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13228000700,13228,7,とくらおおらっぱらいせき,戸倉オオラッ原遺跡,あきる野市 戸倉,[縄文時代（中期〜後期）],集落,[縄文時代]敷石住居,縄文土器　打斧　磨斧　石鏃　石錘　石皿　磨石　石棒,139.2028926,35.72747735,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228000800,13228,8,しもじゅくみちうえいせき,下宿道上遺跡,あきる野市 戸倉,[縄文時代],集落,[縄文時代]敷石住居?,縄文土器　石器,139.2051928,35.72669696,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228000900,13228,9,まえはたいせき,前畑遺跡,あきる野市 小中野,[縄文時代],包蔵地,,剥片,139.211982,35.72767942,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228001000,13228,10,たけのはないせき,竹の花遺跡,あきる野市 小中野,[縄文時代],包蔵地,,掻器,139.2138703,35.727122,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228001100,13228,11,にしいりのいせき,西入野遺跡,あきる野市 五日市,[縄文時代（前期〜中期）],包蔵地,,磨斧　剥片,139.2176469,35.73197144,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228001200,13228,12,いつかいちこうこういせき,五日市高校遺跡,あきる野市 五日市,[縄文時代（中期〜晩期）],集落,[縄文時代]敷石住居　炉　土坑　柱穴　立石　土壙墓,縄文土器　打斧　磨斧　石鏃　石匙　石錘　石皿　敲石　砥石　耳飾　石棒　石冠　土偶　三角形土製品　貝輪,139.2181275,35.72910083,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228001300,13228,13,かしばらいせき,柏原遺跡,あきる野市 小和田,[縄文時代（中期）],包蔵地,,縄文土器　打斧　石皿,139.2185395,35.7227461,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228001400,13228,14,いつかいちちゅうがっこういせき,五日市中学校遺跡,あきる野市 五日市,[縄文時代（中期）],包蔵地,,縄文土器,139.2210801,35.73066156,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13228001500,13228,15,いりのざかいせき,入野坂遺跡,あきる野市 五日市,[縄文時代（中期）][奈良時代],包蔵地,,縄文土器　磨石　土師器,139.2220414,35.73283539,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13228001600,13228,16,まつばらいせき,松原遺跡,あきる野市 五日市,[縄文時代（中期）][平安時代],集落,[縄文時代]敷石住居,縄文土器　打斧　磨斧　石鏃　土師器,139.2241357,35.72492015,,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13228001700,13228,17,こづくえだいらいせき,小机平遺跡,あきる野市 三内,[縄文時代（中期）][中世],包蔵地,,縄文土器　剥片　陶器,139.2260583,35.73927291,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13228001800,13228,18,おぐらはらいせき,小倉原遺跡,あきる野市 入野,[縄文時代（早期〜中期）],包蔵地,[縄文時代]土坑　溝状遺構,縄文土器　打斧　磨斧　石鏃　石皿　磨石　凹石　剥片,139.2262643,35.73353211,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
