JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13303000100,13303,1,まつばらいせき,松原遺跡,瑞穂町 箱根ヶ崎,[旧石器時代][縄文時代（前期）],包蔵地,[旧石器時代]礫群 [縄文時代]土坑,縄文土器 石鏃 石器 打製石斧,139.3442205,35.77458789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303000200,13303,2,さやまいせき,狭山遺跡,瑞穂町 箱根ヶ崎,[旧石器時代][縄文時代（前期〜中期）][弥生時代][古墳時代][平安時代],集落,［時代不明］住居跡 炉 土坑 溝状遺構 溝,ナイフ形石器 尖頭器 細石刃 細石刃核 掻器 削器 石錐 旧石器 縄文土器 打斧 磨斧 有茎尖頭器 石鏃 石皿 磨石 凹石 敲石 土製円板 石器 弥生土器 土師器 須恵器 陶磁器 ガラス製品 金属製品 銭貨,139.3498167,35.77550709,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13303000300,13303,3,せんげんやついせき,浅間谷遺跡,瑞穂町 箱根ヶ崎,[旧石器時代][縄文時代（早期・中期〜後期）]［弥生時代］,包蔵地,[縄文時代]炉,尖頭器 細石刃核 掻器 縄文,139.3540739,35.776287,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303000400,13303,4,,瑞穂町No.4遺跡,瑞穂町 石畑,[縄文時代],包蔵地,,縄文土器,139.3563055,35.77550709,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303000500,13303,5,,瑞穂町No.5遺跡,瑞穂町 石畑,[縄文時代（早期〜前期）],包蔵地,,縄文土器 打製石器,139.3568811,35.77251852,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303000600,13303,6,,瑞穂町No.6遺跡,瑞穂町 石畑,[縄文時代（中期）],包蔵地,,縄文土器,139.3631033,35.77584134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303000700,13303,7,,瑞穂町No.7遺跡,瑞穂町 石畑,[縄文時代（早期〜前期）],包蔵地,,縄文土器,139.3581251,35.77199737,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303000800,13303,8,,瑞穂町No.8遺跡,瑞穂町 石畑,[縄文時代（早期〜前期）],包蔵地,,縄文土器,139.3597902,35.77082322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303000900,13303,9,ろくどうやまいせき,六道山遺跡,瑞穂町 石畑,[旧石器時代][縄文時代（早期〜中期）],集落,[縄文時代]炉穴群 土坑,尖頭器 縄文土器 打斧 磨斧 礫器 掻器 削器 石錐 石皿 磨石 有孔石器 有孔土製円板,139.3661932,35.77542352,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303001000,13303,10,ろくどうやませいほくいせき,六道山西北遺跡,瑞穂町 石畑,[縄文時代（前期）],包蔵地,,縄文土器,139.3634466,35.77762398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303001100,13303,11,,瑞穂町No.11遺跡,瑞穂町 石畑,[中世][近世],,,陶器,139.3606657,35.76982462,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13303001200,13303,12,みねたいせき,峰田遺跡,瑞穂町 殿ヶ谷,[縄文時代（中期）],包蔵地,,縄文土器 石器,139.3620514,35.77046311,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303001300,13303,13,たきたいせき,滝田遺跡,瑞穂町 殿ヶ谷,[中世][近世],,,土師質土器,139.3635964,35.77244973,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13303001400,13303,14,,瑞穂町No.14遺跡,瑞穂町 石畑,[縄文時代（中期）],包蔵地,,縄文土器,139.3625933,35.76994806,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303001500,13303,15,,瑞穂町No.15遺跡,瑞穂町 殿ヶ谷,[縄文時代（中期）][古墳時代][奈良時代],包蔵地,土坑,縄文土器 土師器 陶器 石皿,139.363253,35.76779775,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13303001600,13303,16,,瑞穂町No.16遺跡,瑞穂町 殿ヶ谷,[中世][近世],,,,139.3652652,35.76712181,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
