JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13307000100,13307,1,なかのだいらいせき,中之平遺跡,檜原村 藤原,[縄文時代（早期）],集落,[縄文時代]炉穴,縄文土器　尖頭器　石鏃　掻器　彫器,139.0716743,35.75846009,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000200,13307,2,おおたけさんいせき,大岳山遺跡,檜原村 白倉,[縄文時代（中期）],包蔵地,,縄文土器,139.1327514,35.76495126,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000300,13307,3,くらかけいせき,倉掛遺跡,檜原村 倉掛,[縄文時代（早期〜前期）],包蔵地,,縄文土器,139.0730444,35.7416383,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000400,13307,4,おねどおり（どうひら）いせき,尾根通り(堂平）遺跡,檜原村 尾根通,[縄文時代（早期〜中期）],集落,[縄文時代]住居,縄文土器　磨斧　石皿　石棒,139.0948646,35.74182518,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000500,13307,5,おうじがしょういせき,王子ヶ城遺跡,檜原村 小岩　 王子ケ原,[旧石器時代][縄文時代（早期・中期〜晩期）],集落,[縄文時代]敷石住居,細石刃核　縄文土器　打斧　磨斧　石鏃　掻器　石錘　耳栓　石棒　石剣　土偶,139.1125791,35.73067187,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000600,13307,6,かずま・おおだいらいせき,数馬・大平遺跡,檜原村 数馬,[縄文時代（早期〜前期）],包蔵地,,縄文土器,139.0417998,35.72828461,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000700,13307,7,うずしきいせき,笛吹遺跡,檜原村 人里,[縄文時代（中期）],包蔵地,,縄文土器,139.0761664,35.7117834,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000800,13307,8,かみだいらいせき,上平遺跡,檜原村 人里,[縄文時代（中期）],包蔵地,,縄文土器,139.0845435,35.71373473,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307000900,13307,9,たかおばらいせき,高尾原遺跡,檜原村 人里,[縄文時代（早期）],包蔵地,,縄文土器,139.088835,35.71345597,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001000,13307,10,いでのいせき,出野遺跡,檜原村 南郷,[縄文時代（中期）],包蔵地,,縄文土器　石皿,139.1256409,35.7036551,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001100,13307,11,かみかわのり・みねいせき,上川苔・峰遺跡,檜原村 上川乗,[縄文時代（中期）],集落,[縄文時代]住居　炉,縄文土器,139.1080825,35.70419714,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001200,13307,12,かみかわのり・くまのじんじゃえーちてんいせき,上川苔・熊野神社A地点遺跡,檜原村 上川乗,[縄文時代（中期）],集落,[縄文時代]住居　炉,縄文土器　石鏃　剥片,139.1097992,35.70210617,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001300,13307,13,よまごいせき,与孫遺跡,檜原村 小沢,[縄文時代（前期〜後期）],包蔵地,,縄文土器,139.1229818,35.73855867,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001400,13307,14,,檜原村No.14遺跡,檜原村 白倉,[縄文時代（中期）],包蔵地,,縄文土器,139.1337262,35.74089328,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001500,13307,15,,檜原村No.15遺跡,檜原村 白倉,[縄文時代（中期）],包蔵地,,縄文土器,139.1358204,35.74078181,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001600,13307,16,かんだいらいせき,寒平遺跡,檜原村 寒平,[縄文時代（早期・中期〜後期）],包蔵地,,縄文土器,139.1388968,35.74029316,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001700,13307,17,ぞうしっぱらいせき,雑司原遺跡,檜原村 本宿,[縄文時代（中期〜晩期）],集落,[縄文時代]敷石住居?,縄文土器　石皿　土師器　須恵器,139.1449211,35.72981401,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001800,13307,18,どうさかいせき,堂坂遺跡,檜原村 本宿,[縄文時代（中期〜後期）],包蔵地,,縄文土器,139.146775,35.72610719,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307001900,13307,19,ひのはらじょう（ほんじゅくじょう）あと,檜原城（本宿城）跡,檜原村 本宿,[中世],城館,[中]物見櫓　堀切　曲輪,,139.1449211,35.72574485,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13307002000,13307,20,かげったいせき,陰ツ田遺跡,檜原村 本宿,[縄文時代（早期）],包蔵地,,縄文土器,139.1426895,35.73073373,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13307002100,13307,21,みなみひのはらしょうがっこういせき,南檜原小学校遺跡,檜原村 上川乗,[縄文時代（中期）],包蔵地,,縄文土器　石皿,139.1114814,35.70297044,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
