itemId,ISEKI_NO,SiteName,TYPE,ERA,x,y,name,layerId,layerName,mapId,orgGeomType,source_first_seen,source_level,source_hits
224,1,,試験施設,近代,139.41784937329900,35.51470340335910,1,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3229,13,26
306,2,,散布地,奈良～平安,139.44415109675800,35.518107953739300,2,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,7
305,3,,散布地,奈良～平安,139.44717764545200,35.51757020568580,3,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,19
307,4,,散布地,旧石器,139.44584200373300,35.52170740439610,4,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,21
313,5,,散布地,旧石器、縄文、奈良～平安,139.44822710685000,35.522483049514900,5,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,21
312,6,,散布地,奈良～平安,139.44749699043700,35.524659206941400,6,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,7
316,7,,集落跡,旧石器、縄文、古墳、奈良～平安,139.44328062999800,35.5272638925504,7,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,19
311,8,,散布地,旧石器,139.44461051800800,35.52336924168410,8,0,埋蔵文化財包蔵地,13-36,polygon,u7269_v3229,13,12
309,9,,散布地,縄文,139.44140666776900,35.52304415034380,9,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,21
310,10,,散布地,旧石器,139.44221763206500,35.52492197248400,10,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,21
308,11,,散布地,旧石器,139.4395224535020,35.524649526064300,11,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,23
314,12,,散布地,旧石器,139.43717155119500,35.52884720373820,12,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3229,13,26
324,13,,散布地,旧石器、奈良～平安,139.43904212767300,35.53180196041610,13,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,38
319,14,,散布地、集落跡,縄文、弥生、古墳、奈良～平安、近世,139.4531293077840,35.52459988502940,14,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,19
318,15,,散布地,縄文、古墳、奈良～平安,139.4499616190210,35.52562107965770,15,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,17
323,16,,散布地,縄文、弥生、奈良～平安,139.45511463245700,35.52599633447670,16,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,21
317,17,,横穴墓,古墳,139.4541539674090,35.5248811786531,17,0,埋蔵文化財包蔵地,13-36,polygon,u7269_v3229,13,14
322,18,,集落跡,古墳、奈良～平安,139.45053114748800,35.52775653203210,18,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,19
321,19,,散布地,旧石器、奈良～平安、近世,139.45227954071200,35.52908174595300,19,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,21
320,20,,集落跡,縄文、奈良～平安,139.45416036568300,35.52903548784340,20,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,17
315,21,,散布地,縄文、古墳、奈良～平安,139.44687259301900,35.52898222394620,21,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,21
339,22,,散布地,縄文、古墳、奈良～平安,139.45067852066200,35.531405825493700,22,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,17
338,23,,散布地,奈良～平安,139.44870852225200,35.531698540179600,23,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3229,13,17
325,24,,集落跡,旧石器、縄文、古墳、奈良～平安、近世,139.4451767388680,35.53232892336030,24,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,24
328,25,,集落跡,縄文、古墳、奈良～平安、中世、近世,139.44709635454900,35.53448864114410,25,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,23
326,26,,散布地、集落跡,縄文、古墳、奈良～平安、近世,139.44240333668800,35.535375138857300,26,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,23
327,27,,散布地,縄文、古墳、奈良～平安,139.44534460823100,35.53648255455110,27,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,23
334,28,,集落跡,旧石器、縄文、奈良～平安,139.4424726881720,35.537282194580600,28,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,27
333,29,,散布地,縄文、奈良～平安,139.44401642498900,35.538857346427500,29,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,23
332,30,,集落跡,旧石器、縄文、奈良～平安,139.44213500918300,35.53996257464390,30,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,23
336,31,,集落跡,縄文、古墳、奈良～平安、近世,139.44140807672100,35.541085544889200,31,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,23
330,32,,散布地,旧石器、縄文、古墳、奈良～平安,139.43877761592200,35.539040277809900,32,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,36
331,33,,散布地,奈良～平安,139.43610596122600,35.53752090439890,33,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,17
337,34,,集落跡,旧石器、縄文、古墳、奈良～平安,139.43643341184300,35.542001172480900,34,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,40
329,35,,散布地,古墳、奈良～平安,139.43342980277700,35.540291569313600,35,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,37
335,36,,集落跡,古墳、奈良～平安、中世,139.43859364368300,35.54310201930950,36,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,36
466,37,,埋納古銭出土地,中世,139.43829032331900,35.54468040048860,37,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,38
465,38,,散布地,縄文、古墳、奈良～平安,139.43612889731800,35.54506629814680,38,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,21
459,39,,集落跡,縄文、古墳、奈良～平安、中世、近世,139.43206019378000,35.545877166603700,39,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
458,40,,散布地,縄文、古墳、奈良～平安,139.42933498432200,35.54509246326150,40,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
462,41,,散布地、集落跡,旧石器、縄文、奈良～平安,139.42820573179300,35.54884998296130,41,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,19
464,42-1,,横穴墓,古墳,139.42815566412300,35.550555544440300,42-1,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,35
463,42-2,,横穴墓,古墳,139.42944999384800,35.549180832796200,42-2,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,33
461,42-3,,横穴墓,古墳,139.42782963612900,35.55075803278460,42-3,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,33
460,42-4,,横穴墓,古墳,139.42755414331100,35.55091459240650,42-4,0,埋蔵文化財包蔵地,13-36,polygon,cache:east_L11_d8ff6b27cbdb.json,13,2
468,42-5,,横穴墓,古墳,139.42662317224500,35.55156374107290,42-5,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,17
467,42-6,,横穴墓,古墳,139.42636532366600,35.55185586780780,42-6,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,33
470,43,,集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.42260453979800,35.5552938962473,43,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,17
469,44,,集落跡,旧石器、縄文、奈良～平安、中世、近世,139.42264064019900,35.557603973339800,44,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,33
471,45,,集落跡,縄文、古墳、奈良～平安,139.42201531722600,35.55894420478580,45,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,37
402,46,,散布地,縄文、古墳、奈良～平安,139.41700972565700,35.55827802518060,46,0,埋蔵文化財包蔵地,13-36,polygon,u7268_v3228,13,17
405,47,,集落跡,旧石器、縄文、奈良～平安,139.41765197345200,35.56071604500370,47,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
407,48,,散布地,縄文、古墳、奈良～平安,139.4142606398680,35.563787014906000,48,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,18
404,49,,散布地,縄文、古墳、奈良～平安,139.41321081960300,35.561740530858000,49,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,18
406,50,,散布地,縄文、奈良～平安,139.4088218338350,35.564956534385100,50,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
410,51,,集落跡,縄文、古墳、奈良～平安,139.4083739197000,35.568341636711800,51,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,44
403,52,,塚,近世,139.40134407452600,35.56504070691280,52,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,35
409,53,,散布地,縄文、古墳、奈良～平安,139.40434398613600,35.57118168269590,53,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,33
449,54,,散布地、集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.40731898867900,35.57431397310900,54,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3227,13,35
