JASID,LGC,Site_no,SiteName,Address,Chronology,Lat,Lon,P,J,Y,K,N,H,M,E,D,U
14131000100,14131,川崎区No.1,商工会議所,川崎区駅前本町11-2,古墳　近世,35.53167462,139.6993456,0,0,0,1,0,0,0,1,0,0
14131000200,14131,川崎区No.2,板碑,川崎区中島2-3,中世,35.52931368,139.7155829,0,0,0,0,0,0,1,0,0,0
14131000300,14131,川崎区No.3,小土呂橋,川崎区砂子2丁目（新川通）,近世,35.5280843,139.7002493,0,0,0,0,0,0,0,1,0,0
14131000400,14131,川崎区No.4,小田貝塚,川崎区小田1丁目,古墳　近世,35.51470437,139.7003724,0,0,0,1,0,0,0,1,0,0
14131000500,14131,川崎区No.5,渡田貝塚,川崎区渡田2-14-8ほか,奈良　平安,35.52068445,139.7065694,0,0,0,0,1,1,0,0,0,0
14131000600,14131,川崎区No.6,大島貝塚,川崎区大島2-10-6ほか,奈良　平安,35.5215437,139.7148048,0,0,0,0,1,1,0,0,0,0
14131000700,14131,川崎区No.7,了延庵内,川崎区大島4-23,近世,35.52282541,139.7158602,0,0,0,0,0,0,0,1,0,0
14131000800,14131,川崎区No.8,旧東海道川崎宿跡,川崎区本町1-8-4ほか,近世,35.53242898,139.7029763,0,0,0,0,0,0,0,1,0,0
14132000100,14132,幸区No.1,塚越古墳・板碑,幸区塚越2-180,古墳　中世,35.546993,139.680023,0,0,0,1,0,0,1,0,0,0
14132000200,14132,幸区No.2,南加瀬横穴墓群,幸区南加瀬1-7-17付近,古墳,35.54636732,139.6681877,0,0,0,1,0,0,0,0,0,0
14132000300,14132,幸区No.3,加瀬台遺跡,幸区南加瀬1-2ほか,縄文　弥生,35.55023613,139.6649776,0,1,1,0,0,0,0,0,0,0
14132000400,14132,幸区No.4,加瀬台古墳群,幸区北加瀬1-30ほか,縄文　弥生　古墳　中世,35.54914674,139.6658874,0,1,1,1,0,0,1,0,0,0
14132000500,14132,幸区No.5,白山古墳,幸区南加瀬2-1,古墳　中世,35.5502082,139.6610809,0,0,0,1,0,0,1,0,0,0
14132000600,14132,幸区No.6,第六天古墳,幸区南加瀬2-4,古墳,35.55027803,139.6602054,0,0,0,1,0,0,0,0,0,0
14132000700,14132,幸区No.7,越路遺跡,幸区南加瀬2-11ほ,中世,35.54980317,139.6613384,0,0,0,0,0,0,1,0,0,0
14132000800,14132,幸区No.8,,幸区南加瀬2-2,弥生　奈良　平安,35.54896517,139.6649605,0,0,1,0,1,1,0,0,0,0
14132000900,14132,幸区No.9,,幸区矢上地,旧石器,35.55181432,139.6573559,1,0,0,0,0,0,0,0,0,0
14132001000,14132,幸区No.10,夢見ヶ崎横穴墓,幸区南加瀬1-2ほか,古墳,35.54984507,139.6657329,0,0,0,1,0,0,0,0,0,0
14132001100,14132,幸区No.11,御嶽神社古墳,幸区塚越1-64（御嶽神社）,古墳,35.54656635,139.6788071,0,0,0,1,0,0,0,0,0,0
