"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","中世"
14131000200,14131,"川崎区No.2","板碑","その他の墓","川崎区中島2-3","中世","川崎-1",24,139.7155829,35.52931368,1
14132000100,14132,"幸区No.1","塚越古墳・板碑","古墳 その他の墓","幸区塚越2-180","古墳　中世","小向-1",30,139.680023,35.546993,1
14132000400,14132,"幸区No.4","加瀬台古墳群","古墳","幸区北加瀬1-30ほか","縄文　弥生　古墳　中世","夢見ヶ崎-1・6",37,139.6658874,35.54914674,1
14132000500,14132,"幸区No.5","白山古墳","古墳","幸区南加瀬2-1","古墳　中世","夢見ヶ崎-5",37,139.6610809,35.5502082,1
14132000700,14132,"幸区No.7","越路遺跡","その他の墓","幸区南加瀬2-11ほ","中世","夢見ヶ崎-7",37,139.6613384,35.54980317,1
14133000800,14133,"中原区No.8","井田西遺跡、井田中原遺跡","集落跡","中原区井田3-34ほか","縄文　弥生　古墳　奈良　平安　中世","井田-4",42,139.6378521,35.5606025,1
14133001600,14133,"中原区No.16","井田平台経塚","その他の墓","中原区井田2-35ほか","中世","井田-16",42,139.6398611,35.56065653,1
14133001800,14133,"中原区No.18","小杉御殿町遺跡・小杉陣屋町遺跡","城館跡","中原区小杉御殿町1丁目ほか","中世　近世","—",34,139.6546049,35.58295396,1
14133002000,14133,"中原区No.20","小杉町遺跡","散布地","中原区小杉町2丁目付近","中世　近世","—",40,139.6567905,35.58065092,1
14134002900,14134,"高津区No.29","津田山古墳","古墳","高津区下作延1514ほか","中世","津田山-36",51,139.595062,35.605125,1
14134003700,14134,"高津区No.37","下作延巳ノ谷遺跡・下作延神明神社東南遺跡","集落跡","高津区下作延4-17","縄文　弥生　古墳　奈良　平安 中世","津田山-13",51,139.6034538,35.59948169,1
14134003900,14134,"高津区No.39","","散布地","高津区上作延722ほか","縄文　古墳　奈良　平安　中世","津田山-23",57,139.5875362,35.59823646,1
14134004000,14134,"高津区No.40","板碑","その他の墓","高津区上作延755","中世","津田山-40",57,139.589306,35.59819065,1
14134009500,14134,"高津区No.95","千年蟻山遺跡・伊勢山台北遺跡・千年伊勢山台遺跡・伊勢山台東遺跡・影向寺南遺跡","官衙跡 集落跡","高津区千年520ほか","縄文　弥生　古墳　奈良　平安 中世","千年-5",49,139.6224222,35.57739323,1
14134009700,14134,"高津区No.97","","その他の墓","高津区子母口54","中世","千年-19",49,139.6233041,35.57507031,1
14134009900,14134,"高津区No.99","子母口植之台遺跡","集落跡","高津区子母口113ほか","縄文　古墳　奈良　平安　中世","千年-23",49,139.6255529,35.57389748,1
14134010000,14134,"高津区No.100","子母口植之台遺跡・蓮乗院北遺跡","集落跡","高津区子母口135ほか","縄文　弥生　古墳　中世　近世","千年-1",49,139.6261709,35.57233368,1
14134011600,14134,"高津区No.116","久末表耕地遺跡","散布地","高津区久末2035ほか","中世　近世","久末-13",49,139.6233629,35.56906605,1
14134012000,14134,"高津区No.120","板碑","その他の墓","高津区北見方2-1","中世","高津-4",46,139.6308535,35.59983925,1
14134012300,14134,"高津区No.123","新作キシ遺跡","その他の墓","高津区新作2-11","中世　近世","末長-18",48,139.616302,35.583717,1
14134012600,14134,"高津区No.126","岩川不動尊跡出土板碑","その他の墓","高津区千年463付近","中世","千年-32",49,139.6235788,35.57855117,1
14134014700,14134,"高津区No.147","影向寺台西遺跡・三荷座前遺跡","集落跡","宮前区野川本町1-38","縄文　弥生　奈良　平安　中世","千年-10",48,139.606949,35.578056,1
14134014800,14134,"高津区No.148","影向寺遺跡・影向寺裏貝塚・影向寺台遺跡・影向寺北遺跡","社寺跡 集落跡 貝塚","宮前区野川本町3-4","縄文　弥生　古墳　奈良　平安 中世","千年-11",49,139.6182874,35.57945191,1
14136000400,14136,"宮前区No.4","影向寺台西遺跡・三荷座前遺跡","集落跡","川崎市宮前区野川本町1-38","縄文　弥生　奈良　平安　中世","千年-10",48,139.6165853,35.57912795,1
14136000500,14136,"宮前区No.5","影向寺遺跡・影向寺裏貝塚・影向寺台遺跡・影向寺北遺跡","社寺跡 集落跡 貝塚","川崎市宮前区野川本町3-4","縄文　弥生　古墳　奈良　平安　中世","千年-11",49,139.6188058,35.57859672,1
14136002000,14136,"宮前区No.20","","その他の墓","川崎市宮前区西野川2-16","中世","馬絹-4",53,139.6087551,35.57380428,1
14136005900,14136,"宮前区No.59","堂尻谷戸遺跡","その他の墓","川崎市宮前区有馬8-17ほか","中世","有馬-19",59,139.5723879,35.5730772,1
14136018500,14136,"宮前区No.185","板碑","その他の墓","川崎市宮前区東有馬3-5","中世","有馬-27",59,139.5872199,35.57246442,1
14136018600,14136,"宮前区No.186","","その他の墓","川崎市宮前区菅生1-18","中世","生田緑地-15",63,139.554016,35.601593,1
14136019300,14136,"宮前区No.193","","散布地","高津区上作延722ほか","縄文　古墳　奈良　平安　中世","津田山-23",57,139.5864501,35.59720074,1
14135000500,14135,"多摩区No.5","長尾妙楽寺北遺跡","城館跡","川崎市多摩区長尾3-9","中世","五所塚-14",56,139.578104,35.60832814,1
14135000600,14135,"多摩区No.6","妙楽寺出土板碑","その他の墓","川崎市多摩区長尾3-9","中世","五所塚-13・16",56,139.5767737,35.60831419,1
14135005100,14135,"多摩No.51","","その他の墓","川崎市多摩区菅北浦4-16-2","中世","菅-4",67,139.5311495,35.6285106,1
14135005200,14135,"多摩区No.52","小沢城跡","城館跡","川崎市多摩区菅6516ほか","中世","菅-8",73,139.5235662,35.63209792,1
14135005800,14135,"多摩区No.58","南生田遺跡","その他の墓","川崎市多摩区南生田5-4","中世","長沢-18",69,139.540314,35.601879,1
14135006000,14135,"多摩区No.60","枡形山遺跡","散布地 城館跡","川崎市多摩区枡形6-4740ほか","旧石器　縄文　中世","登戸-8",62,139.5612219,35.6111371,1
14135006500,14135,"多摩No.65","寺尾城跡","城館跡","川崎市多摩区菅馬場2-30","中世","—",67,139.53833,35.624084,1
14137001700,14137,"麻生区No.17","高石経塚","その他の墓","川崎市麻生区高石1-26ほか","中世","細山-6",74,139.5160799,35.61217881,1
