ID,都道府県,遺跡群名,遺跡名,地点地区名,文化層石器文化,遺跡群名読み方,遺跡名読み方,地点区名読み方,所在地,緯度,Latitude,経度,Longitude,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群配石,炭化物集中,その他の遺構,特記事項,文献,調査歴,作成年月日,作成者,更新年月日,更新者
10040 ,北海道,,勢雄遺跡,,Dブロック,,Seo,,河西郡更別村勢雄175-1,424153 ,42.684167 ,1431533 ,143.250833 ,世界,145 ,,○,,,,,,,,,○,,,○,,,,,○,○,,,,更別村教育委員会1977,発掘調査,20051013,山原敏朗,,
10055 ,北海道,,居辺16遺跡,,,,Oribe16,,河東郡上士幌町居辺東14線342,431324 ,43.217778 ,1432202 ,143.367222 ,世界,280 ,,,△,,,,,,,,○,○,,△,△,△,舟底形石器,,△,,,,,上士幌町教育委員会1985,発掘調査,20051013,山原敏朗,,
10097 ,北海道,,共栄3遺跡,,V層,,Kyoei 3,,上川郡清水町羽帯北1線104-5,425828 ,42.968889 ,1425450 ,142.900000 ,世界,158 ,,○,,,,,,,,,○,,,○,○,,,,○,,,,,（財）北海道埋蔵文化財センター1992a,発掘調査,20051013,山原敏朗,,
10175 ,北海道,,モサンル遺跡,,,,Mosanru,,上川郡下川町一の橋954?1・2、955?1・2、1050?1～8,441911 ,44.316944 ,1424344 ,142.717778 ,世界,,,,○,,,,○,,,,○,○,,,,,,,○,,,,,山崎博信1979/上野秀一編1981/芹沢長介編1983,発掘調査,20060331,高倉純,,
10249 ,北海道,,神丘２遺跡,,Ｂ群,,Kamioka2,,瀬棚郡今金町字神丘,422517 ,42.418611 ,1395851 ,139.966944 ,世界,38 ,○,,○,,,,,,,,○,,,,,,石刃/石核,,○,,,,,今金町教育委員会1990,発掘資料,20050925,宮本雅通,,
10393 ,北海道,,祝梅下層遺跡,,,,Shukubaikaso,,千歳市祝梅,424920 ,42.816667 ,1414041 ,141.666944 ,世界,27 ,,○,,,,,,,,,○,,,,,,石核,,○,,○,,En-a下位ローム質粘土層出土,吉崎昌一1974,発掘資料,20060527,寺崎康史,,
10605 ,北海道,,第一区４遺跡,,,,daiichiku4,,紋別郡滝上町第一区,441051 ,44.166944 ,1430410 ,143.066667 ,世界,150 ,,○,,,,,,,,,,,,,,,,,,,,,,出穂雅実2001/出穂雅実・赤井文人2008,,20051010,山原敏朗,,
10610 ,北海道,,南札久留３遺跡,,,,minamisakkuru3,,紋別郡滝上町札久留,441210 ,44.200000 ,1430027 ,143.001944 ,世界,200 ,,○,,,,,,,,,,,,,,,,,,,,,,出穂雅実2001/出穂雅実・赤井文人2008,,20051010,山原敏朗,,
10667 ,北海道,白滝遺跡群,服部台2遺跡,,Sb－45,Shirataki,hattoridai2,heisei10kara12nenndotyousaku,紋別郡遠軽町奥白滝13，18～20,435222 ,43.867222 ,1430744 ,143.117778 ,世界,440 ,,○,,,,,,,,,,,,,,,錐形石器/剥片/石核,,○,,,遺構なし,,直江康雄・鈴木宏行2007,発掘調査,20090812,直江康雄,,
10733 ,北海道,白滝遺跡群,奥白滝1遺跡,,Sb－1～3,Shirataki,okusirataki1,,紋別郡遠軽町奥白滝15-1,435215 ,43.868056 ,1430755 ,143.118056 ,世界,430 ,,○,,,,,,,,,○,,,,,,石核/剥片,,○,,○,,白滝Ⅰ群,直江康雄ほか2002,発掘調査,20051129,直江康雄,20090814,直江康雄
10734 ,北海道,白滝遺跡群,奥白滝1遺跡,,Sb－4～6,Shirataki,okusirataki1,,紋別郡遠軽町奥白滝15-1,435215 ,43.868056 ,1430755 ,143.118056 ,世界,430 ,,○,,,,,,,,,,,,,,,錐形石器/石核/剥片,,○,,○,,白滝Ⅰ群,直江康雄ほか2002,発掘調査,20051129,直江康雄,20090814,直江康雄
10745 ,北海道,白滝遺跡群,奥白滝1遺跡,,Sb－45～47,Shirataki,okusirataki1,heisei12nenndotyousaku,紋別郡遠軽町奥白滝15-1,435215 ,43.868056 ,1430755 ,143.118056 ,世界,430 ,,○,,,,,,,,,○,○,,,,,錐形石器/二次加工ある剥片/石核/剥片,,○,,,遺構なし,白滝Ⅰ群,直江康雄・鈴木宏行2007,発掘調査,20090812,直江康雄,,
10761 ,北海道,,白滝8遺跡,,Sb－4,,sirataki8,,紋別郡遠軽町白滝146，152-1,435251 ,43.866944 ,1431144 ,143.184444 ,世界,490 ,,,○,,,,,,,,,,,,,,舟底形石器/剥片,,○,,,遺構なし,,鈴木宏行･直江康雄2007,発掘調査,20090813,直江康雄,,
10795 ,北海道,,上白滝7遺跡,,Sb－4～10,,kamisirataki7,,紋別郡遠軽町上白滝4,435205 ,43.868056 ,1430917 ,143.151944 ,世界,435 ,○,○,,,,,,,,,○,○,,,,,二次加工ある剥片/石核/石刃核/石刃/彫器削片/剥片,,○,,,遺構なし,ナイフ形石器は広郷型,坂本尚史ほか2000,発掘調査,20051129,直江康雄,20090814,直江康雄
10796 ,北海道,白滝遺跡群,上白滝8遺跡,,Sb－1～3,Shirataki,kamisirataki8,,紋別郡遠軽町上白滝179-3，181-3,435215 ,43.868056 ,1430815 ,143.134722 ,世界,440 ,,○,,,,,,,,,○,,,,,,二次加工ある剥片/錐形石器/石核/剥片,,○,,,遺構なし,白滝Ⅰ群,鈴木宏行ほか2004,発掘調査,20051129,直江康雄,20090814,直江康雄
10797 ,北海道,白滝遺跡群,上白滝8遺跡,,Sb－4～6,Shirataki,kamisirataki8,,紋別郡遠軽町上白滝179-3，181-3,435215 ,43.868056 ,1430815 ,143.134722 ,世界,440 ,,○,,,,,,,,,○,,,,,,二次加工ある剥片/錐形石器/石核/剥片/棒状原石,,○,,,遺構なし,白滝Ⅰ群,鈴木宏行ほか2004,発掘調査,20051129,直江康雄,20090814,直江康雄
10799 ,北海道,白滝遺跡群,上白滝8遺跡,,Sb－9,Shirataki,kamisirataki8,,紋別郡遠軽町上白滝179-3，181-3,435215 ,43.868056 ,1430815 ,143.134722 ,世界,440 ,,○,,,,,,,,,,,,,,,石核/剥片,,○,,,遺構なし,白滝Ⅰ群,鈴木宏行ほか2004,発掘調査,20051129,直江康雄,20090814,直江康雄
10800 ,北海道,白滝遺跡群,上白滝8遺跡,,Sb－10,Shirataki,kamisirataki8,,紋別郡遠軽町上白滝179-3，181-3,435215 ,43.868056 ,1430815 ,143.134722 ,世界,440 ,,○,,,,,,,,,○,,,,,,二次加工ある剥片/錐形石器/石核/剥片,,○,,,遺構なし,白滝Ⅰ群,鈴木宏行ほか2004,発掘調査,20051129,直江康雄,20090814,直江康雄
10801 ,北海道,白滝遺跡群,上白滝8遺跡,,Sb－11～13,Shirataki,kamisirataki8,,紋別郡遠軽町上白滝179-3，181-3,435215 ,43.868056 ,1430815 ,143.134722 ,世界,440 ,,○,,,,,,,,,,,,,,,二次加工ある剥片/石核/剥片,,○,,,遺構なし,白滝Ⅰ群,鈴木宏行ほか2004,発掘調査,20051129,直江康雄,20090814,直江康雄
