watersystem_code,unit_basin_code,watersystem_name,source_files,source_paths,source_layers,source_input_feature_n,source_file_count,basin_id,basin_unit_id,source_vector_area_m2
120000,10,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2,1,1,B_120000_10,20917.474172245995
120000,11,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,2,B_120000_11,10459.057279931227
120000,12,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,5,1,3,B_120000_12,52296.7900180119
120000,13,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2,1,4,B_120000_13,20919.08315388084
120000,14,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,5,B_120000_14,10459.916081440555
120000,15,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,6,B_120000_15,10460.023852434824
120000,16,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2,1,7,B_120000_16,20920.480022927903
120000,2,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,8,B_120000_2,10450.72600079842
120000,3,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,9,B_120000_3,10452.815400045924
120000,4,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2,1,10,B_120000_4,20904.871828055773
120000,5,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,11,B_120000_5,10457.454524890709
120000,6,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2,1,12,B_120000_6,20915.177866690345
120000,7,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,13,B_120000_7,10459.166495842523
120000,8,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,14,B_120000_8,10458.520622535592
130000,1,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,339,1,15,B_130000_1,3542213.9385119746
130000,10,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,116,1,16,B_130000_10,1213232.2457220815
130000,11,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,104,1,17,B_130000_11,1087716.5224381876
130000,12,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,71,1,18,B_130000_12,742619.4902665422
130000,13,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,59,1,19,B_130000_13,617112.6868708481
130000,14,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,80,1,20,B_130000_14,836795.3186416907
130000,15,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,42,1,21,B_130000_15,439321.97347201017
130000,16,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,70,1,22,B_130000_16,732212.306133682
130000,17,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,48,1,23,B_130000_17,502108.86345851177
130000,18,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,31,1,24,B_130000_18,324308.4301458908
130000,19,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,92,1,25,B_130000_19,962533.6102306948
130000,2,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,823,1,26,B_130000_2,8600688.424475309
130000,3,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1033,1,27,B_130000_3,10790287.584526423
130000,4,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1344,1,28,B_130000_4,14050342.446109882
130000,5,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,768,1,29,B_130000_5,8029318.709023682
130000,6,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,683,1,30,B_130000_6,7142507.807555402
130000,7,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,207,1,31,B_130000_7,2164810.1015462177
130000,8,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,126,1,32,B_130000_8,1317712.540431479
130000,9,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,65,1,33,B_130000_9,679821.3834671503
140000,1,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2,1,34,B_140000_1,4429.671669604845
140001,5,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,11,1,35,B_140001_5,70314.5153799567
140013,16,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,16,1,36,B_140013_16,138747.75821700023
140013,17,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1719,1,37,B_140013_17,16434662.616685864
140013,19,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,280,1,38,B_140013_19,2638445.2681895355
830303,311,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,39,B_830303_311,476.78723787332774
830303,343,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,3,1,40,B_830303_343,4859.080876885684
830303,345,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,577,1,41,B_830303_345,5756332.717097209
830303,346,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,54,1,42,B_830303_346,505159.87146205676
830303,347,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,591,1,43,B_830303_347,5773179.802484943
830303,388,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,526,1,44,B_830303_388,5162791.691318624
830303,389,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,267,1,45,B_830303_389,2792502.2513674884
830303,390,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,655,1,46,B_830303_390,6847964.740395367
830303,391,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,379,1,47,B_830303_391,3533702.916270363
830303,393,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1111,1,48,B_830303_393,11608833.563289568
830303,423,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,27,1,49,B_830303_423,243214.80541373327
830303,424,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,29,1,50,B_830303_424,283544.5654312892
830303,425,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,291,1,51,B_830303_425,3043743.035069105
830303,426,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,304,1,52,B_830303_426,3178705.1999385934
830303,427,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,553,1,53,B_830303_427,5780712.014739217
830303,430,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,92,1,54,B_830303_430,822060.4173844997
830303,432,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1721,1,55,B_830303_432,17983202.624791764
