landscape_unit_id,watersystem_code,watersystem_name,unit_basin_code,gsi_landform_class,available_area_m2,available_area_km2,available_share_known,available_share_basin,landform_coverage_ratio,resolution_m,source,selection_inference_ready
B_120000_10_LF_CLASS::旧水部,120000,,10,旧水部,20700.0,0.0207,1.0,1.0,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_11_LF_CLASS::旧水部,120000,,11,旧水部,10800.0,0.0108,1.0,1.0,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_12_LF_CLASS::水部,120000,,12,水部,500.0,0.0005,0.009578544061302681,0.009578544061302681,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_12_LF_CLASS::旧水部,120000,,12,旧水部,51700.0,0.0517,0.9904214559386973,0.9904214559386973,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_13_LF_CLASS::水部,120000,,13,水部,2400.0,0.0024,0.11483253588516747,0.11483253588516747,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_13_LF_CLASS::旧水部,120000,,13,旧水部,18500.0,0.0185,0.8851674641148325,0.8851674641148325,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_14_LF_CLASS::水部,120000,,14,水部,2200.0,0.0022,0.2222222222222222,0.2222222222222222,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_14_LF_CLASS::旧水部,120000,,14,旧水部,7700.0,0.0077,0.7777777777777778,0.7777777777777778,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_15_LF_CLASS::水部,120000,,15,水部,5400.0,0.0054,0.5,0.5,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_15_LF_CLASS::旧水部,120000,,15,旧水部,5400.0,0.0054,0.5,0.5,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_16_LF_CLASS::水部,120000,,16,水部,4400.0,0.0044,0.21052631578947367,0.21052631578947367,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_16_LF_CLASS::旧水部,120000,,16,旧水部,16500.0,0.0165,0.7894736842105263,0.7894736842105263,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_2_LF_CLASS::山地斜面等,120000,,2,山地斜面等,4900.0,0.0049,0.44545454545454544,0.44545454545454544,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_2_LF_CLASS::台地・段丘,120000,,2,台地・段丘,5900.0,0.0059,0.5363636363636364,0.5363636363636364,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_2_LF_CLASS::凹地・浅い谷,120000,,2,凹地・浅い谷,200.0,0.0002,0.01818181818181818,0.01818181818181818,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_3_LF_CLASS::台地・段丘,120000,,3,台地・段丘,11000.0,0.011,1.0,1.0,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_4_LF_CLASS::山地斜面等,120000,,4,山地斜面等,3400.0,0.0034,0.1642512077294686,0.1642512077294686,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_4_LF_CLASS::台地・段丘,120000,,4,台地・段丘,17300.0,0.0173,0.8357487922705314,0.8357487922705314,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_5_LF_CLASS::砂州・砂丘,120000,,5,砂州・砂丘,3500.0,0.0035,0.35353535353535354,0.35353535353535354,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_120000_5_LF_CLASS::氾濫平野・海岸平野,120000,,5,氾濫平野・海岸平野,6400.0,0.0064,0.6464646464646465,0.6464646464646465,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
