landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m
1017,1,17,120000,,10,B_120000_10,旧水部,LF_CLASS::旧水部,B_120000_10_LF_CLASS::旧水部,207,20700.0,0.0207,207,20700.0,207,20700.0,1.0,1.0,1.0,10.0
2017,2,17,120000,,11,B_120000_11,旧水部,LF_CLASS::旧水部,B_120000_11_LF_CLASS::旧水部,108,10800.0,0.0108,108,10800.0,108,10800.0,1.0,1.0,1.0,10.0
3016,3,16,120000,,12,B_120000_12,水部,LF_CLASS::水部,B_120000_12_LF_CLASS::水部,5,500.0,0.0005,522,52200.0,522,52200.0,1.0,0.009578544061302681,0.009578544061302681,10.0
3017,3,17,120000,,12,B_120000_12,旧水部,LF_CLASS::旧水部,B_120000_12_LF_CLASS::旧水部,517,51700.0,0.0517,522,52200.0,522,52200.0,1.0,0.9904214559386973,0.9904214559386973,10.0
4016,4,16,120000,,13,B_120000_13,水部,LF_CLASS::水部,B_120000_13_LF_CLASS::水部,24,2400.0,0.0024,209,20900.0,209,20900.0,1.0,0.11483253588516747,0.11483253588516747,10.0
4017,4,17,120000,,13,B_120000_13,旧水部,LF_CLASS::旧水部,B_120000_13_LF_CLASS::旧水部,185,18500.0,0.0185,209,20900.0,209,20900.0,1.0,0.8851674641148325,0.8851674641148325,10.0
5016,5,16,120000,,14,B_120000_14,水部,LF_CLASS::水部,B_120000_14_LF_CLASS::水部,22,2200.0,0.0022,99,9900.0,99,9900.0,1.0,0.2222222222222222,0.2222222222222222,10.0
5017,5,17,120000,,14,B_120000_14,旧水部,LF_CLASS::旧水部,B_120000_14_LF_CLASS::旧水部,77,7700.0,0.0077,99,9900.0,99,9900.0,1.0,0.7777777777777778,0.7777777777777778,10.0
6016,6,16,120000,,15,B_120000_15,水部,LF_CLASS::水部,B_120000_15_LF_CLASS::水部,54,5400.0,0.0054,108,10800.0,108,10800.0,1.0,0.5,0.5,10.0
6017,6,17,120000,,15,B_120000_15,旧水部,LF_CLASS::旧水部,B_120000_15_LF_CLASS::旧水部,54,5400.0,0.0054,108,10800.0,108,10800.0,1.0,0.5,0.5,10.0
7016,7,16,120000,,16,B_120000_16,水部,LF_CLASS::水部,B_120000_16_LF_CLASS::水部,44,4400.0,0.0044,209,20900.0,209,20900.0,1.0,0.21052631578947367,0.21052631578947367,10.0
7017,7,17,120000,,16,B_120000_16,旧水部,LF_CLASS::旧水部,B_120000_16_LF_CLASS::旧水部,165,16500.0,0.0165,209,20900.0,209,20900.0,1.0,0.7894736842105263,0.7894736842105263,10.0
8001,8,1,120000,,2,B_120000_2,山地斜面等,LF_CLASS::山地斜面等,B_120000_2_LF_CLASS::山地斜面等,49,4900.0,0.0049,110,11000.0,110,11000.0,1.0,0.44545454545454544,0.44545454545454544,10.0
8004,8,4,120000,,2,B_120000_2,台地・段丘,LF_CLASS::台地・段丘,B_120000_2_LF_CLASS::台地・段丘,59,5900.0,0.0059,110,11000.0,110,11000.0,1.0,0.5363636363636364,0.5363636363636364,10.0
8010,8,10,120000,,2,B_120000_2,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_120000_2_LF_CLASS::凹地・浅い谷,2,200.0,0.0002,110,11000.0,110,11000.0,1.0,0.01818181818181818,0.01818181818181818,10.0
9004,9,4,120000,,3,B_120000_3,台地・段丘,LF_CLASS::台地・段丘,B_120000_3_LF_CLASS::台地・段丘,110,11000.0,0.011,110,11000.0,110,11000.0,1.0,1.0,1.0,10.0
10001,10,1,120000,,4,B_120000_4,山地斜面等,LF_CLASS::山地斜面等,B_120000_4_LF_CLASS::山地斜面等,34,3400.0,0.0034,207,20700.0,207,20700.0,1.0,0.1642512077294686,0.1642512077294686,10.0
