gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,activity_domain,phase_code,phase_order,n_observed_domain,coverage_threshold
氾濫平野・海岸平野,33,101.25215921952405,0.32591897550009724,-1.6028264086708583,-6.782881792499944,5e-4,0.00175,eligible,underrepresented,general_activity,Pa,1,659,0.95
台地・段丘,371,289.4845724403635,1.2815881581269049,0.3573860617506547,4.791010238503481,5e-4,0.00175,eligible,overrepresented,general_activity,Pa,1,659,0.95
旧水部,0,14.398896542661225,0,-4.897133579173361,-3.794587796146141,5e-4,0.00175,eligible,underrepresented,general_activity,Pa,1,659,0.95
凹地・浅い谷,19,39.50963845655823,0.48089531421278237,-1.03687346798563,-3.2629203831232374,5e-4,0.00175,eligible,underrepresented,general_activity,Pa,1,659,0.95
山地斜面等,211,180.65626250704128,1.1679639392062373,0.22342298324166593,2.25757694875664,0.001,0.0028,eligible,overrepresented,general_activity,Pa,1,659,0.95
砂州・砂丘,0,3.1470828501066053,0,-2.8667429734827135,-1.7740019306941595,0.0795,0.18550000000000003,low_expected_descriptive_only,no_clear_signal,general_activity,Pa,1,659,0.95
旧河道,1,3.981016275286159,0.25119214061191425,-1.5788634657228413,-1.4940577016628485,0.1915,0.383,low_expected_descriptive_only,no_clear_signal,general_activity,Pa,1,659,0.95
自然堤防,0,1.3095989209541201,0,-1.8556699741758906,-1.1443770886181357,0.3895,0.5453,low_expected_descriptive_only,no_clear_signal,general_activity,Pa,1,659,0.95
崖・段丘崖,9,6.185315919053854,1.4550590653382016,0.5069317759995758,1.1317453366803278,0.301,0.5267499999999999,eligible,no_clear_signal,general_activity,Pa,1,659,0.95
後背低地・湿地,1,2.5412590416356173,0.3935057322437996,-1.019706203568229,-0.9668323401083648,0.3865,0.5453,low_expected_descriptive_only,no_clear_signal,general_activity,Pa,1,659,0.95
水部,7,9.49488639403187,0.7372389420477888,-0.41429957319246963,-0.8096659733287495,0.5105,0.6497272727272727,eligible,no_clear_signal,general_activity,Pa,1,659,0.95
扇状地,0,0.2675659682391226,0,-0.6183626529394985,-0.5172677916119682,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Pa,1,659,0.95
河川敷・浜,0,0.030787579265483752,0,-0.08620651632234423,-0.17546389732786558,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Pa,1,659,0.95
山麓堆積地形,7,6.74095788527907,1.0384280867985582,0.05071003574041732,0.09977220489183328,1,1,eligible,no_clear_signal,general_activity,Pa,1,659,0.95
氾濫平野・海岸平野,290,620.1336306606956,0.46764114323396966,-1.0952037115688047,-13.257057071558034,5e-4,0.001,eligible,underrepresented,general_activity,Jo,2,3390,0.95
旧水部,0,87.12401249867168,0,-7.453254375279702,-9.33402445350727,5e-4,0.001,eligible,underrepresented,general_activity,Jo,2,3390,0.95
山地斜面等,1621,1310.0711641653752,1.23733736329714,0.3071333294932965,8.590403370624639,5e-4,0.001,eligible,overrepresented,general_activity,Jo,2,3390,0.95
台地・段丘,1304,1057.6944399406252,1.2328702418755282,0.3018922016142023,7.573455971108174,5e-4,0.001,eligible,overrepresented,general_activity,Jo,2,3390,0.95
凹地・浅い谷,50,117.16010959818774,0.42676641539069887,-1.2202699922308136,-6.204710337132806,5e-4,0.001,eligible,underrepresented,general_activity,Jo,2,3390,0.95
旧河道,2,23.100421124316497,0.0865785082114678,-3.2388126031694218,-4.390168349931404,5e-4,0.001,eligible,underrepresented,general_activity,Jo,2,3390,0.95
水部,25,55.45073182041484,0.4508506773358031,-1.1336597543012452,-4.089254058359534,5e-4,0.001,eligible,underrepresented,general_activity,Jo,2,3390,0.95
自然堤防,3,8.4167948888183,0.3564302135941908,-1.349170309506378,-1.8671061913026994,0.0615,0.09722222222222222,eligible,no_clear_signal,general_activity,Jo,2,3390,0.95
砂州・砂丘,10,17.847820122676794,0.5602925136663811,-0.8052193408982407,-1.8576181683383173,0.0625,0.09722222222222222,eligible,no_clear_signal,general_activity,Jo,2,3390,0.95
山麓堆積地形,45,51.91183616427267,0.8668543308235047,-0.20402610704720284,-0.9593128016087271,0.3565,0.49909999999999993,eligible,no_clear_signal,general_activity,Jo,2,3390,0.95
扇状地,1,2.1692260714843403,0.4609939061426309,-0.8314589997370444,-0.7938639541048399,0.5265,0.6700909090909091,low_expected_descriptive_only,no_clear_signal,general_activity,Jo,2,3390,0.95
後背低地・湿地,9,10.962643567438022,0.8209698641240515,-0.2709403848592008,-0.5927666864412046,0.639,0.7455,eligible,no_clear_signal,general_activity,Jo,2,3390,0.95
崖・段丘崖,30,27.842093499145214,1.0775051811718481,0.10586291528462138,0.40896079799983165,0.717,0.7721538461538461,eligible,no_clear_signal,general_activity,Jo,2,3390,0.95
河川敷・浜,0,0.1150758778780791,0,-0.2988363023708992,-0.3392283565359463,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Jo,2,3390,0.95
台地・段丘,344,221.23890497680298,1.5548802324621367,0.6356420639067141,8.253345076014815,5e-4,0.00175,eligible,overrepresented,general_activity,Ya,3,593,0.95
氾濫平野・海岸平野,49,124.90016946558686,0.39231331878617454,-1.3410388674921367,-6.791430047207245,5e-4,0.00175,eligible,underrepresented,general_activity,Ya,3,593,0.95
旧水部,0,22.43226460571035,0,-5.519306925780975,-4.736271171049052,5e-4,0.00175,eligible,underrepresented,general_activity,Ya,3,593,0.95
水部,2,14.844530534972057,0.13472975755536515,-2.6177245073079183,-3.3337651462097306,5e-4,0.00175,eligible,underrepresented,general_activity,Ya,3,593,0.95
凹地・浅い谷,8,21.73188308284917,0.36812272408706315,-1.3870954061957808,-2.94565185918935,0.002,0.0056,eligible,underrepresented,general_activity,Ya,3,593,0.95
旧河道,0,4.669438151240031,0,-3.370007487413025,-2.160888278287434,0.0275,0.06416666666666668,low_expected_descriptive_only,no_clear_signal,general_activity,Ya,3,593,0.95
砂州・砂丘,5,8.330861297456794,0.6001780393974842,-0.6831225359942176,-1.154015378772837,0.283,0.49524999999999997,eligible,no_clear_signal,general_activity,Ya,3,593,0.95
自然堤防,6,4.104886790368795,1.4616724666019212,0.49727402957283606,0.9353724338360215,0.432,0.672,low_expected_descriptive_only,no_clear_signal,general_activity,Ya,3,593,0.95
山地斜面等,162,151.77452926587887,1.0673727718582353,0.09376507359034131,0.8300110281875814,0.2485,0.49524999999999997,eligible,no_clear_signal,general_activity,Ya,3,593,0.95
山麓堆積地形,5,6.256549134751509,0.7991625882433967,-0.29685496849959225,-0.502356522768932,0.7065,0.9333333333333335,eligible,no_clear_signal,general_activity,Ya,3,593,0.95
扇状地,0,0.1982852399498061,0,-0.48188838309575194,-0.44529230843324263,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Ya,3,593,0.95
崖・段丘崖,7,8.031286628544484,0.8715913556267404,-0.18587273944537538,-0.3639039954873627,0.7485,0.9333333333333335,eligible,no_clear_signal,general_activity,Ya,3,593,0.95
後背低地・湿地,5,4.480828066944918,1.1158651761010459,0.1430460071142585,0.24526301688217797,0.8,0.9333333333333335,low_expected_descriptive_only,no_clear_signal,general_activity,Ya,3,593,0.95
河川敷・浜,0,0.0055827589433303,0,-0.01601917161210019,-0.07471786227757256,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Ya,3,593,0.95
台地・段丘,480,323.73740570110454,1.4826831609417643,0.5674858937940243,8.684775354213336,5e-4,0.00175,eligible,overrepresented,general_activity,Ko,4,885,0.95
氾濫平野・海岸平野,86,183.03996857624588,0.4698427380038389,-1.0853222278650865,-7.172617656377344,5e-4,0.00175,eligible,underrepresented,general_activity,Ko,4,885,0.95
水部,2,18.253563151749663,0.10956764897752544,-2.9071647317674665,-3.8042999947039817,0.001,0.0028,eligible,underrepresented,general_activity,Ko,4,885,0.95
旧水部,1,15.942335849945652,0.062726065327711,-3.454380861540477,-3.7423337525230647,5e-4,0.00175,eligible,underrepresented,general_activity,Ko,4,885,0.95
凹地・浅い谷,10,29.167686796186153,0.3428451515499528,-1.4985031156854332,-3.549103874456999,5e-4,0.00175,eligible,underrepresented,general_activity,Ko,4,885,0.95
旧河道,3,10.821243202074468,0.2772324717205219,-1.6936055641256371,-2.3775913478215793,0.014,0.03266666666666667,eligible,underrepresented,general_activity,Ko,4,885,0.95
崖・段丘崖,6,10.5681343720489,0.5677444843878104,-0.7679004408692817,-1.4052050663073214,0.1535,0.307,eligible,no_clear_signal,general_activity,Ko,4,885,0.95
後背低地・湿地,6,4.092354527737797,1.4661486338322516,0.5012056964093226,0.9429985846921014,0.4425,0.6883333333333334,low_expected_descriptive_only,no_clear_signal,general_activity,Ko,4,885,0.95
砂州・砂丘,12,9.301598632326435,1.2901008175407225,0.35083911903275883,0.8847646256576406,0.3625,0.634375,eligible,no_clear_signal,general_activity,Ko,4,885,0.95
山麓堆積地形,8,10.265641067315109,0.7792986280682743,-0.3408994846237428,-0.7071280590255937,0.523,0.7322,eligible,no_clear_signal,general_activity,Ko,4,885,0.95
扇状地,1,0.6411799299719934,1.5596246127723927,0.3944362212655515,0.4481121988346066,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Ko,4,885,0.95
河川敷・浜,0,0.01953965630165605,0,-0.05530577891238167,-0.1397843206574187,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Ko,4,885,0.95
自然堤防,8,7.668538562763821,1.0432235470322413,0.057384853069115886,0.11969519214134001,1,1,eligible,no_clear_signal,general_activity,Ko,4,885,0.95
山地斜面等,262,261.48080997422784,1.0019855760192242,0.00285628418001854,0.032107495458126696,0.9665,1,eligible,no_clear_signal,general_activity,Ko,4,885,0.95
氾濫平野・海岸平野,175,311.5960407322134,0.5616245944228654,-0.830519024733591,-7.738239125034508,5e-4,0.0011666666666666668,eligible,underrepresented,general_activity,Na,5,1483,0.95
旧水部,0,25.69009807702063,0,-5.71094955720918,-5.068540034074964,5e-4,0.0011666666666666668,eligible,underrepresented,general_activity,Na,5,1483,0.95
