basin_unit_id,basin_grid_area_m2,landform_known_area_m2,landform_coverage_ratio
B_120000_10,20700,20700,1
B_120000_11,10800,10800,1
B_120000_12,52200,52200,1
B_120000_13,20900,20900,1
B_120000_14,9900,9900,1
B_120000_15,10800,10800,1
B_120000_16,20900,20900,1
B_120000_2,11000,11000,1
B_120000_3,11000,11000,1
B_120000_4,20700,20700,1
B_120000_5,9900,9900,1
B_120000_6,21900,21900,1
B_120000_7,9900,9900,1
B_120000_8,11000,11000,1
B_130000_1,3540000,3540000,1
B_130000_10,1214700,1214300,0.9996707005845064
B_130000_11,1088100,1088100,1
B_130000_12,745200,745200,1
B_130000_13,614500,614500,1
B_130000_14,836200,836200,1
B_130000_15,437100,437100,1
B_130000_16,733000,733000,1
B_130000_17,502200,502200,1
B_130000_18,322700,322700,1
B_130000_19,959600,959600,1
B_130000_2,8595500,8595500,1
B_130000_3,10793500,10793400,0.9999907351646824
B_130000_4,14052200,14052000,0.9999857673531548
B_130000_5,8027400,8027400,1
B_130000_6,7142200,7142200,1
B_130000_7,2165800,2163700,0.9990303813833226
B_130000_8,1317200,1317200,1
B_130000_9,681800,681800,1
B_140000_1,4500,4500,1
B_140001_5,69500,69400,0.9985611510791368
B_140013_16,140800,140800,1
B_140013_17,16442000,16440800,0.9999270161780806
B_140013_19,2636300,1477600,0.5604824944050374
B_830303_311,300,300,1
B_830303_343,5400,5400,1
B_830303_345,5758800,4943900,0.8584948253108287
B_830303_346,505000,332800,0.659009900990099
B_830303_347,5770400,5022200,0.8703382781089699
B_830303_388,5160200,4944000,0.9581023991318166
B_830303_389,2797600,2713400,0.9699027738061196
B_830303_390,6839500,6527800,0.9544264931647052
B_830303_391,3533800,3308200,0.9361593751768634
B_830303_393,11607200,11407500,0.9827951616238196
B_830303_423,244400,244400,1
B_830303_424,283400,283400,1
B_830303_425,3045800,3040100,0.9981285704905116
B_830303_426,3176900,3174000,0.999087160439422
B_830303_427,5773100,5764500,0.9985103324037344
B_830303_430,821400,820700,0.9991477964450938
B_830303_432,17987200,17969100,0.9989937288738658
B_830303_468,763900,763900,1
B_830303_469,998800,994500,0.9956948338005608
B_830303_470,2447900,2447900,1
B_830303_471,996700,994000,0.9972910604996488
B_830303_472,137500,122800,0.893090909090909
B_830303_473,344500,322800,0.9370101596516692
B_830303_474,2299400,2203100,0.9581195094372444
B_830303_475,1302800,1302100,0.999462695732269
B_830303_476,130600,130600,1
B_830303_478,3226300,3215000,0.9964975358770108
B_830303_513,903000,903000,1
B_830303_514,3722300,3696000,0.992934475996024
B_830303_515,2133300,2001100,0.938030281723152
B_830303_516,2600,2600,1
B_830303_517,4765300,4765300,1
