phase_code,phase_order,observed_joined,observed_eligible,retained_share,coverage_threshold
Pa,1,691,682,0.9869753979739508,0.9
Jo,2,3653,3491,0.9556528880372297,0.9
Ya,3,643,626,0.973561430793157,0.9
Ko,4,1626,1543,0.9489544895448955,0.9
Na,5,1678,1616,0.9630512514898689,0.9
He,6,2126,2031,0.9553151458137347,0.9
Me,7,995,942,0.9467336683417086,0.9
Pa,1,691,659,0.9536903039073806,0.95
Jo,2,3653,3390,0.9280043799616753,0.95
Ya,3,643,608,0.9455676516329704,0.95
Ko,4,1626,1323,0.8136531365313653,0.95
Na,5,1678,1541,0.9183551847437426,0.95
He,6,2126,1959,0.9214487300094073,0.95
Me,7,995,883,0.8874371859296483,0.95
Pa,1,691,578,0.8364688856729378,0.99
Jo,2,3653,2841,0.7777169449767315,0.99
Ya,3,643,532,0.8273716951788491,0.99
Ko,4,1626,1005,0.6180811808118081,0.99
Na,5,1678,1229,0.732419547079857,0.99
He,6,2126,1520,0.7149576669802445,0.99
Me,7,995,693,0.6964824120603015,0.99
