landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m,basin_observed_total,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,expected_status,phase_code,phase_order,coverage_threshold
186010,186,10,830305,NA,26,B_830305_26,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830305_26_LF_CLASS::凹地・浅い谷,567,56700,0.0567,62411,6241100,61916,6191600,0.992068705837112,0.00915756831836682,0.00908493695021711,10,2,1,0.01831513663673364,54.59964726631393,1.5330610694686162,7.253823984833838,expected_lt_1,Pa,1,0.95
176004,176,4,830305,NA,17,B_830305_17,台地・段丘,LF_CLASS::台地・段丘,B_830305_17_LF_CLASS::台地・段丘,4418,441800,0.4418,129141,12914100,128500,12850000,0.9950364330460504,0.03438132295719844,0.03421066895873503,10,14,5,0.48133852140077815,10.387699670180432,2.486608820810617,6.513051272046225,expected_lt_1,Pa,1,0.95
83004,83,4,830304,NA,15,B_830304_15,台地・段丘,LF_CLASS::台地・段丘,B_830304_15_LF_CLASS::台地・段丘,4421,442100,0.4421,192116,19211600,190233,19023300,0.9901986299943784,0.02323992156986432,0.02301213849965645,10,1,1,0.02323992156986432,43.02940511196563,1.519417977452825,6.407233805124915,expected_lt_1,Pa,1,0.95
191004,191,4,830305,NA,30,B_830305_30,台地・段丘,LF_CLASS::台地・段丘,B_830305_30_LF_CLASS::台地・段丘,3888,388800,0.3888,99214,9921400,98452,9845200,0.9923196323099562,0.03949132572217934,0.03918801782006571,10,30,8,1.18473977166538,6.752537722908094,2.3349370742474864,6.261392940467011,expected_1_to_5,Pa,1,0.95
138001,138,1,830304,NA,57,B_830304_57,山地斜面等,LF_CLASS::山地斜面等,B_830304_57_LF_CLASS::山地斜面等,17093,1709300,1.7093,199368,19936800,199364,19936400,0.9999799365996548,0.08573764571336852,0.08573592552465792,10,15,8,1.2860646857005278,6.22052692135182,2.250678509923658,5.920327698406152,expected_1_to_5,Pa,1,0.95
277004,277,4,unknown,NA,0,B_unknown_0,台地・段丘,LF_CLASS::台地・段丘,B_unknown_0_LF_CLASS::台地・段丘,534811,53481100,53.4811,1844542,184454200,1835378,183537800,0.9950318290394038,0.2913901114647773,0.2899424355747931,10,39,31,11.364214347126314,2.727861254028442,1.4087352607425472,5.824767224705895,expected_ge_5,Pa,1,0.95
182004,182,4,830305,NA,22,B_830305_22,台地・段丘,LF_CLASS::台地・段丘,B_830305_22_LF_CLASS::台地・段丘,3321,332100,0.3321,144663,14466300,143763,14376300,0.9937786441591836,0.02310051960518353,0.02295680305261193,10,27,5,0.6237140293399553,8.01649436247449,2.2911566835635973,5.541316255341542,expected_lt_1,Pa,1,0.95
197004,197,4,830305,NA,36,B_830305_36,台地・段丘,LF_CLASS::台地・段丘,B_830305_36_LF_CLASS::台地・段丘,3143,314300,0.3143,59643,5964300,59320,5932000,0.994584444109116,0.0529838165879973,0.05269687976795265,10,5,3,0.2649190829399865,11.324212535793828,2.193975876741759,5.313902209329926,expected_lt_1,Pa,1,0.95
159001,159,1,830304,NA,88,B_830304_88,山地斜面等,LF_CLASS::山地斜面等,B_830304_88_LF_CLASS::山地斜面等,12767,1276700,1.2767,123284,12328400,123283,12328300,0.9999918886473508,0.10355847927127015,0.103557639271925,10,8,5,0.8284678341701612,6.035237330618,2.049668321968073,4.5830835130139365,expected_lt_1,Pa,1,0.95
127004,127,4,830304,NA,42,B_830304_42,台地・段丘,LF_CLASS::台地・段丘,B_830304_42_LF_CLASS::台地・段丘,6548,654800,0.6548,46439,4643900,46439,4643900,1,0.14100217489610026,0.14100217489610026,10,4,4,0.564008699584401,7.09208918753818,2.0804150547423417,4.5751902091319785,expected_lt_1,Pa,1,0.95
