landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m,basin_observed_total,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,expected_status,phase_code,phase_order,coverage_threshold
37001,37,1,140013,NA,17,B_140013_17,山地斜面等,LF_CLASS::山地斜面等,B_140013_17_LF_CLASS::山地斜面等,53840,5384000,5.384,164420,16442000,164408,16440800,0.9999270161780806,0.32747798160673447,0.3274540810120423,10,182,118,59.600992652425674,1.979832797217641,0.9794263347399061,7.564473724199677,expected_ge_5,He,6,0.95
202004,202,4,830305,NA,40,B_830305_40,台地・段丘,LF_CLASS::台地・段丘,B_830305_40_LF_CLASS::台地・段丘,21933,2193300,2.1933,111140,11114000,107269,10726900,0.9651700557854958,0.20446727386290545,0.19734569012056863,10,42,27,8.587625502242028,3.144058854563573,1.5974563303975788,6.283089572452274,expected_ge_5,He,6,0.95
145001,145,1,830304,NA,68,B_830304_68,山地斜面等,LF_CLASS::山地斜面等,B_830304_68_LF_CLASS::山地斜面等,12010,1201000,1.201,195086,19508600,195083,19508300,0.9999846221666342,0.06156353962159696,0.06156259290774325,10,32,10,1.9700332678911028,5.076056411323897,2.0877869497549213,5.721066105292795,expected_1_to_5,He,6,0.95
176004,176,4,830305,NA,17,B_830305_17,台地・段丘,LF_CLASS::台地・段丘,B_830305_17_LF_CLASS::台地・段丘,4418,441800,0.4418,129141,12914100,128500,12850000,0.9950364330460504,0.03438132295719844,0.03421066895873503,10,53,9,1.8222101167315172,4.939057201670696,2.032428998323591,5.317304291816276,expected_1_to_5,He,6,0.95
182004,182,4,830305,NA,22,B_830305_22,台地・段丘,LF_CLASS::台地・段丘,B_830305_22_LF_CLASS::台地・段丘,3321,332100,0.3321,144663,14466300,143763,14376300,0.9937786441591836,0.02310051960518353,0.02295680305261193,10,121,11,2.7951628722272073,3.935369959760204,1.8032121800050933,4.9075688919860765,expected_1_to_5,He,6,0.95
271011,271,11,830306,NA,20,B_830306_20,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830306_20_LF_CLASS::氾濫平野・海岸平野,60286,6028600,6.0286,264495,26449500,263669,26366900,0.9968770676194256,0.2286427300896199,0.22792869430424015,10,218,18,49.84411515953714,0.3611258810069556,-1.4442978773744344,-4.510474588960938,expected_ge_5,He,6,0.95
37004,37,4,140013,NA,17,B_140013_17,台地・段丘,LF_CLASS::台地・段丘,B_140013_17_LF_CLASS::台地・段丘,59384,5938400,5.9384,164420,16442000,164408,16440800,0.9999270161780806,0.36119896842002824,0.3611726067388395,10,182,32,65.73821225244514,0.4867792856476677,-1.0272240173571214,-4.161147605309202,expected_ge_5,He,6,0.95
103004,103,4,830304,NA,25,B_830304_25,台地・段丘,LF_CLASS::台地・段丘,B_830304_25_LF_CLASS::台地・段丘,3883,388300,0.3883,77011,7701100,76837,7683700,0.9977405825141864,0.05053554927964392,0.05042136837594629,10,20,5,1.0107109855928784,4.9470126191089365,1.8642039340006518,3.9680945151467295,expected_1_to_5,He,6,0.95
277017,277,17,unknown,NA,0,B_unknown_0,旧水部,LF_CLASS::旧水部,B_unknown_0_LF_CLASS::旧水部,626628,62662800,62.6628,1844542,184454200,1835378,183537800,0.9950318290394038,0.34141631860031013,0.3397201039607664,10,42,0,14.339485381213025,0,-4.891369156465669,-3.7867512964562415,expected_ge_5,He,6,0.95
137004,137,4,830304,NA,56,B_830304_56,台地・段丘,LF_CLASS::台地・段丘,B_830304_56_LF_CLASS::台地・段丘,11326,1132600,1.1326,40138,4013800,40099,4009900,0.999028352184962,0.2824509339385022,0.2821764911056854,10,10,8,2.824509339385022,2.832350344340456,1.3543214106727703,3.0794986757764105,expected_1_to_5,He,6,0.95
