gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,phase_code,phase_order,coverage_threshold
凹地・浅い谷,23,40.84870223780086,0.5630533833389718,-0.8151812931753177,-2.79265645123012,Pa,1,0.9
凹地・浅い谷,19,39.509638456558235,0.4808953142127823,-1.0368734679856302,-3.2629203831232383,Pa,1,0.95
凹地・浅い谷,18,38.77167978176673,0.4642563876859654,-1.0859640374994206,-3.3359098848910933,Pa,1,0.99
台地・段丘,387,300.9137959973953,1.286082609530305,0.3624508584095983,4.962636989104012,Pa,1,0.9
台地・段丘,371,289.4845724403635,1.2815881581269049,0.3573860617506547,4.791010238503481,Pa,1,0.95
台地・段丘,339,274.1562857851599,1.2365209830193507,0.30578426470969783,3.9162353132466157,Pa,1,0.99
山地斜面等,214,182.26681875049616,1.17410289742832,0.2309734743161239,2.3504975643800736,Pa,1,0.9
山地斜面等,211,180.65626250704122,1.1679639392062375,0.22342298324166648,2.2575769487566446,Pa,1,0.95
山地斜面等,167,136.02827190379998,1.2276859630923151,0.2949613641175135,2.655527770560237,Pa,1,0.99
山麓堆積地形,7,6.811397527416315,1.0276892475919293,0.03674340103569756,0.0722652098856682,Pa,1,0.9
山麓堆積地形,7,6.74095788527907,1.0384280867985582,0.05071003574041732,0.09977220489183328,Pa,1,0.95
山麓堆積地形,6,5.4592796484942,1.0990460988117623,0.12530176838556178,0.23142221450149147,Pa,1,0.99
崖・段丘崖,9,6.577613640615297,1.368277386258598,0.42466450471547146,0.9445158108484363,Pa,1,0.9
崖・段丘崖,9,6.185315919053853,1.4550590653382018,0.5069317759995761,1.1317453366803283,Pa,1,0.95
崖・段丘崖,8,5.597134493139466,1.4293027994602918,0.47933147133512793,1.0156558909501783,Pa,1,0.99
後背低地・湿地,1,2.5412590416356173,0.3935057322437996,-1.019706203568229,-0.9668323401083648,Pa,1,0.9
後背低地・湿地,1,2.5412590416356173,0.3935057322437996,-1.019706203568229,-0.9668323401083648,Pa,1,0.95
後背低地・湿地,1,2.5412590416356173,0.3935057322437996,-1.019706203568229,-0.9668323401083648,Pa,1,0.99
扇状地,0,0.3100845819867714,0,-0.6961444546434734,-0.5568523879689943,Pa,1,0.9
扇状地,0,0.26756596823912254,0,-0.6183626529394983,-0.5172677916119681,Pa,1,0.95
扇状地,0,0.20734074329098343,0,-0.5004772689902774,-0.45534683845502144,Pa,1,0.99
旧水部,0,14.398896542661225,0,-4.897133579173361,-3.794587796146141,Pa,1,0.9
旧水部,0,14.398896542661225,0,-4.897133579173361,-3.794587796146141,Pa,1,0.95
旧水部,0,14.392207202811228,0,-4.896485689274883,-3.7937062620623685,Pa,1,0.99
旧河道,1,5.987370595987447,0.16701822343687384,-2.1126713555024823,-2.038231787462928,Pa,1,0.9
旧河道,1,3.981016275286159,0.25119214061191425,-1.5788634657228413,-1.4940577016628485,Pa,1,0.95
旧河道,1,2.4620954734524685,0.4061580920733963,-0.9816556412076318,-0.9318012478666601,Pa,1,0.99
水部,7,10.164731491404162,0.6886556724021262,-0.5078851423229034,-0.9926334661994047,Pa,1,0.9
水部,7,9.49488639403187,0.7372389420477888,-0.41429957319246963,-0.8096659733287495,Pa,1,0.95
水部,7,8.87682947327397,0.7885698402876096,-0.3222096004366669,-0.6299351992762724,Pa,1,0.99
氾濫平野・海岸平野,33,106.09775197401926,0.31103392283072023,-1.6699440129287517,-7.09660985453146,Pa,1,0.9
氾濫平野・海岸平野,33,101.25215921952405,0.32591897550009724,-1.6028264086708583,-6.782881792499944,Pa,1,0.95
氾濫平野・海岸平野,31,85.19999151885631,0.36384980147725876,-1.443943232951539,-5.871910708164024,Pa,1,0.99
河川敷・浜,0,0.030787579265483752,0,-0.08620651632234423,-0.17546389732786558,Pa,1,0.9
河川敷・浜,0,0.030787579265483752,0,-0.08620651632234423,-0.17546389732786558,Pa,1,0.95
砂州・砂丘,0,3.15327973175612,0,-2.869192225138843,-1.7757476543011737,Pa,1,0.9
砂州・砂丘,0,3.147082850106605,0,-2.866742973482713,-1.7740019306941595,Pa,1,0.95
砂州・砂丘,0,3.147082850106605,0,-2.866742973482713,-1.7740019306941595,Pa,1,0.99
自然堤防,0,1.8973236544982703,0,-2.2614246954778943,-1.37743372054639,Pa,1,0.9
自然堤防,0,1.3095989209541197,0,-1.85566997417589,-1.1443770886181353,Pa,1,0.95
自然堤防,0,1.1605420842126326,0,-1.7316542864753652,-1.0772845883111077,Pa,1,0.99
落堀,0,1.8665306173238e-4,0,-5.384663929072557e-4,-0.013662103122593534,Pa,1,0.9
凹地・浅い谷,55,122.02379557649381,0.4507317588356921,-1.142502288377879,-6.06745764817991,Jo,2,0.9
凹地・浅い谷,50,117.16010959818774,0.42676641539069887,-1.2202699922308136,-6.204710337132806,Jo,2,0.95
凹地・浅い谷,48,114.76699640339032,0.4182387054139376,-1.248922842875458,-6.232371479883025,Jo,2,0.99
台地・段丘,1377,1110.3087547891967,1.240195570881036,0.3104418659462076,8.003627670774252,Jo,2,0.9
台地・段丘,1304,1057.694439940625,1.2328702418755286,0.3018922016142026,7.5734559711081815,Jo,2,0.95
台地・段丘,1172,974.2186268121299,1.2030153886864767,0.2665302031638315,6.336612845415172,Jo,2,0.99
山地斜面等,1636,1317.2045432437894,1.2420242614492771,0.31258667800098733,8.783862190107882,Jo,2,0.9
山地斜面等,1621,1310.0711641653752,1.23733736329714,0.3071333294932965,8.590403370624639,Jo,2,0.95
山地斜面等,1281,984.9274613536786,1.3006033949336746,0.37901189706999155,9.434002875964994,Jo,2,0.99
山麓堆積地形,45,52.23610611039682,0.8614730949679923,-0.21292450517417325,-1.0011969756029384,Jo,2,0.9
山麓堆積地形,45,51.91183616427267,0.8668543308235047,-0.20402610704720284,-0.9593128016087271,Jo,2,0.95
山麓堆積地形,29,42.343165130166405,0.6848803085657766,-0.5383501117228744,-2.050535071286011,Jo,2,0.99
崖・段丘崖,32,30.350813651895233,1.0543374674240993,0.07513117897467482,0.29935365283626003,Jo,2,0.9
崖・段丘崖,30,27.84209349914521,1.0775051811718483,0.10586291528462138,0.4089607979998323,Jo,2,0.95
崖・段丘崖,28,24.623250753228124,1.1371366145198836,0.18193876945335252,0.6804968477405767,Jo,2,0.99
後背低地・湿地,9,10.962643567438022,0.8209698641240515,-0.2709403848592008,-0.5927666864412046,Jo,2,0.9
後背低地・湿地,9,10.962643567438022,0.8209698641240515,-0.2709403848592008,-0.5927666864412046,Jo,2,0.95
後背低地・湿地,9,10.962643567438022,0.8209698641240515,-0.2709403848592008,-0.5927666864412046,Jo,2,0.99
扇状地,1,2.273808553021301,0.4397907636820434,-0.8869057162344736,-0.8447480788396884,Jo,2,0.9
扇状地,1,2.1692260714843403,0.4609939061426309,-0.8314589997370444,-0.7938639541048399,Jo,2,0.95
扇状地,0,1.562553867496255,0,-2.0444317985608165,-1.2500215468127958,Jo,2,0.99
旧水部,0,87.12401249867168,0,-7.453254375279702,-9.33402445350727,Jo,2,0.9
旧水部,0,87.12401249867168,0,-7.453254375279702,-9.33402445350727,Jo,2,0.95
