gsi_landform_class,available_area_m2,available_share
台地・段丘,384584700,0.37844585411128995
氾濫平野・海岸平野,202058400,0.19883308870155433
山地斜面等,197178600,0.19403118140026995
旧水部,91659200,0.09019611084673297
凹地・浅い谷,46164800,0.045427904869530376
水部,34092300,0.033548109407676205
自然堤防,19793800,0.019477845965032024
砂州・砂丘,13339100,0.01312617764715005
旧河道,7549800,0.007429288032959753
崖・段丘崖,7497200,0.007377527648508022
山麓堆積地形,6122600,0.006024869388672466
後背低地・湿地,5313100,0.005228290848488498
扇状地,709800,6.984699787802105e-4
河川敷・浜,157800,1.552811533551947e-4
