phase_code,map_status,unit_count,area_m2
Pa,evaluated,479,843688000
Pa,no_observed_sites_in_basin,350,172533200
Jo,evaluated,602,908623500
Jo,no_observed_sites_in_basin,227,107597700
Ya,evaluated,502,861674100
Ya,no_observed_sites_in_basin,327,154547100
Ko,evaluated,552,878430400
Ko,no_observed_sites_in_basin,277,137790800
Na,evaluated,549,872839700
Na,no_observed_sites_in_basin,280,143381500
He,evaluated,574,897230200
He,no_observed_sites_in_basin,255,118991000
Me,evaluated,531,877484100
Me,no_observed_sites_in_basin,298,138737100
