output_type,output_name,output_path,exists,size_bytes,note
csv,availability_global_summary.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/availability_global_summary.csv,TRUE,158,ok
csv,coverage_threshold_summary.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/coverage_threshold_summary.csv,TRUE,257,ok
csv,basin_availability_coverage.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/basin_availability_coverage.csv,TRUE,9126,ok
csv,primary_landform_availability.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/primary_landform_availability.csv,TRUE,681,ok
csv,observed_availability_join_audit.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/observed_availability_join_audit.csv,TRUE,315,ok
csv,observed_unmatched_units.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/observed_unmatched_units.csv,TRUE,440,ok
csv,coverage_population_by_phase.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/coverage_population_by_phase.csv,TRUE,883,ok
csv,phase_landform_selection_area.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/phase_landform_selection_area.csv,TRUE,18800,ok
csv,phase_landform_selection_area_global_test.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/phase_landform_selection_area_global_test.csv,TRUE,526,ok
csv,phase_landform_selection_basin_conditioned.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/phase_landform_selection_basin_conditioned.csv,TRUE,16484,ok
csv,phase_landform_selection_basin_conditioned_global_test.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/phase_landform_selection_basin_conditioned_global_test.csv,TRUE,617,ok
csv,phase_landform_selection_coverage_sensitivity.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/phase_landform_selection_coverage_sensitivity.csv,TRUE,29847,ok
csv,selection_coverage_sensitivity_stability.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/selection_coverage_sensitivity_stability.csv,TRUE,13061,ok
csv,selection_coverage_threshold_pair_correlation.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/selection_coverage_threshold_pair_correlation.csv,TRUE,1209,ok
csv,sensitivity_primary_consistency_audit.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/sensitivity_primary_consistency_audit.csv,TRUE,12514,ok
csv,landscape_unit_selection_basin_conditioned.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/landscape_unit_selection_basin_conditioned.csv,TRUE,1214202,ok
csv,landscape_unit_selection_top30_by_phase.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/landscape_unit_selection_top30_by_phase.csv,TRUE,72180,ok
csv,adjacent_phase_landform_selection_change.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/adjacent_phase_landform_selection_change.csv,TRUE,552,ok
csv,activity_domain_primary_population.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/activity_domain_primary_population.csv,TRUE,426,ok
csv,activity_domain_landform_selection_basin_conditioned.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/activity_domain_landform_selection_basin_conditioned.csv,TRUE,26925,ok
csv,activity_domain_landform_selection_global_test.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/activity_domain_landform_selection_global_test.csv,TRUE,910,ok
csv,selection_gpkg_layer_audit.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/selection_gpkg_layer_audit.csv,TRUE,160,ok
csv,gpkg_geometry_column_audit.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/gpkg_geometry_column_audit.csv,TRUE,111,ok
csv,primary_landform_geometry_audit.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/primary_landform_geometry_audit.csv,TRUE,649,ok
csv,selection_map_status_summary.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/selection_map_status_summary.csv,TRUE,538,ok
csv,selection_map_static_coverage_status_summary.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/selection_map_static_coverage_status_summary.csv,TRUE,101,ok
csv,analysis_metadata.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/analysis_metadata.csv,TRUE,950,ok
csv,analysis_scope_policy.csv,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/csv/analysis_scope_policy.csv,TRUE,3675,ok
figure,figure_available_vs_observed_landform_composition.png,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/figure/figure_available_vs_observed_landform_composition.png,TRUE,162246,ok
figure,figure_phase_landform_basin_conditioned_selection.png,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/figure/figure_phase_landform_basin_conditioned_selection.png,TRUE,174269,ok
figure,figure_selection_coverage_sensitivity.png,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/figure/figure_selection_coverage_sensitivity.png,TRUE,310805,ok
figure,figure_adjacent_phase_selection_change.png,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/figure/figure_adjacent_phase_selection_change.png,TRUE,84337,ok
figure,figure_landscape_unit_selection_map.png,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/figure/figure_landscape_unit_selection_map.png,TRUE,4670628,ok
figure,figure_activity_domain_landform_selection.png,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/figure/figure_activity_domain_landform_selection.png,TRUE,298319,ok
gpkg,Arch-Geo-Selections_Availability.gpkg,/Users/noguchiatsushi/Documents/GitHub/JASOSR/Longterm_dynamics/Arch_Geo_Selections_Availability_results/gpkg/Arch-Geo-Selections_Availability.gpkg,TRUE,137854976,ok
