scheme,phase_pair,phase_pair_order,from_phase,to_phase,js_divergence,hellinger_distance,bray_curtis
landform,Pa->Jo,1,Pa,Jo,0.028996215616758924,0.14410455857747384,0.19023956636132724
landform,Jo->Ya,2,Jo,Ya,0.03778897207678407,0.16381026012245062,0.20320573236347236
landform,Ya->Ko,3,Ya,Ko,0.008567055126684061,0.08281379527298632,0.03698358134436711
landform,Ko->Na,4,Ko,Na,0.06359463581823044,0.21140372791492237,0.2849794826911321
landform,Na->He,5,Na,He,0.004103573414558491,0.054916947316045996,0.04312070208564824
landform,He->Me,6,He,Me,0.018594817833759516,0.11442878765389373,0.1413516311567244
watersystem,Pa->Jo,1,Pa,Jo,0.030586849892685352,0.14735626385746275,0.14148686984943376
watersystem,Jo->Ya,2,Jo,Ya,0.04310521329342146,0.1744245848729189,0.2223727898111288
watersystem,Ya->Ko,3,Ya,Ko,0.06764131284172076,0.2175718427308734,0.2854375110349066
watersystem,Ko->Na,4,Ko,Na,0.04578571029191823,0.17989495367106265,0.1886983019148467
watersystem,Na->He,5,Na,He,0.005964270859549265,0.06454989586069743,0.06827152133855993
watersystem,He->Me,6,He,Me,0.030990114647352202,0.1481617710499067,0.12660105521487838
unit_basin,Pa->Jo,1,Pa,Jo,0.12276455197589328,0.3138476977868441,0.3015161528651348
unit_basin,Jo->Ya,2,Jo,Ya,0.16756335247009857,0.3651269699126547,0.3707655879650946
unit_basin,Ya->Ko,3,Ya,Ko,0.16466208019090878,0.36862862572672633,0.35383363279040825
unit_basin,Ko->Na,4,Ko,Na,0.18078336818677013,0.36901701233310324,0.42280869267686244
unit_basin,Na->He,5,Na,He,0.04704425257886183,0.1953286898680559,0.15170382041023336
unit_basin,He->Me,6,He,Me,0.09512235641360148,0.2754091759683179,0.2612461679440935
watersystem_x_unit_basin_x_landform,Pa->Jo,1,Pa,Jo,0.16546123747420266,0.3702585221953497,0.3685453584388678
watersystem_x_unit_basin_x_landform,Jo->Ya,2,Jo,Ya,0.21818356847388404,0.42634147860899196,0.42122148870398335
watersystem_x_unit_basin_x_landform,Ya->Ko,3,Ya,Ko,0.2372684024001257,0.4574423764283399,0.42042796011163697
watersystem_x_unit_basin_x_landform,Ko->Na,4,Ko,Na,0.22209732311716177,0.4205321235639005,0.45211894907983596
watersystem_x_unit_basin_x_landform,Na->He,5,Na,He,0.0693243668875049,0.24467995205180812,0.1727059382838278
watersystem_x_unit_basin_x_landform,He->Me,6,He,Me,0.15128132897311827,0.36073728042856307,0.3277757555415839
