gsi_landform_code,gsi_landform_class,landform_code_unit_id,landform_unit_id,landform_unit_label
10601,凹地・浅い谷,LF_CODE_10601,LF_CLASS::凹地・浅い谷,凹地・浅い谷
2010301,凹地・浅い谷,LF_CODE_2010301,LF_CLASS::凹地・浅い谷,凹地・浅い谷
10302,台地・段丘,LF_CODE_10302,LF_CLASS::台地・段丘,台地・段丘
10303,台地・段丘,LF_CODE_10303,LF_CLASS::台地・段丘,台地・段丘
10304,台地・段丘,LF_CODE_10304,LF_CLASS::台地・段丘,台地・段丘
10305,台地・段丘,LF_CODE_10305,LF_CLASS::台地・段丘,台地・段丘
10314,台地・段丘,LF_CODE_10314,LF_CLASS::台地・段丘,台地・段丘
2010101,台地・段丘,LF_CODE_2010101,LF_CLASS::台地・段丘,台地・段丘
10101,山地斜面等,LF_CODE_10101,LF_CLASS::山地斜面等,山地斜面等
1010101,山地斜面等,LF_CODE_1010101,LF_CLASS::山地斜面等,山地斜面等
10406,山麓堆積地形,LF_CODE_10406,LF_CLASS::山麓堆積地形,山麓堆積地形
3010101,山麓堆積地形,LF_CODE_3010101,LF_CLASS::山麓堆積地形,山麓堆積地形
10202,崖・段丘崖,LF_CODE_10202,LF_CLASS::崖・段丘崖,崖・段丘崖
2010201,崖・段丘崖,LF_CODE_2010201,LF_CLASS::崖・段丘崖,崖・段丘崖
3030201,後背低地・湿地,LF_CODE_3030201,LF_CLASS::後背低地・湿地,後背低地・湿地
10501,扇状地,LF_CODE_10501,LF_CLASS::扇状地,扇状地
3020101,扇状地,LF_CODE_3020101,LF_CLASS::扇状地,扇状地
5010301,旧水部,LF_CODE_5010301,LF_CLASS::旧水部,旧水部
3040201,旧河道,LF_CODE_3040201,LF_CLASS::旧河道,旧河道
3040202,旧河道,LF_CODE_3040202,LF_CLASS::旧河道,旧河道
10903,水部,LF_CODE_10903,LF_CLASS::水部,水部
5010201,水部,LF_CODE_5010201,LF_CLASS::水部,水部
10701,氾濫平野・海岸平野,LF_CODE_10701,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野
3030101,氾濫平野・海岸平野,LF_CODE_3030101,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野
3050101,砂州・砂丘,LF_CODE_3050101,LF_CLASS::砂州・砂丘,砂州・砂丘
3040101,自然堤防,LF_CODE_3040101,LF_CLASS::自然堤防,自然堤防
