group_id,phase_code,group_label,presence_count,phase_share,phase_order,unit_total_presence_records,within_unit_temporal_share,trajectory_class,interpretation_status
B_120000_6_LF_CLASS::台地・段丘,Pa,名称不明 / basin 6 / 台地・段丘,0,0,1,3,0,intermittent_gap1,low_n_descriptive_only
B_120000_6_LF_CLASS::台地・段丘,Jo,名称不明 / basin 6 / 台地・段丘,1,2.7359781121751026e-4,2,3,0.3333333333333333,intermittent_gap1,low_n_descriptive_only
B_120000_6_LF_CLASS::台地・段丘,Ya,名称不明 / basin 6 / 台地・段丘,0,0,3,3,0,intermittent_gap1,low_n_descriptive_only
B_120000_6_LF_CLASS::台地・段丘,Ko,名称不明 / basin 6 / 台地・段丘,0,0,4,3,0,intermittent_gap1,low_n_descriptive_only
B_120000_6_LF_CLASS::台地・段丘,Na,名称不明 / basin 6 / 台地・段丘,1,5.959475566150178e-4,5,3,0.3333333333333333,intermittent_gap1,low_n_descriptive_only
B_120000_6_LF_CLASS::台地・段丘,He,名称不明 / basin 6 / 台地・段丘,1,4.7036688617121356e-4,6,3,0.3333333333333333,intermittent_gap1,low_n_descriptive_only
B_120000_6_LF_CLASS::台地・段丘,Me,名称不明 / basin 6 / 台地・段丘,0,0,7,3,0,intermittent_gap1,low_n_descriptive_only
B_130000_1_LF_CLASS::台地・段丘,Pa,名称不明 / basin 1 / 台地・段丘,2,0.002894356005788712,1,45,0.044444444444444446,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::台地・段丘,Jo,名称不明 / basin 1 / 台地・段丘,11,0.003009575923392613,2,45,0.24444444444444444,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::台地・段丘,Ya,名称不明 / basin 1 / 台地・段丘,12,0.01866251944012442,3,45,0.26666666666666666,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::台地・段丘,Ko,名称不明 / basin 1 / 台地・段丘,11,0.006765067650676507,4,45,0.24444444444444444,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::台地・段丘,Na,名称不明 / basin 1 / 台地・段丘,4,0.0023837902264600714,5,45,0.08888888888888889,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::台地・段丘,He,名称不明 / basin 1 / 台地・段丘,4,0.0018814675446848542,6,45,0.08888888888888889,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::台地・段丘,Me,名称不明 / basin 1 / 台地・段丘,1,0.0010050251256281408,7,45,0.022222222222222223,continuous_5_7phase,eligible
B_130000_1_LF_CLASS::崖・段丘崖,Pa,名称不明 / basin 1 / 崖・段丘崖,0,0,1,1,0,single_phase,low_n_descriptive_only
B_130000_1_LF_CLASS::崖・段丘崖,Jo,名称不明 / basin 1 / 崖・段丘崖,0,0,2,1,0,single_phase,low_n_descriptive_only
B_130000_1_LF_CLASS::崖・段丘崖,Ya,名称不明 / basin 1 / 崖・段丘崖,0,0,3,1,0,single_phase,low_n_descriptive_only
B_130000_1_LF_CLASS::崖・段丘崖,Ko,名称不明 / basin 1 / 崖・段丘崖,1,6.150061500615006e-4,4,1,1,single_phase,low_n_descriptive_only
B_130000_1_LF_CLASS::崖・段丘崖,Na,名称不明 / basin 1 / 崖・段丘崖,0,0,5,1,0,single_phase,low_n_descriptive_only
