scheme,phase_code,phase_order,n_active_groups,normalised_entropy,max_group_share
landform,He,6,12,0.5206784402618305,0.5056444026340545
landform,Jo,2,12,0.47347220406405527,0.45937072503419973
landform,Ko,4,13,0.48032645091139453,0.5861008610086101
landform,Me,7,12,0.5823136735483105,0.3829145728643216
landform,Na,5,11,0.5608505038681834,0.47139451728247916
landform,Pa,1,9,0.507814986720808,0.5672937771345875
landform,Ya,3,10,0.5109956532851945,0.5816485225505443
unit_basin,He,6,118,0.778063917050525,0.10027598896044158
unit_basin,Jo,2,139,0.8182086451158743,0.08164326573062923
unit_basin,Ko,4,103,0.8720126314861072,0.08430054978619425
unit_basin,Me,7,111,0.8373286425374308,0.07135874877810362
unit_basin,Na,5,102,0.7830183484184805,0.11495601173020528
unit_basin,Pa,1,78,0.877444970902876,0.08501440922190202
unit_basin,Ya,3,89,0.8755091088800873,0.08964451313755796
watersystem,He,6,8,0.6537429674321609,0.5275988960441582
watersystem,Jo,2,8,0.6880252181046178,0.45215808632345295
watersystem,Ko,4,7,0.7112031818786785,0.5418448381185095
watersystem,Me,7,7,0.7044857847940579,0.5474095796676441
watersystem,Na,5,8,0.707957019383133,0.4809384164222874
watersystem,Pa,1,6,0.7043043505691721,0.42795389048991356
watersystem,Ya,3,7,0.8114397685640942,0.3894899536321484
watersystem_x_unit_basin_x_landform,He,6,273,0.8017095497732203,0.07855126999059266
watersystem_x_unit_basin_x_landform,Jo,2,338,0.8151120155161906,0.06894664842681258
watersystem_x_unit_basin_x_landform,Ko,4,256,0.8605231162377766,0.05965559655596556
watersystem_x_unit_basin_x_landform,Me,7,229,0.8740136222646038,0.04321608040201005
watersystem_x_unit_basin_x_landform,Na,5,244,0.8165580149913825,0.08760429082240763
watersystem_x_unit_basin_x_landform,Pa,1,164,0.8907413367572091,0.05788712011577424
watersystem_x_unit_basin_x_landform,Ya,3,176,0.890356075570444,0.06531881804043546
