scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_18_LF_CLASS::台地・段丘,多摩川 / basin 18 / 台地・段丘,40,691,0.05788712011577424
watersystem_x_unit_basin_x_landform,Pa,1,B_unknown_0_LF_CLASS::台地・段丘,古川・目黒川・立会川・呑川 / basin 0 / 台地・段丘,31,691,0.04486251808972504
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_47_LF_CLASS::台地・段丘,荒川 / basin 47 / 台地・段丘,25,691,0.0361794500723589
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_67_LF_CLASS::台地・段丘,荒川 / basin 67 / 台地・段丘,22,691,0.03183791606367583
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_52_LF_CLASS::台地・段丘,荒川 / basin 52 / 台地・段丘,19,691,0.027496382054992764
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_28_LF_CLASS::山地斜面等,多摩川 / basin 28 / 山地斜面等,19,691,0.027496382054992764
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_30_LF_CLASS::山地斜面等,多摩川 / basin 30 / 山地斜面等,19,691,0.027496382054992764
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_23_LF_CLASS::山地斜面等,多摩川 / basin 23 / 山地斜面等,16,691,0.023154848046309694
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_61_LF_CLASS::台地・段丘,荒川 / basin 61 / 台地・段丘,15,691,0.02170767004341534
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_70_LF_CLASS::台地・段丘,荒川 / basin 70 / 台地・段丘,15,691,0.02170767004341534
watersystem_x_unit_basin_x_landform,Pa,1,B_830304_80_LF_CLASS::台地・段丘,荒川 / basin 80 / 台地・段丘,15,691,0.02170767004341534
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_22_LF_CLASS::山地斜面等,多摩川 / basin 22 / 山地斜面等,15,691,0.02170767004341534
watersystem_x_unit_basin_x_landform,Pa,1,B_830306_20_LF_CLASS::山地斜面等,鶴見川 / basin 20 / 山地斜面等,14,691,0.020260492040520984
watersystem_x_unit_basin_x_landform,Pa,1,B_140013_17_LF_CLASS::山地斜面等,境川 / basin 17 / 山地斜面等,13,691,0.01881331403762663
watersystem_x_unit_basin_x_landform,Pa,1,B_830305_14_LF_CLASS::台地・段丘,多摩川 / basin 14 / 台地・段丘,11,691,0.015918958031837915
