scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share,baseline_place_count,baseline_total,baseline_share,phase_share_minus_baseline,relative_concentration_ratio,interpretation_class,selection_inference_allowed
landform,Pa,1,LF_CLASS::台地・段丘,台地・段丘,392,691,0.5672937771345875,2206,5256,0.4197108066971081,0.14758297043747942,1.3516301417132328,higher_than_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::山地斜面等,山地斜面等,217,691,0.3140376266280753,2175,5256,0.4138127853881279,-0.0997751587600526,0.7588881680722591,lower_than_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,33,691,0.04775687409551375,488,5256,0.0928462709284627,-0.04508939683294896,0.5143650209959432,lower_than_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::凹地・浅い谷,凹地・浅い谷,24,691,0.03473227206946455,81,5256,0.015410958904109588,0.01932131316535496,2.253738543174144,higher_than_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::崖・段丘崖,崖・段丘崖,9,691,0.013024602026049204,98,5256,0.018645357686453576,-0.005620755660404372,0.6985439617236185,lower_than_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::山麓堆積地形,山麓堆積地形,7,691,0.010130246020260492,61,5256,0.011605783866057838,-0.001475537845797346,0.87286185381129755,similar_to_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::水部,水部,7,691,0.010130246020260492,28,5256,0.00532724505327245,0.004803000966988042,1.9015918958031839,higher_than_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::後背低地・湿地,後背低地・湿地,1,691,0.001447178002894356,14,5256,0.002663622526636225,-0.0012164445237418692,0.5433119702294811,lower_than_archaeological_sample,FALSE
landform,Pa,1,LF_CLASS::旧河道,旧河道,1,691,0.001447178002894356,11,5256,0.0020928462709284626,-6.456682680341067e-4,0.6914879621102487,lower_than_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::山地斜面等,山地斜面等,1679,3655,0.45937072503419973,2175,5256,0.4138127853881279,0.045557939646071854,1.1100931175998867,similar_to_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::台地・段丘,台地・段丘,1475,3655,0.40355677154582764,2206,5256,0.4197108066971081,-0.016154035151280444,0.9615115100838033,similar_to_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,311,3655,0.08508891928864569,488,5256,0.0928462709284627,-0.0077573516398170145,0.9164495077482003,similar_to_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::凹地・浅い谷,凹地・浅い谷,59,3655,0.016142270861833105,81,5256,0.015410958904109588,7.313119577235169e-4,1.047454020367837,similar_to_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::山麓堆積地形,山麓堆積地形,47,3655,0.012859097127222982,61,5256,0.011605783866057838,0.001253313261165144,1.1079904016505573,similar_to_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::崖・段丘崖,崖・段丘崖,34,3655,0.009302325581395349,98,5256,0.018645357686453576,-0.009343032105058227,0.4989084005695302,lower_than_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::水部,水部,25,3655,0.006839945280437756,28,5256,0.00532724505327245,0.0015127002271653062,1.283955442642173,higher_than_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::砂州・砂丘,砂州・砂丘,10,3655,0.0027359781121751026,47,5256,0.008942161339421613,-0.00620618322724651,0.30596385016153915,lower_than_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::後背低地・湿地,後背低地・湿地,9,3655,0.0024623803009575923,14,5256,0.002663622526636225,-2.012422256786328e-4,0.9244479187023648,similar_to_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::自然堤防,自然堤防,3,3655,8.207934336525308e-4,43,5256,0.008181126331811263,-0.007360332898158732,0.10032768109948144,lower_than_archaeological_sample,FALSE
landform,Jo,2,LF_CLASS::旧河道,旧河道,2,3655,5.471956224350205e-4,11,5256,0.0020928462709284626,-0.001545650648493442,0.2614600174107698,lower_than_archaeological_sample,FALSE
