phase_pair,phase_pair_order,group_id,group_label,transition,n_places,group_active_total,transition_composition_within_group,event_total_known_geo,active_total_known_geo,scheme,event_geo_share,active_geo_share,event_share_minus_active_geo_share,relative_event_concentration_ratio,interpretation_status,selection_inference_allowed
He->Me,6,B_120000_6_LF_CLASS::台地・段丘,名称不明 / basin 6 / 台地・段丘,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_130000_1_LF_CLASS::台地・段丘,名称不明 / basin 1 / 台地・段丘,continue,1,4,0.25,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,0.0015655577299412916,2.0122672235552814e-4,1.1285335689045937,low_n_descriptive_only,FALSE
He->Me,6,B_130000_1_LF_CLASS::台地・段丘,名称不明 / basin 1 / 台地・段丘,drop,3,4,0.75,1560,2555,watersystem_x_unit_basin_x_landform,0.0019230769230769232,0.0015655577299412916,3.5751919313563156e-4,1.2283653846153846,low_n_descriptive_only,FALSE
He->Me,6,B_130000_2_LF_CLASS::山地斜面等,名称不明 / basin 2 / 山地斜面等,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::台地・段丘,名称不明 / basin 4 / 台地・段丘,continue,3,8,0.375,566,2555,watersystem_x_unit_basin_x_landform,0.00530035335689046,0.0031311154598825833,0.0021692378970078765,1.6928003533568905,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::台地・段丘,名称不明 / basin 4 / 台地・段丘,drop,3,8,0.375,1560,2555,watersystem_x_unit_basin_x_landform,0.0019230769230769232,0.0031311154598825833,-0.00120803853680566,0.6141826923076923,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::台地・段丘,名称不明 / basin 4 / 台地・段丘,new,2,8,0.25,429,2555,watersystem_x_unit_basin_x_landform,0.004662004662004662,0.0031311154598825833,0.0015308892021220787,1.4889277389277389,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::山地斜面等,名称不明 / basin 4 / 山地斜面等,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::後背低地・湿地,名称不明 / basin 4 / 後背低地・湿地,continue,1,3,0.3333333333333333,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,0.0011741682974559687,5.926161548408511e-4,1.5047114252061249,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::後背低地・湿地,名称不明 / basin 4 / 後背低地・湿地,drop,1,3,0.3333333333333333,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,0.0011741682974559687,-5.331426564303276e-4,0.545940170940171,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::後背低地・湿地,名称不明 / basin 4 / 後背低地・湿地,new,1,3,0.3333333333333333,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,0.0011741682974559687,0.0011568340335463623,1.9852369852369853,low_n_descriptive_only,FALSE
He->Me,6,B_130000_4_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 4 / 氾濫平野・海岸平野,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_130000_5_LF_CLASS::台地・段丘,名称不明 / basin 5 / 台地・段丘,continue,7,28,0.25,566,2555,watersystem_x_unit_basin_x_landform,0.012367491166077738,0.010958904109589041,0.0014085870564886967,1.1285335689045937,eligible,FALSE
He->Me,6,B_130000_5_LF_CLASS::台地・段丘,名称不明 / basin 5 / 台地・段丘,drop,19,28,0.6785714285714286,1560,2555,watersystem_x_unit_basin_x_landform,0.01217948717948718,0.010958904109589041,0.0012205830698981384,1.111378205128205,eligible,FALSE
He->Me,6,B_130000_5_LF_CLASS::台地・段丘,名称不明 / basin 5 / 台地・段丘,new,2,28,0.07142857142857142,429,2555,watersystem_x_unit_basin_x_landform,0.004662004662004662,0.010958904109589041,-0.006296899447584379,0.4254079254079254,eligible,FALSE
He->Me,6,B_130000_5_LF_CLASS::山地斜面等,名称不明 / basin 5 / 山地斜面等,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_130000_5_LF_CLASS::崖・段丘崖,名称不明 / basin 5 / 崖・段丘崖,continue,1,1,1,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,3.913894324853229e-4,0.0013753950198114968,4.514134275618375,low_n_descriptive_only,FALSE
He->Me,6,B_130000_5_LF_CLASS::後背低地・湿地,名称不明 / basin 5 / 後背低地・湿地,continue,2,3,0.6666666666666666,566,2555,watersystem_x_unit_basin_x_landform,0.0035335689045936395,0.0011741682974559687,0.002359400607137671,3.0094228504122498,low_n_descriptive_only,FALSE
He->Me,6,B_130000_5_LF_CLASS::後背低地・湿地,名称不明 / basin 5 / 後背低地・湿地,drop,1,3,0.3333333333333333,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,0.0011741682974559687,-5.331426564303276e-4,0.545940170940171,low_n_descriptive_only,FALSE
He->Me,6,B_130000_5_LF_CLASS::水部,名称不明 / basin 5 / 水部,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_130000_5_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 5 / 氾濫平野・海岸平野,continue,1,1,1,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,3.913894324853229e-4,0.0013753950198114968,4.514134275618375,low_n_descriptive_only,FALSE
He->Me,6,B_130000_6_LF_CLASS::台地・段丘,名称不明 / basin 6 / 台地・段丘,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_130000_6_LF_CLASS::山地斜面等,名称不明 / basin 6 / 山地斜面等,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_130000_6_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 6 / 氾濫平野・海岸平野,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_140013_16_LF_CLASS::台地・段丘,境川 / basin 16 / 台地・段丘,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_140013_17_LF_CLASS::台地・段丘,境川 / basin 17 / 台地・段丘,continue,7,33,0.21212121212121213,566,2555,watersystem_x_unit_basin_x_landform,0.012367491166077738,0.012915851272015656,-5.483601059379176e-4,0.9575436342220794,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::台地・段丘,境川 / basin 17 / 台地・段丘,drop,25,33,0.7575757575757576,1560,2555,watersystem_x_unit_basin_x_landform,0.016025641025641024,0.012915851272015656,0.0031097897536253687,1.2407731157731157,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::台地・段丘,境川 / basin 17 / 台地・段丘,new,1,33,0.030303030303030304,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,0.012915851272015656,-0.010584848941013324,0.18047608956699865,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::山地斜面等,境川 / basin 17 / 山地斜面等,continue,24,121,0.19834710743801653,566,2555,watersystem_x_unit_basin_x_landform,0.04240282685512368,0.04735812133072407,-0.004955294475600391,0.8953654761557107,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::山地斜面等,境川 / basin 17 / 山地斜面等,drop,94,121,0.7768595041322314,1560,2555,watersystem_x_unit_basin_x_landform,0.06025641025641026,0.04735812133072407,0.012898288925686188,1.2723564314473406,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::山地斜面等,境川 / basin 17 / 山地斜面等,new,3,121,0.024793388429752067,429,2555,watersystem_x_unit_basin_x_landform,0.006993006993006993,0.04735812133072407,-0.04036511433771708,0.14766225510027164,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::山麓堆積地形,境川 / basin 17 / 山麓堆積地形,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_140013_17_LF_CLASS::氾濫平野・海岸平野,境川 / basin 17 / 氾濫平野・海岸平野,continue,4,32,0.125,566,2555,watersystem_x_unit_basin_x_landform,0.007067137809187279,0.012524461839530333,-0.005457324030343054,0.5642667844522968,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::氾濫平野・海岸平野,境川 / basin 17 / 氾濫平野・海岸平野,drop,27,32,0.84375,1560,2555,watersystem_x_unit_basin_x_landform,0.01730769230769231,0.012524461839530333,0.004783230468161976,1.3819110576923077,eligible,FALSE
He->Me,6,B_140013_17_LF_CLASS::氾濫平野・海岸平野,境川 / basin 17 / 氾濫平野・海岸平野,new,1,32,0.03125,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,0.012524461839530333,-0.010193459508528003,0.18611596736596736,eligible,FALSE
He->Me,6,B_140013_19_LF_CLASS::台地・段丘,境川 / basin 19 / 台地・段丘,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_140013_19_LF_CLASS::山地斜面等,境川 / basin 19 / 山地斜面等,continue,1,11,0.09090909090909091,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,0.004305283757338552,-0.0025384993050417324,0.410375843238034,low_n_descriptive_only,FALSE
He->Me,6,B_140013_19_LF_CLASS::山地斜面等,境川 / basin 19 / 山地斜面等,drop,9,11,0.8181818181818182,1560,2555,watersystem_x_unit_basin_x_landform,0.0057692307692307696,0.004305283757338552,0.0014639470118922174,1.340034965034965,low_n_descriptive_only,FALSE
He->Me,6,B_140013_19_LF_CLASS::山地斜面等,境川 / basin 19 / 山地斜面等,new,1,11,0.09090909090909091,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,0.004305283757338552,-0.001974281426336221,0.5414282687009959,low_n_descriptive_only,FALSE
He->Me,6,B_140013_19_LF_CLASS::氾濫平野・海岸平野,境川 / basin 19 / 氾濫平野・海岸平野,continue,1,3,0.3333333333333333,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,0.0011741682974559687,5.926161548408511e-4,1.5047114252061249,low_n_descriptive_only,FALSE
He->Me,6,B_140013_19_LF_CLASS::氾濫平野・海岸平野,境川 / basin 19 / 氾濫平野・海岸平野,drop,2,3,0.6666666666666666,1560,2555,watersystem_x_unit_basin_x_landform,0.001282051282051282,0.0011741682974559687,1.0788298459531338e-4,1.091880341880342,low_n_descriptive_only,FALSE
He->Me,6,B_830303_345_LF_CLASS::自然堤防,利根川 / basin 345 / 自然堤防,continue,1,1,1,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,3.913894324853229e-4,0.0013753950198114968,4.514134275618375,low_n_descriptive_only,FALSE
He->Me,6,B_830303_347_LF_CLASS::自然堤防,利根川 / basin 347 / 自然堤防,continue,5,5,1,566,2555,watersystem_x_unit_basin_x_landform,0.0088339222614841,0.0019569471624266144,0.006876975099057485,4.514134275618375,low_n_descriptive_only,FALSE
He->Me,6,B_830303_389_LF_CLASS::自然堤防,利根川 / basin 389 / 自然堤防,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_830303_393_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 393 / 氾濫平野・海岸平野,continue,1,1,1,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,3.913894324853229e-4,0.0013753950198114968,4.514134275618375,low_n_descriptive_only,FALSE
He->Me,6,B_830303_393_LF_CLASS::自然堤防,利根川 / basin 393 / 自然堤防,drop,1,2,0.5,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,7.827788649706458e-4,-1.417532239450048e-4,0.8189102564102564,low_n_descriptive_only,FALSE
He->Me,6,B_830303_393_LF_CLASS::自然堤防,利根川 / basin 393 / 自然堤防,new,1,2,0.5,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,7.827788649706458e-4,0.001548223466031685,2.9778554778554778,low_n_descriptive_only,FALSE
He->Me,6,B_830303_425_LF_CLASS::自然堤防,利根川 / basin 425 / 自然堤防,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830303_426_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 426 / 氾濫平野・海岸平野,new,2,2,1,429,2555,watersystem_x_unit_basin_x_landform,0.004662004662004662,7.827788649706458e-4,0.003879225797034016,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830303_426_LF_CLASS::自然堤防,利根川 / basin 426 / 自然堤防,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830303_427_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 427 / 氾濫平野・海岸平野,continue,2,3,0.6666666666666666,566,2555,watersystem_x_unit_basin_x_landform,0.0035335689045936395,0.0011741682974559687,0.002359400607137671,3.0094228504122498,low_n_descriptive_only,FALSE
He->Me,6,B_830303_427_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 427 / 氾濫平野・海岸平野,new,1,3,0.3333333333333333,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,0.0011741682974559687,0.0011568340335463623,1.9852369852369853,low_n_descriptive_only,FALSE
He->Me,6,B_830303_427_LF_CLASS::自然堤防,利根川 / basin 427 / 自然堤防,continue,2,2,1,566,2555,watersystem_x_unit_basin_x_landform,0.0035335689045936395,7.827788649706458e-4,0.0027507900396229936,4.514134275618375,low_n_descriptive_only,FALSE
He->Me,6,B_830303_432_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 432 / 氾濫平野・海岸平野,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830303_432_LF_CLASS::自然堤防,利根川 / basin 432 / 自然堤防,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830303_470_LF_CLASS::砂州・砂丘,利根川 / basin 470 / 砂州・砂丘,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830303_478_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 478 / 氾濫平野・海岸平野,drop,1,1,1,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,3.913894324853229e-4,2.496362085403181e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_830303_478_LF_CLASS::自然堤防,利根川 / basin 478 / 自然堤防,drop,2,2,1,1560,2555,watersystem_x_unit_basin_x_landform,0.001282051282051282,7.827788649706458e-4,4.992724170806362e-4,1.6378205128205128,low_n_descriptive_only,FALSE
He->Me,6,B_830303_517_LF_CLASS::旧河道,利根川 / basin 517 / 旧河道,continue,1,2,0.5,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,7.827788649706458e-4,9.840055873261738e-4,2.2570671378091873,low_n_descriptive_only,FALSE
He->Me,6,B_830303_517_LF_CLASS::旧河道,利根川 / basin 517 / 旧河道,drop,1,2,0.5,1560,2555,watersystem_x_unit_basin_x_landform,6.41025641025641e-4,7.827788649706458e-4,-1.417532239450048e-4,0.8189102564102564,low_n_descriptive_only,FALSE
He->Me,6,B_830303_517_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 517 / 氾濫平野・海岸平野,continue,1,1,1,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,3.913894324853229e-4,0.0013753950198114968,4.514134275618375,low_n_descriptive_only,FALSE
He->Me,6,B_830303_517_LF_CLASS::自然堤防,利根川 / basin 517 / 自然堤防,continue,1,3,0.3333333333333333,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,0.0011741682974559687,5.926161548408511e-4,1.5047114252061249,low_n_descriptive_only,FALSE
He->Me,6,B_830303_517_LF_CLASS::自然堤防,利根川 / basin 517 / 自然堤防,new,2,3,0.6666666666666666,429,2555,watersystem_x_unit_basin_x_landform,0.004662004662004662,0.0011741682974559687,0.0034878363645486936,3.9704739704739707,low_n_descriptive_only,FALSE
He->Me,6,B_830304_105_LF_CLASS::台地・段丘,荒川 / basin 105 / 台地・段丘,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830304_11_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 11 / 氾濫平野・海岸平野,new,1,1,1,429,2555,watersystem_x_unit_basin_x_landform,0.002331002331002331,3.913894324853229e-4,0.001939612898517008,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830304_11_LF_CLASS::自然堤防,荒川 / basin 11 / 自然堤防,new,2,2,1,429,2555,watersystem_x_unit_basin_x_landform,0.004662004662004662,7.827788649706458e-4,0.003879225797034016,5.9557109557109555,low_n_descriptive_only,FALSE
He->Me,6,B_830304_120_LF_CLASS::台地・段丘,荒川 / basin 120 / 台地・段丘,continue,4,21,0.19047619047619047,566,2555,watersystem_x_unit_basin_x_landform,0.007067137809187279,0.00821917808219178,-0.001152040273004501,0.8598351001177857,eligible,FALSE
He->Me,6,B_830304_120_LF_CLASS::台地・段丘,荒川 / basin 120 / 台地・段丘,drop,14,21,0.6666666666666666,1560,2555,watersystem_x_unit_basin_x_landform,0.008974358974358974,0.00821917808219178,7.551808921671937e-4,1.091880341880342,eligible,FALSE
He->Me,6,B_830304_120_LF_CLASS::台地・段丘,荒川 / basin 120 / 台地・段丘,new,3,21,0.14285714285714285,429,2555,watersystem_x_unit_basin_x_landform,0.006993006993006993,0.00821917808219178,-0.001226171089184787,0.8508158508158509,eligible,FALSE
He->Me,6,B_830304_120_LF_CLASS::山地斜面等,荒川 / basin 120 / 山地斜面等,continue,2,14,0.14285714285714285,566,2555,watersystem_x_unit_basin_x_landform,0.0035335689045936395,0.005479452054794521,-0.001945883150200881,0.6448763250883393,low_n_descriptive_only,FALSE
He->Me,6,B_830304_120_LF_CLASS::山地斜面等,荒川 / basin 120 / 山地斜面等,drop,5,14,0.35714285714285715,1560,2555,watersystem_x_unit_basin_x_landform,0.003205128205128205,0.005479452054794521,-0.0022743238496663156,0.5849358974358974,low_n_descriptive_only,FALSE
He->Me,6,B_830304_120_LF_CLASS::山地斜面等,荒川 / basin 120 / 山地斜面等,new,7,14,0.5,429,2555,watersystem_x_unit_basin_x_landform,0.016317016317016316,0.005479452054794521,0.010837564262221796,2.9778554778554778,low_n_descriptive_only,FALSE
He->Me,6,B_830304_120_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 120 / 氾濫平野・海岸平野,continue,1,6,0.16666666666666666,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,0.0023483365949119373,-5.815521426151176e-4,0.7523557126030624,low_n_descriptive_only,FALSE
He->Me,6,B_830304_120_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 120 / 氾濫平野・海岸平野,drop,5,6,0.8333333333333334,1560,2555,watersystem_x_unit_basin_x_landform,0.003205128205128205,0.0023483365949119373,8.567916102162677e-4,1.3648504273504274,low_n_descriptive_only,FALSE
He->Me,6,B_830304_15_LF_CLASS::台地・段丘,荒川 / basin 15 / 台地・段丘,continue,1,2,0.5,566,2555,watersystem_x_unit_basin_x_landform,0.0017667844522968198,7.827788649706458e-4,9.840055873261738e-4,2.2570671378091873,low_n_descriptive_only,FALSE
