scheme,phase_pair,phase_pair_order,group_id,group_label,prior_present_total,continue_count,drop_count,retention_rate,drop_rate_given_prior_presence,interpretation_status
landform,He->Me,6,LF_CLASS::凹地・浅い谷,凹地・浅い谷,27,7,20,0.25925925925925924,0.7407407407407407,eligible
landform,He->Me,6,LF_CLASS::台地・段丘,台地・段丘,659,203,456,0.30804248861911987,0.6919575113808801,eligible
landform,He->Me,6,LF_CLASS::山地斜面等,山地斜面等,1075,224,851,0.20837209302325582,0.7916279069767442,eligible
landform,He->Me,6,LF_CLASS::山麓堆積地形,山麓堆積地形,42,22,20,0.5238095238095238,0.47619047619047616,eligible
landform,He->Me,6,LF_CLASS::崖・段丘崖,崖・段丘崖,15,5,10,0.3333333333333333,0.6666666666666666,low_n_descriptive_only
landform,He->Me,6,LF_CLASS::後背低地・湿地,後背低地・湿地,8,3,5,0.375,0.625,low_n_descriptive_only
landform,He->Me,6,LF_CLASS::扇状地,扇状地,2,2,0,1,0,low_n_descriptive_only
landform,He->Me,6,LF_CLASS::旧河道,旧河道,5,3,2,0.6,0.4,low_n_descriptive_only
landform,He->Me,6,LF_CLASS::水部,水部,19,1,18,0.05263157894736842,0.9473684210526315,low_n_descriptive_only
landform,He->Me,6,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,231,76,155,0.329004329004329,0.670995670995671,eligible
landform,He->Me,6,LF_CLASS::砂州・砂丘,砂州・砂丘,21,8,13,0.38095238095238093,0.6190476190476191,eligible
landform,He->Me,6,LF_CLASS::自然堤防,自然堤防,22,12,10,0.5454545454545454,0.45454545454545453,eligible
landform,Jo->Ya,2,LF_CLASS::凹地・浅い谷,凹地・浅い谷,59,8,51,0.13559322033898305,0.864406779661017,eligible
landform,Jo->Ya,2,LF_CLASS::台地・段丘,台地・段丘,1475,325,1150,0.22033898305084745,0.7796610169491526,eligible
landform,Jo->Ya,2,LF_CLASS::山地斜面等,山地斜面等,1679,150,1529,0.08933889219773675,0.9106611078022633,eligible
landform,Jo->Ya,2,LF_CLASS::山麓堆積地形,山麓堆積地形,47,5,42,0.10638297872340426,0.8936170212765957,eligible
landform,Jo->Ya,2,LF_CLASS::崖・段丘崖,崖・段丘崖,34,7,27,0.20588235294117646,0.7941176470588235,eligible
landform,Jo->Ya,2,LF_CLASS::後背低地・湿地,後背低地・湿地,9,5,4,0.5555555555555556,0.4444444444444444,low_n_descriptive_only
landform,Jo->Ya,2,LF_CLASS::扇状地,扇状地,1,0,1,0,1,low_n_descriptive_only
landform,Jo->Ya,2,LF_CLASS::旧河道,旧河道,2,0,2,0,1,low_n_descriptive_only
