scheme,group_id,group_label,watersystem_code,watersystem_label,unit_basin_code,landform_code,landform_class,available_area_m2,study_area_fraction,availability_source,availability_version
landform,LF_CLASS::凹地・浅い谷,凹地・浅い谷,NA,NA,NA,NA,凹地・浅い谷,NA,NA,NA,NA
landform,LF_CLASS::台地・段丘,台地・段丘,NA,NA,NA,NA,台地・段丘,NA,NA,NA,NA
landform,LF_CLASS::山地斜面等,山地斜面等,NA,NA,NA,NA,山地斜面等,NA,NA,NA,NA
landform,LF_CLASS::山麓堆積地形,山麓堆積地形,NA,NA,NA,NA,山麓堆積地形,NA,NA,NA,NA
landform,LF_CLASS::崖・段丘崖,崖・段丘崖,NA,NA,NA,NA,崖・段丘崖,NA,NA,NA,NA
landform,LF_CLASS::後背低地・湿地,後背低地・湿地,NA,NA,NA,NA,後背低地・湿地,NA,NA,NA,NA
landform,LF_CLASS::扇状地,扇状地,NA,NA,NA,NA,扇状地,NA,NA,NA,NA
landform,LF_CLASS::旧水部,旧水部,NA,NA,NA,NA,旧水部,NA,NA,NA,NA
landform,LF_CLASS::旧河道,旧河道,NA,NA,NA,NA,旧河道,NA,NA,NA,NA
landform,LF_CLASS::水部,水部,NA,NA,NA,NA,水部,NA,NA,NA,NA
landform,LF_CLASS::氾濫平野・海岸平野,氾濫平野・海岸平野,NA,NA,NA,NA,氾濫平野・海岸平野,NA,NA,NA,NA
landform,LF_CLASS::砂州・砂丘,砂州・砂丘,NA,NA,NA,NA,砂州・砂丘,NA,NA,NA,NA
landform,LF_CLASS::自然堤防,自然堤防,NA,NA,NA,NA,自然堤防,NA,NA,NA,NA
unit_basin,B_120000_6,名称不明 / basin 6,120000,名称不明,6,NA,NA,NA,NA,NA,NA
unit_basin,B_130000_1,名称不明 / basin 1,130000,名称不明,1,NA,NA,NA,NA,NA,NA
unit_basin,B_130000_2,名称不明 / basin 2,130000,名称不明,2,NA,NA,NA,NA,NA,NA
unit_basin,B_130000_3,名称不明 / basin 3,130000,名称不明,3,NA,NA,NA,NA,NA,NA
unit_basin,B_130000_4,名称不明 / basin 4,130000,名称不明,4,NA,NA,NA,NA,NA,NA
unit_basin,B_130000_5,名称不明 / basin 5,130000,名称不明,5,NA,NA,NA,NA,NA,NA
unit_basin,B_130000_6,名称不明 / basin 6,130000,名称不明,6,NA,NA,NA,NA,NA,NA
