output_type,output_name,output_path,exists,size_bytes,note
csv,phase_table.csv,Arch_Geo_Selections_results/csv/phase_table.csv,TRUE,191,ok
csv,phase_pair_table.csv,Arch_Geo_Selections_results/csv/phase_pair_table.csv,TRUE,138,ok
csv,analysis_scope_policy.csv,Arch_Geo_Selections_results/csv/analysis_scope_policy.csv,TRUE,1374,ok
csv,analysis_population_summary.csv,Arch_Geo_Selections_results/csv/analysis_population_summary.csv,TRUE,120,ok
csv,analysis_metadata.csv,Arch_Geo_Selections_results/csv/analysis_metadata.csv,TRUE,357,ok
csv,geography_completeness.csv,Arch_Geo_Selections_results/csv/geography_completeness.csv,TRUE,196,ok
csv,geo_unit_dictionary.csv,Arch_Geo_Selections_results/csv/geo_unit_dictionary.csv,TRUE,80506,ok
csv,landform_code_dictionary.csv,Arch_Geo_Selections_results/csv/landform_code_dictionary.csv,TRUE,2153,ok
csv,arch_geo_place_phase_long.csv,Arch_Geo_Selections_results/csv/arch_geo_place_phase_long.csv,TRUE,16588418,ok
csv,arch_geo_phase_presence_total.csv,Arch_Geo_Selections_results/csv/arch_geo_phase_presence_total.csv,TRUE,376,ok
csv,phase_landform_profile.csv,Arch_Geo_Selections_results/csv/phase_landform_profile.csv,TRUE,6790,ok
csv,phase_watersystem_profile.csv,Arch_Geo_Selections_results/csv/phase_watersystem_profile.csv,TRUE,4100,ok
csv,phase_unit_basin_profile.csv,Arch_Geo_Selections_results/csv/phase_unit_basin_profile.csv,TRUE,56763,ok
csv,phase_landscape_profile.csv,Arch_Geo_Selections_results/csv/phase_landscape_profile.csv,TRUE,253305,ok
csv,phase_geography_profile_all.csv,Arch_Geo_Selections_results/csv/phase_geography_profile_all.csv,TRUE,320658,ok
csv,phase_geography_breadth.csv,Arch_Geo_Selections_results/csv/phase_geography_breadth.csv,TRUE,1864,ok
csv,geo_archaeological_sample_baseline.csv,Arch_Geo_Selections_results/csv/geo_archaeological_sample_baseline.csv,TRUE,73344,ok
csv,phase_relative_archaeological_concentration.csv,Arch_Geo_Selections_results/csv/phase_relative_archaeological_concentration.csv,TRUE,597052,ok
csv,adjacent_phase_composition_distance.csv,Arch_Geo_Selections_results/csv/adjacent_phase_composition_distance.csv,TRUE,2293,ok
csv,all_phase_composition_distance.csv,Arch_Geo_Selections_results/csv/all_phase_composition_distance.csv,TRUE,5313,ok
csv,ca_phase_coordinates.csv,Arch_Geo_Selections_results/csv/ca_phase_coordinates.csv,TRUE,372,ok
csv,ca_landform_coordinates.csv,Arch_Geo_Selections_results/csv/ca_landform_coordinates.csv,TRUE,1422,ok
csv,ca_inertia.csv,Arch_Geo_Selections_results/csv/ca_inertia.csv,TRUE,497,ok
csv,landscape_phase_counts.csv,Arch_Geo_Selections_results/csv/landscape_phase_counts.csv,TRUE,295866,ok
csv,landscape_unit_trajectory.csv,Arch_Geo_Selections_results/csv/landscape_unit_trajectory.csv,TRUE,92086,ok
csv,landscape_unit_temporal_composition.csv,Arch_Geo_Selections_results/csv/landscape_unit_temporal_composition.csv,TRUE,436913,ok
csv,place_phase_transition_long.csv,Arch_Geo_Selections_results/csv/place_phase_transition_long.csv,TRUE,15199069,ok
csv,active_transition_long.csv,Arch_Geo_Selections_results/csv/active_transition_long.csv,TRUE,7686966,ok
csv,transition_by_landform.csv,Arch_Geo_Selections_results/csv/transition_by_landform.csv,TRUE,37259,ok
csv,transition_by_watersystem.csv,Arch_Geo_Selections_results/csv/transition_by_watersystem.csv,TRUE,24589,ok
csv,transition_by_unit_basin.csv,Arch_Geo_Selections_results/csv/transition_by_unit_basin.csv,TRUE,289883,ok
csv,transition_by_landscape.csv,Arch_Geo_Selections_results/csv/transition_by_landscape.csv,TRUE,810430,ok
