output_type,output_name,path,expected,exists,note
csv,em_only_exclusion_summary.csv,Continuity_results/csv/em_only_exclusion_summary.csv,TRUE,TRUE,ok
csv,input_column_usage_summary.csv,Continuity_results/csv/input_column_usage_summary.csv,TRUE,TRUE,ok
csv,special_category_exclusion_summary.csv,Continuity_results/csv/special_category_exclusion_summary.csv,TRUE,TRUE,ok
csv,special_category_excluded_points.csv,Continuity_results/csv/special_category_excluded_points.csv,TRUE,TRUE,ok
csv,special_site_type_flag_summary.csv,Continuity_results/csv/special_site_type_flag_summary.csv,TRUE,TRUE,ok
csv,special_site_type_flagged_points.csv,Continuity_results/csv/special_site_type_flagged_points.csv,TRUE,TRUE,ok
csv,special_function_flag_summary.csv,Continuity_results/csv/special_function_flag_summary.csv,TRUE,TRUE,ok
csv,special_function_flagged_points.csv,Continuity_results/csv/special_function_flagged_points.csv,TRUE,TRUE,ok
csv,chronology_phase_table.csv,Continuity_results/csv/chronology_phase_table.csv,TRUE,TRUE,ok
csv,sequence_class_definition.csv,Continuity_results/csv/sequence_class_definition.csv,TRUE,TRUE,ok
csv,place_phase_long.csv,Continuity_results/csv/place_phase_long.csv,TRUE,TRUE,ok
csv,place_phase_sequence_wide.csv,Continuity_results/csv/place_phase_sequence_wide.csv,TRUE,TRUE,ok
csv,place_run_events.csv,Continuity_results/csv/place_run_events.csv,TRUE,TRUE,ok
csv,place_gap_events.csv,Continuity_results/csv/place_gap_events.csv,TRUE,TRUE,ok
csv,place_continuity_summary.csv,Continuity_results/csv/place_continuity_summary.csv,TRUE,TRUE,ok
csv,sequence_pattern_cluster.csv,Continuity_results/csv/sequence_pattern_cluster.csv,TRUE,TRUE,ok
csv,place_sequence_cluster.csv,Continuity_results/csv/place_sequence_cluster.csv,TRUE,TRUE,ok
csv,cluster_phase_profile.csv,Continuity_results/csv/cluster_phase_profile.csv,TRUE,TRUE,ok
csv,sequence_cluster_summary.csv,Continuity_results/csv/sequence_cluster_summary.csv,TRUE,TRUE,ok
csv,phase_presence_summary.csv,Continuity_results/csv/phase_presence_summary.csv,TRUE,TRUE,ok
csv,place_phase_transition_long.csv,Continuity_results/csv/place_phase_transition_long.csv,TRUE,TRUE,ok
csv,phase_transition_counts_all.csv,Continuity_results/csv/phase_transition_counts_all.csv,TRUE,TRUE,ok
csv,phase_transition_summary.csv,Continuity_results/csv/phase_transition_summary.csv,TRUE,TRUE,ok
csv,markov_transition_by_phase.csv,Continuity_results/csv/markov_transition_by_phase.csv,TRUE,TRUE,ok
csv,markov_transition_overall.csv,Continuity_results/csv/markov_transition_overall.csv,TRUE,TRUE,ok
csv,change_point_candidates.csv,Continuity_results/csv/change_point_candidates.csv,TRUE,TRUE,ok
csv,change_point_best.csv,Continuity_results/csv/change_point_best.csv,TRUE,TRUE,ok
csv,spatial_neighbor_definition.csv,Continuity_results/csv/spatial_neighbor_definition.csv,TRUE,TRUE,ok
csv,spatial_neighbor_edges.csv,Continuity_results/csv/spatial_neighbor_edges.csv,TRUE,TRUE,ok
csv,spatial_global_moran.csv,Continuity_results/csv/spatial_global_moran.csv,TRUE,TRUE,ok
csv,spatial_local_lisa.csv,Continuity_results/csv/spatial_local_lisa.csv,TRUE,TRUE,ok
csv,spatial_transition_global_moran.csv,Continuity_results/csv/spatial_transition_global_moran.csv,TRUE,TRUE,ok
csv,spatial_transition_joincount.csv,Continuity_results/csv/spatial_transition_joincount.csv,TRUE,TRUE,ok
figure,figure_phase_presence_count.png,Continuity_results/figure/figure_phase_presence_count.png,TRUE,TRUE,ok
figure,figure_sequence_class_count.png,Continuity_results/figure/figure_sequence_class_count.png,TRUE,TRUE,ok
figure,figure_continuity_index_histogram.png,Continuity_results/figure/figure_continuity_index_histogram.png,TRUE,TRUE,ok
figure,figure_phase_transition_summary.png,Continuity_results/figure/figure_phase_transition_summary.png,TRUE,TRUE,ok
figure,figure_markov_transition_probability.png,Continuity_results/figure/figure_markov_transition_probability.png,TRUE,TRUE,ok
figure,figure_change_point_scores.png,Continuity_results/figure/figure_change_point_scores.png,TRUE,TRUE,ok
figure,figure_sequence_heatmap.png,Continuity_results/figure/figure_sequence_heatmap.png,TRUE,TRUE,ok
figure,figure_cluster_phase_profile.png,Continuity_results/figure/figure_cluster_phase_profile.png,TRUE,TRUE,ok
figure,figure_run_gap_timeline.png,Continuity_results/figure/figure_run_gap_timeline.png,TRUE,TRUE,ok
figure,figure_spatial_continuity_lisa.png,Continuity_results/figure/figure_spatial_continuity_lisa.png,TRUE,TRUE,ok
figure,figure_spatial_gap_lisa.png,Continuity_results/figure/figure_spatial_gap_lisa.png,TRUE,TRUE,ok
figure,figure_spatial_transition_joincount.png,Continuity_results/figure/figure_spatial_transition_joincount.png,TRUE,TRUE,ok
gpkg_layer,chronology_place_continuity,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,chronology_place_phase_presence,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,chronology_phase_transition,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,chronology_run_events,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,chronology_gap_events,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,special_category_excluded_points,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,special_site_type_flagged_points,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,special_function_flagged_points,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,spatial_knn_edges,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,spatial_continuity_gap_lisa,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
gpkg_layer,spatial_transition_joincount,Continuity_results/gpkg/Continuity.gpkg,TRUE,TRUE,ok
