phase_pair,phase_pair_order,transition,n_places
He->Me,6,apparent_absence_continue,2472
He->Me,6,continue,571
He->Me,6,drop,1603
He->Me,6,new,385
Jo->Ya,2,apparent_absence_continue,1087
Jo->Ya,2,continue,549
Jo->Ya,2,drop,3297
Jo->Ya,2,new,98
Ko->Na,4,apparent_absence_continue,2867
Ko->Na,4,continue,651
Ko->Na,4,drop,459
Ko->Na,4,new,1054
Na->He,5,apparent_absence_continue,2637
Na->He,5,continue,1485
Na->He,5,drop,220
Na->He,5,new,689
Pa->Jo,1,apparent_absence_continue,1125
Pa->Jo,1,continue,634
Pa->Jo,1,drop,60
Pa->Jo,1,new,3212
Ya->Ko,3,apparent_absence_continue,3632
Ya->Ko,3,continue,358
Ya->Ko,3,drop,289
Ya->Ko,3,new,752
